matchday,date,time,home_team,away_team,result,status
1,31/07/2026,03:00,Dinamo Zagreb,Slaven Belupo,2-0,Final
1,01/08/2026,03:00,NK Istra 1961,Lokomotiva Zagreb,2-3,Final
1,01/08/2026,03:00,HNK Gorica,NK Osijek,0-2,Final
1,02/08/2026,03:00,NK Varaždin,Hajduk Split,2-1,Final
1,02/08/2026,03:00,HNK Rijeka,NK Rudeš,2-1,Final
2,08/08/2026,03:00,HNK Rijeka,Dinamo Zagreb,,
2,08/08/2026,03:00,NK Rudeš,NK Osijek,1-6,Final
2,08/08/2026,03:00,Lokomotiva Zagreb,HNK Gorica,3-1,Final
2,09/08/2026,03:00,Slaven Belupo,NK Varaždin,1-4,Final
2,09/08/2026,03:00,Hajduk Split,NK Istra 1961,2-2,Final
3,14/08/2026,03:00,Dinamo Zagreb,NK Rudeš,4-0,Final
3,15/08/2026,03:00,NK Istra 1961,Slaven Belupo,3-0,Final
3,15/08/2026,03:00,NK Osijek,Lokomotiva Zagreb,1-0,Final
3,16/08/2026,03:00,NK Varaždin,HNK Rijeka,2-0,Final
3,16/08/2026,03:00,HNK Gorica,Hajduk Split,1-2,Final
4,21/08/2026,03:00,NK Rudeš,Lokomotiva Zagreb,4-1,Final
4,22/08/2026,03:00,Slaven Belupo,HNK Gorica,2-0,Final
4,22/08/2026,03:00,Dinamo Zagreb,NK Varaždin,3-1,Final
4,23/08/2026,11:30,HNK Rijeka,NK Istra 1961,,
4,23/08/2026,14:00,Hajduk Split,NK Osijek,,
5,29/08/2026,11:30,NK Istra 1961,Dinamo Zagreb,,
5,29/08/2026,14:00,NK Varaždin,NK Rudeš,,
5,30/08/2026,13:00,NK Osijek,Slaven Belupo,,
5,31/08/2026,11:30,Lokomotiva Zagreb,Hajduk Split,,
5,31/08/2026,14:00,HNK Gorica,HNK Rijeka,,
6,05/09/2026,03:00,Dinamo Zagreb,HNK Gorica,,
6,05/09/2026,03:00,HNK Rijeka,NK Osijek,,
6,05/09/2026,03:00,NK Rudeš,Hajduk Split,,
6,05/09/2026,03:00,Slaven Belupo,Lokomotiva Zagreb,,
6,05/09/2026,03:00,NK Varaždin,NK Istra 1961,,
7,12/09/2026,03:00,Hajduk Split,Slaven Belupo,,
7,12/09/2026,03:00,HNK Gorica,NK Varaždin,,
7,12/09/2026,03:00,NK Istra 1961,NK Rudeš,,
7,12/09/2026,03:00,Lokomotiva Zagreb,HNK Rijeka,,
7,12/09/2026,03:00,NK Osijek,Dinamo Zagreb,,
8,19/09/2026,03:00,Dinamo Zagreb,Lokomotiva Zagreb,,
8,19/09/2026,03:00,HNK Rijeka,Hajduk Split,,
8,19/09/2026,03:00,NK Istra 1961,HNK Gorica,,
8,19/09/2026,03:00,NK Rudeš,Slaven Belupo,,
8,19/09/2026,03:00,NK Varaždin,NK Osijek,,
9,10/10/2026,03:00,Hajduk Split,Dinamo Zagreb,,
9,10/10/2026,03:00,HNK Gorica,NK Rudeš,,
9,10/10/2026,03:00,Lokomotiva Zagreb,NK Varaždin,,
9,10/10/2026,03:00,NK Osijek,NK Istra 1961,,
9,10/10/2026,03:00,Slaven Belupo,HNK Rijeka,,
10,17/10/2026,03:00,Hajduk Split,NK Varaždin,,
