matchday,date,time,home_team,away_team,result,status
1,01/08/2025,13:30,FC Schalke 04,Hertha BSC,2-1,Final
1,02/08/2025,06:00,SV Darmstadt 98,VfL Bochum,4-1,Final
1,02/08/2025,06:00,SC Paderborn 07,Holstein Kiel,2-1,Final
1,02/08/2025,06:00,Karlsruher SC,Preußen Münster,3-2,Final
1,02/08/2025,06:00,SV Elversberg,1. FC Nürnberg,1-0,Final
1,02/08/2025,13:30,Arminia Bielefeld,Fortuna Düsseldorf,5-1,Final
1,03/08/2025,06:30,Hannover 96,1. FC Kaiserslautern,1-0,Final
1,03/08/2025,06:30,SpVgg Greuther Fürth,Dynamo Dresden,3-2,Final
1,03/08/2025,06:30,1. FC Magdeburg,Eintracht Braunschweig,0-1,Final
2,08/08/2025,11:30,1. FC Nürnberg,SV Darmstadt 98,0-1,Final
2,08/08/2025,11:30,Preußen Münster,SC Paderborn 07,1-1,Final
2,09/08/2025,06:00,Fortuna Düsseldorf,Hannover 96,0-2,Final
2,09/08/2025,06:00,Dynamo Dresden,1. FC Magdeburg,1-2,Final
2,09/08/2025,06:00,Eintracht Braunschweig,SpVgg Greuther Fürth,3-2,Final
2,09/08/2025,13:30,1. FC Kaiserslautern,FC Schalke 04,1-0,Final
2,10/08/2025,06:30,Hertha BSC,Karlsruher SC,0-0,Final
2,10/08/2025,06:30,VfL Bochum,SV Elversberg,2-0,Final
2,10/08/2025,06:30,Holstein Kiel,Arminia Bielefeld,0-2,Final
3,22/08/2025,11:30,Preußen Münster,1. FC Nürnberg,2-1,Final
3,22/08/2025,11:30,SV Elversberg,1. FC Kaiserslautern,2-1,Final
3,23/08/2025,06:00,Hannover 96,1. FC Magdeburg,3-1,Final
3,23/08/2025,06:00,SC Paderborn 07,Fortuna Düsseldorf,1-2,Final
3,23/08/2025,06:00,Karlsruher SC,Eintracht Braunschweig,2-0,Final
3,23/08/2025,13:30,FC Schalke 04,VfL Bochum,2-1,Final
3,24/08/2025,06:30,SpVgg Greuther Fürth,Holstein Kiel,0-2,Final
3,24/08/2025,06:30,SV Darmstadt 98,Hertha BSC,0-0,Final
3,24/08/2025,06:30,Arminia Bielefeld,Dynamo Dresden,1-2,Final
4,29/08/2025,11:30,Hertha BSC,SV Elversberg,0-2,Final
4,29/08/2025,11:30,1. FC Nürnberg,SC Paderborn 07,0-0,Final
4,30/08/2025,06:00,VfL Bochum,Preußen Münster,1-2,Final
4,30/08/2025,06:00,Holstein Kiel,Hannover 96,1-2,Final
4,30/08/2025,06:00,Eintracht Braunschweig,Arminia Bielefeld,1-1,Final
4,30/08/2025,13:30,Fortuna Düsseldorf,Karlsruher SC,0-0,Final
4,31/08/2025,06:30,1. FC Magdeburg,SpVgg Greuther Fürth,4-5,Final
4,31/08/2025,06:30,Dynamo Dresden,FC Schalke 04,0-1,Final
4,31/08/2025,06:30,1. FC Kaiserslautern,SV Darmstadt 98,3-1,Final
5,12/09/2025,11:30,SC Paderborn 07,VfL Bochum,1-0,Final
5,12/09/2025,11:30,Arminia Bielefeld,1. FC Magdeburg,2-0,Final
5,13/09/2025,06:00,FC Schalke 04,Holstein Kiel,0-1,Final
5,13/09/2025,06:00,SV Darmstadt 98,Eintracht Braunschweig,2-1,Final
5,13/09/2025,06:00,Karlsruher SC,1. FC Nürnberg,2-1,Final
5,13/09/2025,13:30,Hannover 96,Hertha BSC,0-3,Final
5,14/09/2025,06:30,SpVgg Greuther Fürth,1. FC Kaiserslautern,0-3,Final
5,14/09/2025,06:30,Preußen Münster,Fortuna Düsseldorf,1-2,Final
5,14/09/2025,06:30,SV Elversberg,Dynamo Dresden,2-2,Final
6,19/09/2025,11:30,Arminia Bielefeld,SpVgg Greuther Fürth,1-3,Final
6,19/09/2025,11:30,1. FC Kaiserslautern,Preußen Münster,4-1,Final
6,20/09/2025,06:00,Hertha BSC,SC Paderborn 07,0-2,Final
6,20/09/2025,06:00,1. FC Magdeburg,FC Schalke 04,0-2,Final
6,20/09/2025,06:00,Eintracht Braunschweig,SV Elversberg,1-4,Final
6,20/09/2025,13:30,1. FC Nürnberg,VfL Bochum,2-1,Final
6,21/09/2025,06:30,Fortuna Düsseldorf,SV Darmstadt 98,0-3,Final
6,21/09/2025,06:30,Dynamo Dresden,Hannover 96,2-2,Final
6,21/09/2025,06:30,Holstein Kiel,Karlsruher SC,3-0,Final
7,26/09/2025,11:30,FC Schalke 04,SpVgg Greuther Fürth,1-0,Final
7,26/09/2025,11:30,SV Darmstadt 98,Dynamo Dresden,2-0,Final
7,27/09/2025,06:00,SC Paderborn 07,1. FC Kaiserslautern,2-0,Final
7,27/09/2025,06:00,Karlsruher SC,1. FC Magdeburg,1-0,Final
7,27/09/2025,06:00,SV Elversberg,Holstein Kiel,1-0,Final
7,27/09/2025,13:30,VfL Bochum,Fortuna Düsseldorf,0-1,Final
7,28/09/2025,06:30,Hannover 96,Arminia Bielefeld,3-1,Final
7,28/09/2025,06:30,1. FC Nürnberg,Hertha BSC,0-3,Final
7,28/09/2025,06:30,Preußen Münster,Eintracht Braunschweig,3-1,Final
8,03/10/2025,11:30,Fortuna Düsseldorf,1. FC Nürnberg,2-3,Final
8,03/10/2025,11:30,Eintracht Braunschweig,SC Paderborn 07,1-2,Final
8,04/10/2025,06:00,Hertha BSC,Preußen Münster,2-1,Final
8,04/10/2025,06:00,Holstein Kiel,SV Darmstadt 98,1-1,Final
8,04/10/2025,06:00,1. FC Kaiserslautern,VfL Bochum,3-2,Final
8,04/10/2025,13:30,Dynamo Dresden,Karlsruher SC,3-3,Final
8,05/10/2025,06:30,SpVgg Greuther Fürth,Hannover 96,2-2,Final
8,05/10/2025,06:30,1. FC Magdeburg,SV Elversberg,0-4,Final
8,05/10/2025,06:30,Arminia Bielefeld,FC Schalke 04,1-2,Final
9,17/10/2025,11:30,Fortuna Düsseldorf,Eintracht Braunschweig,1-2,Final
9,17/10/2025,11:30,Hannover 96,FC Schalke 04,0-3,Final
9,18/10/2025,06:00,SC Paderborn 07,Arminia Bielefeld,4-3,Final
9,18/10/2025,06:00,Karlsruher SC,1. FC Kaiserslautern,2-3,Final
9,18/10/2025,06:00,Preußen Münster,Dynamo Dresden,2-2,Final
9,18/10/2025,13:30,VfL Bochum,Hertha BSC,3-2,Final
9,19/10/2025,06:30,1. FC Nürnberg,Holstein Kiel,1-1,Final
9,19/10/2025,06:30,SV Darmstadt 98,1. FC Magdeburg,0-0,Final
9,19/10/2025,06:30,SV Elversberg,SpVgg Greuther Fürth,6-0,Final
10,24/10/2025,11:30,FC Schalke 04,SV Darmstadt 98,1-0,Final
10,24/10/2025,11:30,SpVgg Greuther Fürth,Karlsruher SC,1-4,Final
10,25/10/2025,06:00,Dynamo Dresden,SC Paderborn 07,1-2,Final
10,25/10/2025,06:00,Arminia Bielefeld,SV Elversberg,2-0,Final
10,25/10/2025,06:00,Holstein Kiel,VfL Bochum,1-1,Final
10,25/10/2025,13:30,Hertha BSC,Fortuna Düsseldorf,1-0,Final
10,26/10/2025,07:30,1. FC Magdeburg,Preußen Münster,2-0,Final
10,26/10/2025,07:30,Eintracht Braunschweig,Hannover 96,0-3,Final
10,26/10/2025,07:30,1. FC Kaiserslautern,1. FC Nürnberg,1-1,Final
11,31/10/2025,12:30,Preußen Münster,Holstein Kiel,2-1,Final
11,31/10/2025,12:30,SV Elversberg,Hannover 96,2-2,Final
11,01/11/2025,07:00,Hertha BSC,Dynamo Dresden,2-0,Final
11,01/11/2025,07:00,1. FC Nürnberg,Eintracht Braunschweig,2-1,Final
11,01/11/2025,07:00,Karlsruher SC,FC Schalke 04,2-1,Final
11,01/11/2025,14:30,SV Darmstadt 98,Arminia Bielefeld,2-2,Final
11,02/11/2025,07:30,Fortuna Düsseldorf,1. FC Kaiserslautern,1-1,Final
11,02/11/2025,07:30,VfL Bochum,1. FC Magdeburg,2-0,Final
11,02/11/2025,07:30,SC Paderborn 07,SpVgg Greuther Fürth,2-1,Final
12,07/11/2025,12:30,SpVgg Greuther Fürth,Preußen Münster,1-0,Final
12,07/11/2025,12:30,Dynamo Dresden,1. FC Nürnberg,1-2,Final
12,08/11/2025,07:00,Hannover 96,SV Darmstadt 98,2-3,Final
12,08/11/2025,07:00,FC Schalke 04,SV Elversberg,1-0,Final
