matchday,date,time,home_team,away_team,result,status
1,07/08/2026,03:00,VfL Bochum,Hertha BSC,0-1,Final
1,08/08/2026,03:00,1. FC Heidenheim 1846,VfL Osnabrück,4-3,Final
1,08/08/2026,03:00,SV Darmstadt 98,Holstein Kiel,2-2,Final
1,08/08/2026,03:00,Karlsruher SC,Arminia Bielefeld,2-1,Final
1,08/08/2026,03:00,1. FC Magdeburg,Eintracht Brunswick,1-6,Final
1,08/08/2026,03:00,VfL Wolfsburgo,1. FC Kaiserslautern,0-0,Final
1,09/08/2026,03:00,FC St. Pauli,SpVgg Greuther Fürth,1-1,Final
1,09/08/2026,03:00,1. FC Nuremberg,Dynamo Dresden,3-0,Final
1,09/08/2026,03:00,Energie Cottbus,Hanóver 96,3-1,Final
2,14/08/2026,03:00,Holstein Kiel,FC St. Pauli,2-2,Final
2,14/08/2026,03:00,Eintracht Brunswick,VfL Bochum,0-1,Final
2,15/08/2026,03:00,Hertha BSC,1. FC Heidenheim 1846,4-1,Final
2,15/08/2026,03:00,SpVgg Greuther Fürth,1. FC Nuremberg,2-4,Final
2,15/08/2026,03:00,VfL Osnabrück,1. FC Magdeburg,0-3,Final
2,15/08/2026,03:00,1. FC Kaiserslautern,Karlsruher SC,0-0,Final
2,16/08/2026,03:00,Hanóver 96,VfL Wolfsburgo,0-1,Final
2,16/08/2026,03:00,Dynamo Dresden,SV Darmstadt 98,1-0,Final
2,16/08/2026,03:00,Arminia Bielefeld,Energie Cottbus,3-0,Final
3,28/08/2026,03:00,VfL Bochum,VfL Osnabrück,0-1,Final
3,28/08/2026,03:00,Eintracht Brunswick,Hertha BSC,3-5,Final
3,29/08/2026,03:00,1. FC Heidenheim 1846,Dynamo Dresden,5-3,Final
3,29/08/2026,03:00,Karlsruher SC,VfL Wolfsburgo,2-5,Final
3,29/08/2026,03:00,Energie Cottbus,SpVgg Greuther Fürth,3-4,Final
3,29/08/2026,03:00,1. FC Nuremberg,Arminia Bielefeld,4-1,Final
3,30/08/2026,03:00,FC St. Pauli,1. FC Kaiserslautern,1-2,Final
3,30/08/2026,03:00,SV Darmstadt 98,Hanóver 96,0-1,Final
3,30/08/2026,03:00,1. FC Magdeburg,Holstein Kiel,2-0,Final
4,04/09/2026,11:30,Hanóver 96,Karlsruher SC,,
4,04/09/2026,11:30,Arminia Bielefeld,FC St. Pauli,,
4,05/09/2026,06:00,VfL Wolfsburgo,Energie Cottbus,,
4,05/09/2026,06:00,1. FC Kaiserslautern,SV Darmstadt 98,,
4,05/09/2026,06:00,Holstein Kiel,1. FC Nuremberg,,
4,05/09/2026,13:30,Dynamo Dresden,VfL Bochum,,
4,06/09/2026,06:30,Hertha BSC,1. FC Magdeburg,,
4,06/09/2026,06:30,SpVgg Greuther Fürth,1. FC Heidenheim 1846,,
4,06/09/2026,06:30,VfL Osnabrück,Eintracht Brunswick,,
5,11/09/2026,11:30,SV Darmstadt 98,Arminia Bielefeld,,
5,11/09/2026,11:30,1. FC Nuremberg,Hanóver 96,,
5,12/09/2026,06:00,VfL Bochum,SpVgg Greuther Fürth,,
5,12/09/2026,06:00,1. FC Magdeburg,1. FC Kaiserslautern,,
5,12/09/2026,06:00,Eintracht Brunswick,Dynamo Dresden,,
5,12/09/2026,13:30,FC St. Pauli,VfL Wolfsburgo,,
5,13/09/2026,06:30,1. FC Heidenheim 1846,Holstein Kiel,,
5,13/09/2026,06:30,Karlsruher SC,Energie Cottbus,,
5,13/09/2026,06:30,VfL Osnabrück,Hertha BSC,,
6,18/09/2026,11:30,VfL Wolfsburgo,SV Darmstadt 98,,
6,18/09/2026,11:30,SpVgg Greuther Fürth,1. FC Magdeburg,,
6,19/09/2026,06:00,1. FC Kaiserslautern,Eintracht Brunswick,,
6,19/09/2026,06:00,Karlsruher SC,1. FC Nuremberg,,
6,19/09/2026,06:00,Holstein Kiel,VfL Osnabrück,,
6,19/09/2026,13:30,Dynamo Dresden,Hertha BSC,,
6,20/09/2026,06:30,Hanóver 96,VfL Bochum,,
6,20/09/2026,06:30,Arminia Bielefeld,1. FC Heidenheim 1846,,
6,20/09/2026,06:30,Energie Cottbus,FC St. Pauli,,
7,10/10/2026,03:00,FC St. Pauli,Karlsruher SC,,
7,10/10/2026,03:00,1. FC Heidenheim 1846,1. FC Kaiserslautern,,
7,10/10/2026,03:00,SV Darmstadt 98,Energie Cottbus,,
7,10/10/2026,03:00,Hertha BSC,SpVgg Greuther Fürth,,
7,10/10/2026,03:00,1. FC Nuremberg,VfL Wolfsburgo,,
7,10/10/2026,03:00,VfL Bochum,Arminia Bielefeld,,
7,10/10/2026,03:00,1. FC Magdeburg,Hanóver 96,,
7,10/10/2026,03:00,Eintracht Brunswick,Holstein Kiel,,
7,10/10/2026,03:00,VfL Osnabrück,Dynamo Dresden,,
8,17/10/2026,03:00,VfL Wolfsburgo,1. FC Heidenheim 1846,,
8,17/10/2026,03:00,Hanóver 96,FC St. Pauli,,
8,17/10/2026,03:00,1. FC Kaiserslautern,VfL Bochum,,
8,17/10/2026,03:00,Karlsruher SC,SV Darmstadt 98,,
8,17/10/2026,03:00,Dynamo Dresden,1. FC Magdeburg,,
8,17/10/2026,03:00,Holstein Kiel,Hertha BSC,,
8,17/10/2026,03:00,Arminia Bielefeld,VfL Osnabrück,,
8,17/10/2026,03:00,SpVgg Greuther Fürth,Eintracht Brunswick,,
8,17/10/2026,03:00,Energie Cottbus,1. FC Nuremberg,,
9,24/10/2026,03:00,1. FC Heidenheim 1846,Energie Cottbus,,
9,24/10/2026,03:00,SV Darmstadt 98,FC St. Pauli,,
9,24/10/2026,03:00,Hertha BSC,Arminia Bielefeld,,
9,24/10/2026,03:00,1. FC Nuremberg,1. FC Kaiserslautern,,
9,24/10/2026,03:00,VfL Bochum,VfL Wolfsburgo,,
9,24/10/2026,03:00,Holstein Kiel,Dynamo Dresden,,
9,24/10/2026,03:00,1. FC Magdeburg,Karlsruher SC,,
9,24/10/2026,03:00,Eintracht Brunswick,Hanóver 96,,
9,24/10/2026,03:00,VfL Osnabrück,SpVgg Greuther Fürth,,
10,31/10/2026,03:00,VfL Wolfsburgo,VfL Osnabrück,,
10,31/10/2026,03:00,FC St. Pauli,1. FC Nuremberg,,
10,31/10/2026,03:00,Hanóver 96,Dynamo Dresden,,
10,31/10/2026,03:00,SV Darmstadt 98,1. FC Magdeburg,,
10,31/10/2026,03:00,1. FC Kaiserslautern,Hertha BSC,,
10,31/10/2026,03:00,Karlsruher SC,1. FC Heidenheim 1846,,
10,31/10/2026,03:00,Arminia Bielefeld,Eintracht Brunswick,,
10,31/10/2026,03:00,SpVgg Greuther Fürth,Holstein Kiel,,
10,31/10/2026,03:00,Energie Cottbus,VfL Bochum,,
11,07/11/2026,03:00,1. FC Heidenheim 1846,Hanóver 96,,
11,07/11/2026,03:00,Hertha BSC,VfL Wolfsburgo,,
11,07/11/2026,03:00,1. FC Nuremberg,SV Darmstadt 98,,
11,07/11/2026,03:00,VfL Bochum,Karlsruher SC,,
11,07/11/2026,03:00,Dynamo Dresden,SpVgg Greuther Fürth,,
11,07/11/2026,03:00,Holstein Kiel,Arminia Bielefeld,,
11,07/11/2026,03:00,1. FC Magdeburg,FC St. Pauli,,
11,07/11/2026,03:00,Eintracht Brunswick,Energie Cottbus,,
11,07/11/2026,03:00,VfL Osnabrück,1. FC Kaiserslautern,,
12,21/11/2026,03:00,VfL Wolfsburgo,Holstein Kiel,,
12,21/11/2026,03:00,FC St. Pauli,VfL Bochum,,
12,21/11/2026,03:00,Hanóver 96,SpVgg Greuther Fürth,,
12,21/11/2026,03:00,SV Darmstadt 98,1. FC Heidenheim 1846,,
12,21/11/2026,03:00,1. FC Kaiserslautern,Dynamo Dresden,,
12,21/11/2026,03:00,1. FC Nuremberg,Eintracht Brunswick,,
12,21/11/2026,03:00,Karlsruher SC,VfL Osnabrück,,
12,21/11/2026,03:00,Arminia Bielefeld,1. FC Magdeburg,,
12,21/11/2026,03:00,Energie Cottbus,Hertha BSC,,
13,28/11/2026,03:00,1. FC Heidenheim 1846,1. FC Nuremberg,,
13,28/11/2026,03:00,Hertha BSC,Karlsruher SC,,
13,28/11/2026,03:00,VfL Bochum,SV Darmstadt 98,,
13,28/11/2026,03:00,Dynamo Dresden,FC St. Pauli,,
13,28/11/2026,03:00,Holstein Kiel,1. FC Kaiserslautern,,
13,28/11/2026,03:00,1. FC Magdeburg,Energie Cottbus,,
13,28/11/2026,03:00,Eintracht Brunswick,VfL Wolfsburgo,,
13,28/11/2026,03:00,SpVgg Greuther Fürth,Arminia Bielefeld,,
13,28/11/2026,03:00,VfL Osnabrück,Hanóver 96,,
14,05/12/2026,03:00,VfL Wolfsburgo,1. FC Magdeburg,,
14,05/12/2026,03:00,FC St. Pauli,1. FC Heidenheim 1846,,
14,05/12/2026,03:00,Hanóver 96,Hertha BSC,,
14,05/12/2026,03:00,SV Darmstadt 98,Eintracht Brunswick,,
14,05/12/2026,03:00,1. FC Kaiserslautern,SpVgg Greuther Fürth,,
14,05/12/2026,03:00,1. FC Nuremberg,VfL Bochum,,
14,05/12/2026,03:00,Karlsruher SC,Holstein Kiel,,
14,05/12/2026,03:00,Arminia Bielefeld,Dynamo Dresden,,
14,05/12/2026,03:00,Energie Cottbus,VfL Osnabrück,,
15,12/12/2026,03:00,Hertha BSC,SV Darmstadt 98,,
15,12/12/2026,03:00,VfL Bochum,1. FC Heidenheim 1846,,
15,12/12/2026,03:00,Dynamo Dresden,Energie Cottbus,,
15,12/12/2026,03:00,Holstein Kiel,Hanóver 96,,
15,12/12/2026,03:00,Arminia Bielefeld,1. FC Kaiserslautern,,
15,12/12/2026,03:00,1. FC Magdeburg,1. FC Nuremberg,,
15,12/12/2026,03:00,Eintracht Brunswick,Karlsruher SC,,
15,12/12/2026,03:00,SpVgg Greuther Fürth,VfL Wolfsburgo,,
15,12/12/2026,03:00,VfL Osnabrück,FC St. Pauli,,
16,19/12/2026,03:00,VfL Wolfsburgo,Arminia Bielefeld,,
16,19/12/2026,03:00,FC St. Pauli,Hertha BSC,,
16,19/12/2026,03:00,1. FC Heidenheim 1846,Eintracht Brunswick,,
16,19/12/2026,03:00,Hanóver 96,1. FC Kaiserslautern,,
16,19/12/2026,03:00,SV Darmstadt 98,SpVgg Greuther Fürth,,
