matchday,date,time,home_team,away_team,result,status
1,01/08/2025,12:00,Rot-Weiß Essen,TSV 1860 Munich,1-1,Final
1,02/08/2025,07:00,FC Ingolstadt 04,SSV Jahn Regensburg,1-1,Final
1,02/08/2025,07:00,Energie Cottbus,FC Saarbrücken,3-3,Final
1,02/08/2025,07:00,VfL Osnabrück,Alemannia Aachen,0-0,Final
1,02/08/2025,07:00,Waldhof Mannheim,Verl,2-2,Final
1,02/08/2025,07:00,Hoffenheim II,Havelse,0-0,Final
1,02/08/2025,09:30,MSV Duisburg,Stuttgart II,2-1,Final
1,03/08/2025,06:30,Erzgebirge Aue,Hansa Rostock,0-0,Final
1,03/08/2025,09:30,FC Viktoria Köln,FC Schweinfurt 05,2-0,Final
1,03/08/2025,12:30,SV Wehen,SSV ULM 1846,3-1,Final
2,08/08/2025,12:00,FC Schweinfurt 05,Energie Cottbus,0-2,Final
2,09/08/2025,07:00,TSV 1860 Munich,VfL Osnabrück,3-1,Final
2,09/08/2025,07:00,FC Saarbrücken,FC Viktoria Köln,2-1,Final
2,09/08/2025,07:00,SSV ULM 1846,Erzgebirge Aue,1-0,Final
2,09/08/2025,07:00,Alemannia Aachen,Hoffenheim II,2-4,Final
2,09/08/2025,07:00,Havelse,Rot-Weiß Essen,1-1,Final
2,09/08/2025,09:30,Verl,SV Wehen,2-2,Final
2,10/08/2025,06:30,SSV Jahn Regensburg,MSV Duisburg,0-4,Final
2,10/08/2025,09:30,Hansa Rostock,Waldhof Mannheim,1-0,Final
2,10/08/2025,12:30,Stuttgart II,FC Ingolstadt 04,2-1,Final
3,22/08/2025,12:00,SV Wehen,Rot-Weiß Essen,3-4,Final
3,23/08/2025,07:00,SSV Jahn Regensburg,FC Schweinfurt 05,3-0,Final
3,23/08/2025,07:00,VfL Osnabrück,FC Saarbrücken,2-0,Final
3,23/08/2025,07:00,Alemannia Aachen,TSV 1860 Munich,0-2,Final
3,23/08/2025,07:00,Hoffenheim II,Energie Cottbus,4-1,Final
3,23/08/2025,07:00,Stuttgart II,Verl,1-1,Final
3,23/08/2025,09:30,MSV Duisburg,SSV ULM 1846,2-1,Final
