matchday,date,time,home_team,away_team,result,status
1,07/08/2026,03:00,Waldhof Mannheim,Fortuna Düsseldorf,2-1,Final
1,08/08/2026,03:00,FC Ingolstadt 04,Würzburger Kickers,2-2,Final
1,08/08/2026,03:00,MSV Duisburg,SV Meppen,3-0,Final
1,08/08/2026,03:00,SV Wehen Wiesbaden,Preußen Münster,1-3,Final
1,08/08/2026,03:00,Viktoria Köln,Jahn Regensburg,2-5,Final
1,08/08/2026,03:00,TSV Havelse,VfB Stuttgart II,2-3,Final
1,08/08/2026,03:00,SG Sonnenhof Großaspach,Fortuna Köln,1-0,Final
1,09/08/2026,03:00,1899 Hoffenheim II,Hansa Rostock,2-3,Final
1,09/08/2026,03:00,1. FC Saarbrücken,Rot-Weiss Essen,5-2,Final
1,09/08/2026,03:00,Alemannia Aachen,SC Verl,4-1,Final
2,14/08/2026,03:00,Würzburger Kickers,SV Wehen Wiesbaden,4-0,Final
2,15/08/2026,03:00,Fortuna Düsseldorf,1899 Hoffenheim II,0-2,Final
2,15/08/2026,03:00,Preußen Münster,FC Ingolstadt 04,1-1,Final
2,15/08/2026,03:00,Rot-Weiss Essen,TSV Havelse,1-0,Final
2,15/08/2026,03:00,Fortuna Köln,Alemannia Aachen,1-1,Final
2,15/08/2026,03:00,SV Meppen,SG Sonnenhof Großaspach,2-0,Final
2,15/08/2026,03:00,SC Verl,MSV Duisburg,2-4,Final
2,16/08/2026,03:00,Hansa Rostock,Waldhof Mannheim,3-3,Final
2,16/08/2026,03:00,Jahn Regensburg,1. FC Saarbrücken,0-1,Final
2,16/08/2026,03:00,VfB Stuttgart II,Viktoria Köln,1-3,Final
3,28/08/2026,03:00,Fortuna Düsseldorf,VfB Stuttgart II,1-0,Final
3,29/08/2026,03:00,MSV Duisburg,Würzburger Kickers,3-0,Final
3,29/08/2026,03:00,Alemannia Aachen,SV Meppen,0-3,Final
3,29/08/2026,03:00,SC Verl,Fortuna Köln,1-2,Final
3,29/08/2026,03:00,SV Wehen Wiesbaden,Rot-Weiss Essen,0-0,Final
3,29/08/2026,03:00,SG Sonnenhof Großaspach,FC Ingolstadt 04,0-2,Final
