matchday,date,time,home_team,away_team,result,status
1,17/10/2025,,Adelaide United,Sydney FC,2-1,Final
1,17/10/2025,,Brisbane Roar,Macarthur FC,1-0,Final
1,18/10/2025,,Western Sydney Wanderers,Melbourne City FC,1-1,Final
1,18/10/2025,,Melbourne Victory,Auckland FC,0-0,Final
1,18/10/2025,,Perth Glory,Wellington Phoenix,2-2,Final
1,19/10/2025,,Central Coast Mariners,Newcastle United Jets,3-2,Final
2,24/10/2025,,Newcastle United Jets,Melbourne Victory,5-2,Final
2,25/10/2025,,Auckland FC,Western Sydney Wanderers,1-0,Final
2,25/10/2025,,Melbourne City FC,Perth Glory,4-0,Final
2,25/10/2025,,Sydney FC,Central Coast Mariners,2-0,Final
2,26/10/2025,,Wellington Phoenix,Brisbane Roar,2-1,Final
2,27/10/2025,,Macarthur FC,Adelaide United,2-1,Final
3,31/10/2025,,Brisbane Roar,Melbourne City FC,0-0,Final
3,31/10/2025,,Perth Glory,Melbourne Victory,0-2,Final
3,01/11/2025,,Auckland FC,Adelaide United,2-1,Final
3,01/11/2025,,Newcastle United Jets,Sydney FC,1-4,Final
3,01/11/2025,,Macarthur FC,Western Sydney Wanderers,1-1,Final
3,02/11/2025,,Central Coast Mariners,Wellington Phoenix,1-1,Final
4,07/11/2025,,Adelaide United,Western Sydney Wanderers,2-0,Final
4,07/11/2025,,Perth Glory,Central Coast Mariners,0-1,Final
4,08/11/2025,,Wellington Phoenix,Auckland FC,1-2,Final
4,08/11/2025,,Melbourne Victory,Melbourne City FC,0-2,Final
4,09/11/2025,,Sydney FC,Macarthur FC,2-0,Final
4,09/11/2025,,Brisbane Roar,Newcastle United Jets,3-0,Final
5,21/11/2025,,Adelaide United,Melbourne City FC,4-1,Final
5,22/11/2025,,Wellington Phoenix,Macarthur FC,0-1,Final
5,22/11/2025,,Western Sydney Wanderers,Central Coast Mariners,3-2,Final
5,22/11/2025,,Sydney FC,Melbourne Victory,3-0,Final
5,23/11/2025,,Auckland FC,Brisbane Roar,1-1,Final
5,23/11/2025,,Newcastle United Jets,Perth Glory,1-2,Final
6,28/11/2025,,Brisbane Roar,Melbourne Victory,1-0,Final
6,29/11/2025,,Wellington Phoenix,Adelaide United,2-1,Final
