matchday,date,time,home_team,away_team,result,status
1,21/02/2026,03:00,FK Žalgiris,FC Džiugas,2-3,Final
1,22/02/2026,03:00,FK Panevėžys,FK Sūduva,0-0,Final
1,22/02/2026,03:00,FC Hegelmann,Banga Gargždai,0-2,Final
1,22/02/2026,03:00,FK TransINVEST,FA Šiauliai,2-2,Final
1,23/02/2026,03:00,FK Riteriai,Kauno Žalgiris,1-2,Final
2,27/02/2026,03:00,FK Žalgiris,FK Panevėžys,4-1,Final
2,28/02/2026,03:00,Kauno Žalgiris,Banga Gargždai,1-0,Final
2,28/02/2026,03:00,FC Hegelmann,FC Džiugas,1-1,Final
2,01/03/2026,03:00,FK Sūduva,FA Šiauliai,0-0,Final
2,01/03/2026,03:00,FK TransINVEST,FK Riteriai,3-0,Final
3,07/03/2026,03:00,FC Džiugas,Kauno Žalgiris,1-2,Final
3,07/03/2026,03:00,FK Panevėžys,FC Hegelmann,1-1,Final
3,07/03/2026,03:00,FK Sūduva,FK TransINVEST,2-0,Final
3,07/03/2026,03:00,FA Šiauliai,FK Žalgiris,0-2,Final
3,08/03/2026,03:00,Banga Gargždai,FK Riteriai,5-0,Final
4,10/03/2026,03:00,Kauno Žalgiris,FK Panevėžys,4-0,Final
4,10/03/2026,03:00,FK Žalgiris,FK Sūduva,1-0,Final
4,11/03/2026,03:00,FC Hegelmann,FA Šiauliai,1-1,Final
4,11/03/2026,03:00,FK TransINVEST,Banga Gargždai,1-0,Final
4,11/03/2026,03:00,FK Riteriai,FC Džiugas,0-2,Final
5,14/03/2026,03:00,FK Sūduva,FC Hegelmann,0-0,Final
5,15/03/2026,03:00,FK Panevėžys,FK Riteriai,2-1,Final
5,15/03/2026,03:00,Banga Gargždai,FC Džiugas,0-1,Final
5,15/03/2026,03:00,FA Šiauliai,Kauno Žalgiris,0-5,Final
5,16/03/2026,03:00,FK Žalgiris,FK TransINVEST,1-2,Final
6,20/03/2026,03:00,FK Riteriai,FA Šiauliai,1-1,Final
6,21/03/2026,03:00,Kauno Žalgiris,FK Sūduva,1-1,Final
6,21/03/2026,03:00,Banga Gargždai,FK Panevėžys,0-1,Final
6,22/03/2026,03:00,FC Hegelmann,FK Žalgiris,0-0,Final
6,22/03/2026,03:00,FK TransINVEST,FC Džiugas,0-0,Final
7,03/04/2026,03:00,FK Sūduva,FK Riteriai,5-0,Final
7,04/04/2026,03:00,FC Hegelmann,FK TransINVEST,3-1,Final
7,04/04/2026,03:00,FA Šiauliai,Banga Gargždai,0-0,Final
7,05/04/2026,03:00,FK Panevėžys,FC Džiugas,0-1,Final
7,05/04/2026,03:00,FK Žalgiris,Kauno Žalgiris,0-3,Final
8,10/04/2026,03:00,FK Riteriai,FK Žalgiris,0-0,Final
8,11/04/2026,03:00,Kauno Žalgiris,FC Hegelmann,5-0,Final
8,11/04/2026,03:00,Banga Gargždai,FK Sūduva,2-1,Final
8,12/04/2026,03:00,FK TransINVEST,FK Panevėžys,1-2,Final
8,12/04/2026,03:00,FC Džiugas,FA Šiauliai,1-0,Final
9,17/04/2026,03:00,FC Hegelmann,FK Riteriai,0-0,Final
9,17/04/2026,03:00,FK Žalgiris,Banga Gargždai,1-1,Final
9,18/04/2026,03:00,Kauno Žalgiris,FK TransINVEST,1-2,Final
9,18/04/2026,03:00,FA Šiauliai,FK Panevėžys,3-1,Final
9,19/04/2026,03:00,FK Sūduva,FC Džiugas,3-2,Final
10,25/04/2026,03:00,FK Sūduva,FK Panevėžys,1-0,Final
10,25/04/2026,03:00,Kauno Žalgiris,FK Riteriai,4-0,Final
10,26/04/2026,03:00,Banga Gargždai,FC Hegelmann,2-1,Final
10,26/04/2026,03:00,FC Džiugas,FK Žalgiris,0-3,Final
10,26/04/2026,03:00,FA Šiauliai,FK TransINVEST,0-4,Final
