matchday,date,time,home_team,away_team,result,status
1,12/09/2025,09:00,Ittihad Tanger,Hassania US Agadir,1-1,Final
1,12/09/2025,09:00,Olympique Dcheira,RS Berkane,0-4,Final
1,12/09/2025,09:00,Olympique de Safi,Union Touarga Sport,1-1,Final
1,12/09/2025,09:00,Wydad AC,Kawkab AC Marrakech,1-0,Final
1,13/09/2025,09:00,FUS de Rabat,Raja Casablanca,0-2,Final
1,13/09/2025,09:00,FAR de Rabat,US Yacoub El Mansour,2-0,Final
1,14/09/2025,09:00,Difaâ Hassani El Jadidi,COD Meknès,0-0,Final
1,14/09/2025,09:00,Maghrib de Fès,RCA Zemamra,2-0,Final
2,15/09/2025,09:00,Ittihad Tanger,Olympique de Safi,1-1,Final
2,16/09/2025,09:00,Kawkab AC Marrakech,RS Berkane,1-2,Final
2,17/09/2025,09:00,Raja Casablanca,FAR de Rabat,0-0,Final
2,19/09/2025,09:00,US Yacoub El Mansour,Wydad AC,1-1,Final
2,20/09/2025,09:00,Hassania US Agadir,Maghrib de Fès,0-2,Final
2,20/09/2025,09:00,COD Meknès,FUS de Rabat,2-0,Final
2,21/09/2025,09:00,RCA Zemamra,Difaâ Hassani El Jadidi,0-0,Final
2,21/09/2025,09:00,Union Touarga Sport,Olympique Dcheira,1-1,Final
3,26/09/2025,09:00,FUS de Rabat,Union Touarga Sport,1-1,Final
3,27/09/2025,09:00,Olympique Dcheira,Kawkab AC Marrakech,2-1,Final
3,28/09/2025,09:00,Difaâ Hassani El Jadidi,Raja Casablanca,0-2,Final
3,28/09/2025,09:00,Maghrib de Fès,COD Meknès,0-0,Final
3,28/09/2025,09:00,Wydad AC,RCA Zemamra,3-1,Final
3,01/10/2025,09:00,Olympique de Safi,Hassania US Agadir,1-0,Final
3,01/10/2025,09:00,FAR de Rabat,Ittihad Tanger,1-1,Final
3,01/10/2025,09:00,RS Berkane,US Yacoub El Mansour,3-3,Final
4,03/10/2025,09:00,COD Meknès,Wydad AC,1-3,Final
4,03/10/2025,09:00,Raja Casablanca,Maghrib de Fès,1-1,Final
4,04/10/2025,09:00,RCA Zemamra,Kawkab AC Marrakech,1-1,Final
4,04/10/2025,09:00,Ittihad Tanger,FUS de Rabat,0-3,Final
4,05/10/2025,09:00,Hassania US Agadir,Difaâ Hassani El Jadidi,2-1,Final
4,05/10/2025,09:00,US Yacoub El Mansour,Olympique Dcheira,0-1,Final
4,05/10/2025,09:00,Union Touarga Sport,RS Berkane,2-2,Final
4,05/10/2025,09:00,Olympique de Safi,FAR de Rabat,0-3,Final
5,18/10/2025,09:00,Olympique Dcheira,RCA Zemamra,0-1,Final
5,18/10/2025,09:00,Maghrib de Fès,Union Touarga Sport,1-0,Final
5,19/10/2025,09:00,Kawkab AC Marrakech,US Yacoub El Mansour,2-1,Final
5,19/10/2025,09:00,Difaâ Hassani El Jadidi,Ittihad Tanger,2-2,Final
5,29/10/2025,09:00,FAR de Rabat,Hassania US Agadir,3-0,Final
5,29/10/2025,09:00,Wydad AC,Raja Casablanca,0-0,Final
5,30/10/2025,09:00,FUS de Rabat,Olympique de Safi,2-1,Final
5,05/11/2025,09:00,RS Berkane,COD Meknès,2-0,Final
6,25/10/2025,09:00,Ittihad Tanger,Maghrib de Fès,1-1,Final
6,25/10/2025,09:00,Raja Casablanca,Olympique Dcheira,1-0,Final
