matchday,date,time,home_team,away_team,result,status
1,21/03/2026,03:00,Vila Nova - GO,CR Brasil - AL,2-2,Final
1,21/03/2026,03:00,Ceará - CE,São Bernardo FC - SP,1-1,Final
1,21/03/2026,03:00,Operário Ferroviário - PR,Atlético Goianiense,1-0,Final
1,21/03/2026,03:00,Botafogo - SP,Fortaleza - CE,4-0,Final
1,22/03/2026,03:00,Cuiabá - MT,Sport Recife - PE,0-0,Final
1,22/03/2026,03:00,Avaí - SC,Juventude - RS,2-0,Final
1,22/03/2026,03:00,Náutico - PE,Criciúma - SC,0-1,Final
1,22/03/2026,03:00,Athletic - MG,Ponte Preta,2-1,Final
1,22/03/2026,03:00,Goiás - GO,América - MG,3-1,Final
1,23/03/2026,03:00,Grêmio Novorizontino - SP,Londrina - PR,1-3,Final
2,31/03/2026,03:00,Juventude - RS,Grêmio Novorizontino - SP,0-0,Final
2,01/04/2026,03:00,Fortaleza - CE,Cuiabá - MT,0-0,Final
2,01/04/2026,03:00,América - MG,Botafogo - SP,1-2,Final
2,02/04/2026,03:00,Londrina - PR,Goiás - GO,2-2,Final
2,02/04/2026,03:00,Atlético Goianiense,Náutico - PE,1-2,Final
2,02/04/2026,03:00,Sport Recife - PE,Vila Nova - GO,1-1,Final
2,02/04/2026,03:00,Ponte Preta,Ceará - CE,1-1,Final
2,02/04/2026,03:00,Criciúma - SC,Athletic - MG,1-1,Final
2,02/04/2026,03:00,CR Brasil - AL,Avaí - SC,0-1,Final
2,03/04/2026,03:00,São Bernardo FC - SP,Operário Ferroviário - PR,1-2,Final
3,04/04/2026,03:00,Fortaleza - CE,Juventude - RS,2-1,Final
3,04/04/2026,03:00,Náutico - PE,Ponte Preta,1-0,Final
3,04/04/2026,03:00,Cuiabá - MT,Ceará - CE,0-2,Final
3,05/04/2026,03:00,Vila Nova - GO,Atlético Goianiense,2-1,Final
3,05/04/2026,03:00,Londrina - PR,Sport Recife - PE,1-2,Final
3,05/04/2026,03:00,Avaí - SC,Operário Ferroviário - PR,0-0,Final
3,05/04/2026,03:00,Grêmio Novorizontino - SP,CR Brasil - AL,1-1,Final
3,06/04/2026,03:00,Athletic - MG,América - MG,1-1,Final
3,06/04/2026,03:00,Botafogo - SP,São Bernardo FC - SP,1-2,Final
3,07/04/2026,03:00,Goiás - GO,Criciúma - SC,1-0,Final
4,11/04/2026,03:00,Criciúma - SC,Botafogo - SP,1-0,Final
4,11/04/2026,03:00,Juventude - RS,Goiás - GO,2-0,Final
4,11/04/2026,03:00,Ponte Preta,Vila Nova - GO,0-1,Final
4,11/04/2026,03:00,Sport Recife - PE,Avaí - SC,2-2,Final
4,12/04/2026,03:00,Ceará - CE,Náutico - PE,1-0,Final
4,12/04/2026,03:00,São Bernardo FC - SP,Fortaleza - CE,0-1,Final
4,12/04/2026,03:00,América - MG,Grêmio Novorizontino - SP,0-3,Final
4,12/04/2026,03:00,Operário Ferroviário - PR,Cuiabá - MT,0-0,Final
4,13/04/2026,03:00,CR Brasil - AL,Athletic - MG,2-3,Final
4,13/04/2026,03:00,Atlético Goianiense,Londrina - PR,2-1,Final
5,18/04/2026,03:00,América - MG,Sport Recife - PE,0-0,Final
5,18/04/2026,03:00,Náutico - PE,São Bernardo FC - SP,0-3,Final
5,18/04/2026,03:00,Vila Nova - GO,Operário Ferroviário - PR,2-1,Final
5,19/04/2026,03:00,Avaí - SC,Ponte Preta,1-2,Final
