matchday,date,time,home_team,away_team,result,status
1,31/07/2026,03:00,LASK,Grazer AK,3-0,Final
1,01/08/2026,03:00,WSG Tirol,Sturm Graz,1-1,Final
1,01/08/2026,03:00,Red Bull Salzburgo,TSV Hartberg,1-0,Final
1,02/08/2026,03:00,Wolfsberger AC,Austria Wien,3-0,Final
1,02/08/2026,03:00,Austria Lustenau,SV Ried,1-1,Final
1,02/08/2026,03:00,Rapid Wien,SCR Altach,1-0,Final
2,07/08/2026,03:00,SCR Altach,WSG Tirol,3-1,Final
2,08/08/2026,03:00,Grazer AK,Austria Lustenau,2-1,Final
2,08/08/2026,03:00,TSV Hartberg,Sturm Graz,0-2,Final
2,09/08/2026,03:00,SV Ried,Rapid Wien,1-2,Final
2,09/08/2026,03:00,Wolfsberger AC,Red Bull Salzburgo,1-1,Final
2,09/08/2026,03:00,Austria Wien,LASK,0-2,Final
3,14/08/2026,03:00,LASK,SV Ried,4-1,Final
3,15/08/2026,10:00,Austria Lustenau,Wolfsberger AC,,
3,15/08/2026,12:30,Sturm Graz,SCR Altach,,
3,16/08/2026,10:00,TSV Hartberg,Austria Wien,,
3,16/08/2026,10:00,WSG Tirol,Red Bull Salzburgo,,
3,16/08/2026,12:00,Rapid Wien,Grazer AK,,
4,21/08/2026,12:30,SV Ried,Grazer AK,,
4,22/08/2026,10:00,SCR Altach,TSV Hartberg,,
4,22/08/2026,12:30,Sturm Graz,Austria Lustenau,,
4,01/09/2026,12:30,Wolfsberger AC,LASK,,
4,02/09/2026,11:30,Austria Wien,WSG Tirol,,
4,02/09/2026,13:30,Red Bull Salzburgo,Rapid Wien,,
5,28/08/2026,12:30,Austria Lustenau,WSG Tirol,,
5,29/08/2026,10:00,Grazer AK,Wolfsberger AC,,
5,29/08/2026,12:30,LASK,SCR Altach,,
5,30/08/2026,10:00,Rapid Wien,Sturm Graz,,
5,30/08/2026,10:00,TSV Hartberg,SV Ried,,
5,30/08/2026,12:00,Red Bull Salzburgo,Austria Wien,,
6,11/09/2026,12:30,SV Ried,Red Bull Salzburgo,,
6,12/09/2026,10:00,SCR Altach,Grazer AK,,
6,12/09/2026,12:30,Wolfsberger AC,Rapid Wien,,
6,13/09/2026,07:30,Austria Wien,Austria Lustenau,,
6,13/09/2026,07:30,WSG Tirol,TSV Hartberg,,
6,13/09/2026,10:00,Sturm Graz,LASK,,
7,18/09/2026,12:30,Rapid Wien,WSG Tirol,,
7,19/09/2026,10:00,Austria Lustenau,SCR Altach,,
7,19/09/2026,12:30,Grazer AK,Austria Wien,,
7,20/09/2026,07:30,TSV Hartberg,LASK,,
7,20/09/2026,07:30,SV Ried,Wolfsberger AC,,
7,20/09/2026,10:00,Red Bull Salzburgo,Sturm Graz,,
8,10/10/2026,03:00,LASK,Rapid Wien,,
