matchday,date,time,home_team,away_team,result,status
1,04/02/2026,03:00,The Strongest,Deportivo Táchira,2-1,Final
1,05/02/2026,03:00,2 de Mayo,Alianza Lima,1-0,Final
1,06/02/2026,03:00,Juventud de Las Piedras,Universidad Católica,0-1,Final
1,11/02/2026,03:00,Deportivo Táchira,The Strongest,5-3,Final
1,12/02/2026,03:00,Alianza Lima,2 de Mayo,1-1,Final
1,13/02/2026,03:00,Universidad Católica,Juventud de Las Piedras,3-4,Final
2,17/02/2026,03:00,Carabobo FC,Huachipato,1-0,Final
2,18/02/2026,03:00,2 de Mayo,Sporting Cristal,2-2,Final
2,18/02/2026,03:00,Liverpool,Independiente Medellín,1-2,Final
2,18/02/2026,03:00,O'Higgins,Bahia - BA,1-0,Final
2,19/02/2026,03:00,Barcelona,Argentinos Juniors,0-1,Final
2,19/02/2026,03:00,Nacional Potosí,Botafogo - RJ,1-0,Final
2,19/02/2026,03:00,Juventud de Las Piedras,Guaraní,0-0,Final
2,20/02/2026,03:00,Deportivo Táchira,Deportes Tolima,0-1,Final
3,24/02/2026,03:00,Huachipato,Carabobo FC,1-2,Final
3,25/02/2026,03:00,Sporting Cristal,2 de Mayo,5-4,Final
3,25/02/2026,03:00,Independiente Medellín,Liverpool,0-0,Final
3,25/02/2026,03:00,Bahia - BA,O'Higgins,3-4,Final
3,26/02/2026,03:00,Argentinos Juniors,Barcelona,4-5,Final
3,26/02/2026,03:00,Botafogo - RJ,Nacional Potosí,2-0,Final
3,26/02/2026,03:00,Guaraní,Juventud de Las Piedras,1-2,Final
3,27/02/2026,03:00,Deportes Tolima,Deportivo Táchira,3-0,Final
4,04/03/2026,03:00,Barcelona,Botafogo - RJ,1-1,Final
4,04/03/2026,03:00,Carabobo FC,Sporting Cristal,0-1,Final
4,05/03/2026,03:00,O'Higgins,Deportes Tolima,1-0,Final
4,06/03/2026,03:00,Juventud de Las Piedras,Independiente Medellín,1-1,Final
4,11/03/2026,03:00,Botafogo - RJ,Barcelona,0-1,Final
4,11/03/2026,03:00,Sporting Cristal,Carabobo FC,3-2,Final
4,12/03/2026,03:00,Deportes Tolima,O'Higgins,2-0,Final
4,13/03/2026,03:00,Independiente Medellín,Juventud de Las Piedras,2-1,Final
