matchday,date,time,home_team,away_team,result,status
1,27/09/2025,09:30,Sant Just,Atletico Calatayud,3-0,Final
1,27/09/2025,10:00,Deportivo Getxo,Betis Valladolid,0-0,Final
1,27/09/2025,10:15,Puerto de Vega,Alberite,4-0,Final
1,27/09/2025,11:00,Textil Escudo,SD Negreira,2-1,Final
1,27/09/2025,11:00,Manises,Los Garres,2-0,Final
1,27/09/2025,11:00,Sporting Ceuta,Maracena,1-1,Final
1,27/09/2025,11:45,Campanario,CD Yuncos,0-0,Final
1,27/09/2025,13:00,Atlético Melilla,Palma del Rio,0-5,Final
1,27/09/2025,13:00,CD Sant Jordi,Lourdes,1-0,Final
1,27/09/2025,13:00,Inter de Valdemoro,Universitario FC,1-1,Final
1,04/10/2025,09:45,Alberite,Puerto de Vega,1-1,Final
1,04/10/2025,10:00,Betis Valladolid,Deportivo Getxo,1-2,Final
1,04/10/2025,10:30,Lourdes,CD Sant Jordi,1-3,Final
1,04/10/2025,10:30,Atletico Calatayud,Sant Just,1-4,Final
1,04/10/2025,10:30,SD Negreira,Textil Escudo,4-0,Final
1,04/10/2025,11:00,Los Garres,Manises,2-0,Final
1,04/10/2025,11:00,CD Yuncos,Campanario,2-0,Final
1,04/10/2025,11:00,Palma del Rio,Atlético Melilla,5-0,Final
1,04/10/2025,11:30,Maracena,Sporting Ceuta,2-0,Final
1,04/10/2025,13:00,Universitario FC,Inter de Valdemoro,1-3,Final
128,28/10/2025,13:00,Ourense CF,Oviedo,4-2,Final
128,28/10/2025,13:00,Atlético Tordesillas,Burgos,1-2,Final
128,28/10/2025,13:00,Constància,Girona,2-3,Final
128,28/10/2025,13:30,Ucam Murcia,Cadiz,1-3,Final
128,28/10/2025,13:30,Langreo,Racing Ferrol,0-0,Final
128,28/10/2025,13:30,SD Logroñés,Racing Santander,0-4,Final
128,28/10/2025,14:00,Rayo Majadahonda,CF Talavera,1-4,Final
128,28/10/2025,14:00,San Fernando CD,Albacete,0-3,Final
128,28/10/2025,14:00,Tropezón,Cultural Leonesa,1-3,Final
128,28/10/2025,14:00,Roda,Granada CF,1-5,Final
128,28/10/2025,14:00,Maracena,Valencia,0-5,Final
128,28/10/2025,14:00,Guadalajara,Cacereño,2-1,Final
128,28/10/2025,14:00,Inter de Valdemoro,Getafe,0-11,Final
128,28/10/2025,14:30,RSD Alcalá,Tenerife,0-4,Final
128,28/10/2025,14:30,Utebo,Huesca,0-3,Final
128,28/10/2025,15:00,Toledo,Sevilla,1-4,Final
128,28/10/2025,15:00,Extremadura 1924,Las Palmas,3-1,Final
128,28/10/2025,15:00,SD Negreira,Real Sociedad,0-3,Final
128,29/10/2025,12:00,Poblense,Sabadell,1-2,Final
128,29/10/2025,13:00,Ebro,Tarazona,1-1,Final
128,29/10/2025,13:00,Mutilvera,Zaragoza,1-3,Final
128,29/10/2025,13:00,Los Garres,Elche,0-4,Final
128,29/10/2025,13:00,CD Sant Jordi,Osasuna,0-5,Final
128,29/10/2025,13:30,La Unión Atlético,AD Ceuta FC,0-2,Final
128,29/10/2025,14:00,Numancia,Arenas Getxo,3-0,Final
128,29/10/2025,14:00,Navalcarnero,Mérida AD,2-1,Final
128,29/10/2025,14:00,Sant Andreu,Teruel,2-1,Final
128,29/10/2025,14:00,Lorca Deportiva,Almeria,0-2,Final
128,29/10/2025,14:00,Portugalete,Valladolid,1-0,Final
128,29/10/2025,14:00,Caudal,Sporting Gijon,0-1,Final
128,29/10/2025,14:00,Atlético Astorga,Mirandes,1-1,Final
128,29/10/2025,14:00,Azuaga,Leganes,1-4,Final
128,29/10/2025,14:00,Náxara,Eibar,2-4,Final
128,29/10/2025,14:00,Torrent,Juventud Torremolinos,3-1,Final
128,29/10/2025,14:00,Cieza,Cordoba,1-0,Final
128,29/10/2025,14:00,Sant Just,Mallorca,0-2,Final
128,29/10/2025,14:30,UD Ourense,Pontevedra,1-1,Final
128,29/10/2025,14:30,Puente Genil,FC Cartagena,0-1,Final
128,29/10/2025,14:30,Reddis,Europa Fc,1-1,Final
128,29/10/2025,15:00,Real Jaén,Eldense,1-3,Final
128,29/10/2025,15:00,Ciudad de Lucena,Villarreal,0-6,Final
128,29/10/2025,15:00,Quintanar del Rey,Ibiza,1-1,Final
128,29/10/2025,15:00,CD Yuncos,Rayo Vallecano,1-6,Final
128,30/10/2025,13:00,Orihuela,Levante,3-4,Final
128,30/10/2025,13:00,Puerto de Vega,Celta Vigo,0-2,Final
128,30/10/2025,13:30,Valle Egüés,FC Andorra,1-5,Final
128,30/10/2025,14:00,UD Logroñés,Ponferradina,1-3,Final
128,30/10/2025,14:00,Atlético Baleares,Gimnastic,2-0,Final
128,30/10/2025,14:00,Real Ávila,Real Avilés,1-0,Final
128,30/10/2025,14:00,Deportivo Getxo,Alaves,0-7,Final
128,30/10/2025,15:00,Real Murcia,Antequera,1-1,Final
128,30/10/2025,15:00,Antoniano,Castellón,1-0,Final
128,30/10/2025,15:00,Sámano,Deportivo La Coruna,1-5,Final
128,30/10/2025,15:00,Estepona,Malaga,1-3,Final
128,30/10/2025,15:00,Atlètic Lleida,Espanyol,1-2,Final
128,30/10/2025,15:00,Palma del Rio,Real Betis,1-7,Final
64,02/12/2025,13:00,Numancia,Mallorca,2-3,Final
64,02/12/2025,13:00,Ebro,Osasuna,3-5,Final
64,02/12/2025,13:00,Portugalete,Alaves,0-3,Final
64,02/12/2025,13:00,Racing Ferrol,Huesca,0-2,Final
64,02/12/2025,14:00,Guadalajara,AD Ceuta FC,1-0,Final
64,02/12/2025,15:00,Navalcarnero,Getafe,2-3,Final
64,03/12/2025,14:00,Cultural Leonesa,FC Andorra,4-2,Final
64,03/12/2025,14:00,Mirandes,Sporting Gijon,0-2,Final
64,03/12/2025,14:00,CF Talavera,Malaga,2-1,Final
64,03/12/2025,14:00,Real Murcia,Cadiz,3-2,Final
