matchday,date,time,home_team,away_team,result,status
1,03/03/2026,03:00,Independiente Petrolero,CD Guabirá,3-2,Final
1,03/03/2026,03:00,Montevideo City Torque,Defensor Sporting,1-0,Final
1,04/03/2026,03:00,Cobresal,Audax Italiano,2-3,Final
1,04/03/2026,03:00,Academia Puerto Cabello,Monagas,5-3,Final
1,04/03/2026,03:00,Alianza Atlético,Deportivo Garcilaso,2-0,Final
1,04/03/2026,03:00,Blooming,San Antonio Bulo Bulo,3-0,Final
1,04/03/2026,03:00,Caracas FC,Metropolitanos FC,4-3,Final
1,05/03/2026,03:00,Universidad de Chile,Palestino,1-2,Final
1,05/03/2026,03:00,Atlético Nacional,Millonarios,1-3,Final
1,05/03/2026,03:00,Sportivo Trinidense,Club Olimpia,0-1,Final
1,05/03/2026,03:00,Deportivo Cuenca,Libertad de Loja,3-0,Final
1,05/03/2026,03:00,Club Nacional,Deportivo Recoleta,4-5,Final
1,05/03/2026,03:00,Boston River,Racing,1-0,Final
1,06/03/2026,03:00,América de Cali,Atlético Bucaramanga,2-1,Final
1,06/03/2026,03:00,Cienciano,FBC Melgar,5-4,Final
1,06/03/2026,03:00,Orense SC,Macará,0-1,Final
2,08/04/2026,03:00,Alianza Atlético,Tigre,1-1,Final
2,10/04/2026,03:00,Macará,América de Cali,1-1,Final
2,16/04/2026,03:00,América de Cali,Alianza Atlético,2-1,Final
2,17/04/2026,03:00,Tigre,Macará,0-1,Final
2,01/05/2026,03:00,Tigre,América de Cali,2-0,Final
2,01/05/2026,03:00,Alianza Atlético,Macará,0-2,Final
2,07/05/2026,03:00,Macará,Tigre,2-2,Final
2,07/05/2026,03:00,Alianza Atlético,América de Cali,0-2,Final
3,20/05/2026,03:00,América de Cali,Tigre,1-1,Final
3,22/05/2026,03:00,Macará,Alianza Atlético,0-0,Final
3,29/05/2026,03:00,Tigre,Alianza Atlético,2-0,Final
3,29/05/2026,03:00,América de Cali,Macará,0-0,Final
3,09/04/2026,03:00,Academia Puerto Cabello,Atlético Mineiro,2-1,Final
4,10/04/2026,03:00,Juventud de Las Piedras,Cienciano,1-1,Final
4,17/04/2026,03:00,Atlético Mineiro,Juventud de Las Piedras,2-1,Final
4,17/04/2026,03:00,Cienciano,Academia Puerto Cabello,2-0,Final
4,30/04/2026,03:00,Juventud de Las Piedras,Academia Puerto Cabello,4-0,Final
4,30/04/2026,03:00,Cienciano,Atlético Mineiro,1-0,Final
5,06/05/2026,03:00,Juventud de Las Piedras,Atlético Mineiro,2-2,Final
