matchday,date,time,home_team,away_team,result,status
,21/08/2026,03:00,SC St. Tönis 11/20,Eintracht Francfort,0-11,Final
,21/08/2026,03:00,Preußen Münster,Karlsruher SC,1-2,Final
,21/08/2026,03:00,Waldhof Mannheim,1. FC Kaiserslautern,0-1,Final
,21/08/2026,03:00,Hansa Rostock,VfB Stuttgart,0-4,Final
,22/08/2026,03:00,SV Wehen Wiesbaden,Bayer Leverkusen,0-4,Final
,22/08/2026,03:00,Energie Cottbus,FC Augsburgo,0-2,Final
,22/08/2026,03:00,Erzgebirge Aue,1899 Hoffenheim,0-4,Final
,22/08/2026,03:00,SV Hemelingen,Hanóver 96,1-9,Final
,22/08/2026,03:00,1. FC Saarbrücken,Hertha BSC,2-4,Final
,22/08/2026,03:00,Viktoria Köln,1. FC Nuremberg,4-5,Final
,22/08/2026,03:00,MSV Duisburg,SV 07 Elversberg,1-3,Final
,22/08/2026,03:00,Lüneburger SK Hansa,Werder Bremen,0-3,Final
,22/08/2026,03:00,Eintracht Trier,RB Leipzig,0-6,Final
,22/08/2026,03:00,SG Sonnenhof Großaspach,Arminia Bielefeld,3-0,Final
,22/08/2026,03:00,TSV 1860 München,Holstein Kiel,0-2,Final
,23/08/2026,03:00,SSV Jeddeloh II,1. FC Heidenheim 1846,5-2,Final
,23/08/2026,03:00,SpVgg Greuther Fürth,VfL Bochum,1-2,Final
,23/08/2026,03:00,Eintracht Brunswick,Union Berlín,2-4,Final
,23/08/2026,03:00,TSV Schott Mainz,Bor. Mönchengladbach,0-5,Final
,23/08/2026,03:00,VfB 1921 Krieschow,1. FSV Mainz 05,0-9,Final
,23/08/2026,03:00,FC Carl Zeiss Jena,SV Darmstadt 98,1-2,Final
,23/08/2026,03:00,Bahlinger SC,1. FC Magdeburg,0-4,Final
,23/08/2026,03:00,Westfalia Rhynern,Dynamo Dresden,0-6,Final
,23/08/2026,03:00,Fortuna Düsseldorf,SC Friburgo,1-5,Final
,23/08/2026,03:00,Rot-Weiss Essen,FC St. Pauli,2-0,Final
,23/08/2026,03:00,1. FC Phönix Lübeck,SC Paderborn 07,2-4,Final
,24/08/2026,03:00,SC Verl,Hamburgo SV,0-3,Final
,24/08/2026,03:00,VSG Altglienicke,VfL Wolfsburgo,5-6,Final
,24/08/2026,03:00,Würzburger Kickers,1. FC Colonia,1-2,Final
,24/08/2026,03:00,Hallescher FC,FC Schalke 04,2-5,Final
,01/09/2026,13:45,HEBC Hamburg,Borussia Dortmund,,
,02/09/2026,13:45,VfL Osnabrück,Bayern Munich,,
,27/10/2026,03:00,N.,N.,,
,01/12/2026,03:00,N.,N.,,
,02/02/2027,03:00,N.,N.,,
,09/02/2027,03:00,N.,N.,,
,20/04/2027,03:00,N.,N.,,
,21/04/2027,03:00,N.,N.,,
,29/05/2027,03:00,Ganador SF 1,Ganador SF 2,,
