matchday,date,time,home_team,away_team,result,status
1,08/08/2025,13:00,De Graafschap,VVV Venlo,3-2,Final
1,08/08/2025,13:00,Dordrecht,Cambuur,1-0,Final
1,08/08/2025,13:00,Den Bosch,Jong Ajax,2-0,Final
1,08/08/2025,13:00,FC Eindhoven,Jong Utrecht,1-0,Final
1,08/08/2025,13:00,FC OSS,MVV,4-0,Final
1,09/08/2025,09:30,Almere City FC,Vitesse,,Cancelado
1,10/08/2025,05:15,Helmond Sport,Roda,1-3,Final
1,10/08/2025,09:45,ADO Den Haag,Willem II,5-1,Final
1,11/08/2025,13:00,Jong PSV U21,Emmen,3-1,Final
1,11/08/2025,13:00,Jong AZ,Waalwijk,2-3,Final
2,15/08/2025,13:00,Vitesse,Den Bosch,,Cancelado
2,15/08/2025,13:00,VVV Venlo,Jong PSV U21,0-2,Final
2,15/08/2025,13:00,Roda,De Graafschap,1-0,Final
2,15/08/2025,13:00,Waalwijk,Helmond Sport,1-1,Final
2,15/08/2025,13:00,Cambuur,FC OSS,1-0,Final
2,16/08/2025,09:30,MVV,Dordrecht,0-1,Final
2,17/08/2025,05:15,Emmen,Almere City FC,1-4,Final
2,17/08/2025,09:45,Willem II,FC Eindhoven,0-1,Final
2,18/08/2025,13:00,Jong Ajax,Jong AZ,4-1,Final
2,18/08/2025,13:00,Jong Utrecht,ADO Den Haag,2-2,Final
3,22/08/2025,13:00,De Graafschap,MVV,0-1,Final
3,22/08/2025,13:00,Almere City FC,Willem II,0-1,Final
3,22/08/2025,13:00,FC Eindhoven,Waalwijk,1-0,Final
3,22/08/2025,13:00,Helmond Sport,Emmen,2-0,Final
3,23/08/2025,09:30,Dordrecht,Jong PSV U21,1-2,Final
3,24/08/2025,05:15,VVV Venlo,Roda,3-1,Final
3,24/08/2025,09:45,Den Bosch,FC OSS,5-2,Final
3,25/08/2025,13:00,Jong AZ,Cambuur,0-1,Final
3,25/08/2025,13:00,Jong Utrecht,Jong Ajax,4-3,Final
4,29/08/2025,13:00,Willem II,Jong Utrecht,2-1,Final
4,29/08/2025,13:00,ADO Den Haag,Helmond Sport,2-0,Final
4,29/08/2025,13:00,Emmen,Den Bosch,3-1,Final
4,29/08/2025,13:00,Jong PSV U21,Jong AZ,1-0,Final
4,29/08/2025,13:00,Roda,FC Eindhoven,0-0,Final
4,29/08/2025,13:00,FC OSS,Dordrecht,0-3,Final
4,29/08/2025,13:00,Jong Ajax,MVV,0-0,Final
4,30/08/2025,09:30,Waalwijk,Almere City FC,2-0,Final
4,31/08/2025,09:45,Cambuur,VVV Venlo,3-1,Final
6,05/09/2025,13:00,De Graafschap,Emmen,2-3,Final
6,06/09/2025,13:00,Cambuur,Willem II,2-2,Final
5,12/09/2025,13:00,De Graafschap,Willem II,1-1,Final
5,12/09/2025,13:00,Emmen,FC OSS,1-1,Final
5,12/09/2025,13:00,MVV,Cambuur,0-1,Final
