matchday,date,time,home_team,away_team,result,status
1,18/07/2025,,Jagiellonia,Nieciecza,0-4,Final
1,18/07/2025,,Poznań,KS Cracovia,1-4,Final
1,19/07/2025,,Widzew Łódź,Zagłębie Lubin,1-0,Final
1,19/07/2025,,Wisła Płock,Korona Kielce,2-0,Final
1,19/07/2025,,GKS Katowice,Raków,0-1,Final
1,20/07/2025,,Górnik Zabrze,Lechia Gdańsk,2-1,Final
1,20/07/2025,,Motor Lublin,Arka Gdynia,1-0,Final
1,20/07/2025,,Radomiak Radom,Pogon Szczecin,5-1,Final
1,14/12/2025,,Legia,Gliwice,0-1,Final
2,25/07/2025,,KS Cracovia,Nieciecza,2-0,Final
2,25/07/2025,,Arka Gdynia,Radomiak Radom,1-1,Final
2,26/07/2025,,Gliwice,Górnik Zabrze,0-1,Final
2,26/07/2025,,Pogon Szczecin,Motor Lublin,4-1,Final
2,26/07/2025,,Lechia Gdańsk,Poznań,3-4,Final
2,27/07/2025,,Raków,Wisła Płock,1-2,Final
2,27/07/2025,,Jagiellonia,Widzew Łódź,3-2,Final
2,27/07/2025,,Korona Kielce,Legia,0-2,Final
2,28/07/2025,,GKS Katowice,Zagłębie Lubin,2-2,Final
3,01/08/2025,,Zagłębie Lubin,Korona Kielce,1-1,Final
3,01/08/2025,,Wisła Płock,Gliwice,2-0,Final
3,02/08/2025,,Nieciecza,Pogon Szczecin,1-1,Final
3,02/08/2025,,Widzew Łódź,GKS Katowice,3-0,Final
3,02/08/2025,,Poznań,Górnik Zabrze,2-1,Final
3,03/08/2025,,KS Cracovia,Lechia Gdańsk,2-2,Final
3,03/08/2025,,Radomiak Radom,Raków,3-1,Final
3,03/08/2025,,Legia,Arka Gdynia,0-0,Final
3,14/12/2025,,Motor Lublin,Jagiellonia,1-1,Final
4,08/08/2025,,Korona Kielce,Radomiak Radom,3-0,Final
4,08/08/2025,,Górnik Zabrze,Nieciecza,0-1,Final
4,09/08/2025,,Arka Gdynia,Pogon Szczecin,2-1,Final
4,09/08/2025,,Widzew Łódź,Wisła Płock,1-1,Final
4,10/08/2025,,Jagiellonia,KS Cracovia,5-2,Final
4,10/08/2025,,Legia,GKS Katowice,3-1,Final
4,11/08/2025,,Lechia Gdańsk,Motor Lublin,3-3,Final
4,14/12/2025,,Raków,Zagłębie Lubin,0-1,Final
4,03/02/2026,,Gliwice,Poznań,1-0,Final
5,15/08/2025,,Zagłębie Lubin,Lechia Gdańsk,6-2,Final
5,15/08/2025,,KS Cracovia,Widzew Łódź,1-0,Final
5,16/08/2025,,Motor Lublin,Gliwice,0-0,Final
5,16/08/2025,,GKS Katowice,Arka Gdynia,4-1,Final
5,16/08/2025,,Poznań,Korona Kielce,1-1,Final
5,17/08/2025,,Pogon Szczecin,Górnik Zabrze,0-3,Final
5,17/08/2025,,Radomiak Radom,Jagiellonia,1-2,Final
5,17/08/2025,,Nieciecza,Raków,2-3,Final
5,17/08/2025,,Wisła Płock,Legia,1-0,Final
6,22/08/2025,,Radomiak Radom,Nieciecza,1-1,Final
6,22/08/2025,,Widzew Łódź,Pogon Szczecin,1-2,Final
6,23/08/2025,,Korona Kielce,Motor Lublin,2-0,Final
6,23/08/2025,,Górnik Zabrze,GKS Katowice,3-0,Final
6,24/08/2025,,Gliwice,KS Cracovia,0-0,Final
6,24/08/2025,,Lechia Gdańsk,Arka Gdynia,1-0,Final
6,25/08/2025,,Wisła Płock,Zagłębie Lubin,2-1,Final
6,24/09/2025,,Raków,Poznań,2-2,Final
6,24/09/2025,,Legia,Jagiellonia,0-0,Final
7,29/08/2025,,Arka Gdynia,Wisła Płock,1-0,Final
7,29/08/2025,,GKS Katowice,Radomiak Radom,3-2,Final
7,30/08/2025,,Nieciecza,Korona Kielce,1-3,Final
7,30/08/2025,,Zagłębie Lubin,Gliwice,2-2,Final
7,30/08/2025,,Górnik Zabrze,Motor Lublin,0-1,Final
7,31/08/2025,,Jagiellonia,Lechia Gdańsk,2-0,Final
7,31/08/2025,,Poznań,Widzew Łódź,2-1,Final
7,31/08/2025,,KS Cracovia,Legia,2-1,Final
7,31/08/2025,,Pogon Szczecin,Raków,2-0,Final
8,12/09/2025,,Lechia Gdańsk,GKS Katowice,2-0,Final
8,12/09/2025,,Poznań,Zagłębie Lubin,1-2,Final
8,13/09/2025,,Korona Kielce,Pogon Szczecin,1-0,Final
8,13/09/2025,,Gliwice,Jagiellonia,1-1,Final
8,14/09/2025,,Motor Lublin,Nieciecza,1-1,Final
8,14/09/2025,,Legia,Radomiak Radom,4-1,Final
8,14/09/2025,,Widzew Łódź,Arka Gdynia,2-0,Final
8,15/09/2025,,Raków,Górnik Zabrze,0-1,Final
8,04/12/2025,,Wisła Płock,KS Cracovia,0-0,Final
9,19/09/2025,,GKS Katowice,KS Cracovia,0-3,Final
9,19/09/2025,,Wisła Płock,Jagiellonia,0-1,Final
9,20/09/2025,,Radomiak Radom,Gliwice,1-0,Final
9,20/09/2025,,Arka Gdynia,Korona Kielce,0-0,Final
