matchday,date,time,home_team,away_team,result,status
1,08/08/2025,13:00,Fortuna Sittard,GO Ahead Eagles,2-2,Final
1,09/08/2025,09:30,NEC Nijmegen,Excelsior,5-0,Final
1,09/08/2025,11:45,Feyenoord,NAC Breda,2-0,Final
1,09/08/2025,13:00,Heerenveen,FC Volendam,1-1,Final
1,09/08/2025,14:00,PSV Eindhoven,Sparta Rotterdam,6-1,Final
1,10/08/2025,05:15,PEC Zwolle,Twente,1-0,Final
1,10/08/2025,07:30,Ajax,Telstar,2-0,Final
1,10/08/2025,07:30,AZ Alkmaar,Groningen,4-1,Final
1,10/08/2025,09:45,Utrecht,Heracles,4-0,Final
2,15/08/2025,13:00,Telstar,PEC Zwolle,0-2,Final
2,16/08/2025,11:45,Excelsior,Feyenoord,1-2,Final
2,16/08/2025,13:00,Heracles,NEC Nijmegen,1-4,Final
2,16/08/2025,14:00,Groningen,Heerenveen,2-1,Final
2,17/08/2025,05:15,GO Ahead Eagles,Ajax,2-2,Final
2,17/08/2025,07:30,Twente,PSV Eindhoven,0-2,Final
2,17/08/2025,07:30,Sparta Rotterdam,Utrecht,2-1,Final
2,17/08/2025,09:45,FC Volendam,AZ Alkmaar,2-2,Final
2,17/08/2025,13:00,NAC Breda,Fortuna Sittard,2-1,Final
3,23/08/2025,09:30,GO Ahead Eagles,Sparta Rotterdam,0-3,Final
3,23/08/2025,11:45,PSV Eindhoven,Groningen,4-2,Final
3,23/08/2025,14:00,Telstar,FC Volendam,2-2,Final
3,24/08/2025,05:15,Heerenveen,Twente,1-2,Final
3,24/08/2025,07:30,Utrecht,Excelsior,4-1,Final
3,24/08/2025,07:30,NEC Nijmegen,NAC Breda,3-0,Final
3,24/08/2025,09:45,Ajax,Heracles,2-0,Final
4,29/08/2025,13:00,Groningen,Heracles,4-0,Final
4,30/08/2025,09:30,FC Volendam,Ajax,1-1,Final
4,30/08/2025,11:45,Heerenveen,GO Ahead Eagles,2-2,Final
4,30/08/2025,13:00,PSV Eindhoven,Telstar,0-2,Final
4,30/08/2025,14:00,Excelsior,Twente,1-0,Final
4,31/08/2025,05:15,Fortuna Sittard,NEC Nijmegen,3-2,Final
4,31/08/2025,07:30,PEC Zwolle,Utrecht,0-2,Final
4,31/08/2025,07:30,Sparta Rotterdam,Feyenoord,0-4,Final
4,31/08/2025,09:45,NAC Breda,AZ Alkmaar,0-1,Final
5,13/09/2025,09:30,Ajax,PEC Zwolle,3-1,Final
5,13/09/2025,11:45,GO Ahead Eagles,FC Volendam,3-0,Final
5,13/09/2025,11:45,NEC Nijmegen,PSV Eindhoven,3-5,Final
5,13/09/2025,14:00,Feyenoord,Heerenveen,1-0,Final
5,13/09/2025,14:00,Twente,NAC Breda,2-2,Final
5,14/09/2025,05:15,Excelsior,Sparta Rotterdam,0-1,Final
5,14/09/2025,07:30,Heracles,AZ Alkmaar,1-2,Final
5,14/09/2025,07:30,Utrecht,Groningen,0-1,Final
5,14/09/2025,09:45,Telstar,Fortuna Sittard,1-3,Final
3,17/09/2025,13:00,Feyenoord,Fortuna Sittard,2-0,Final
6,19/09/2025,13:00,Sparta Rotterdam,Twente,1-5,Final
6,20/09/2025,09:30,FC Volendam,Excelsior,1-2,Final
6,20/09/2025,11:45,Groningen,Telstar,2-0,Final
6,20/09/2025,13:00,Fortuna Sittard,Utrecht,1-0,Final
6,20/09/2025,14:00,NAC Breda,Heracles,2-1,Final
6,21/09/2025,05:15,PEC Zwolle,GO Ahead Eagles,0-2,Final
6,21/09/2025,07:30,PSV Eindhoven,Ajax,2-2,Final
6,21/09/2025,07:30,Heerenveen,NEC Nijmegen,3-2,Final
6,21/09/2025,09:45,AZ Alkmaar,Feyenoord,3-3,Final
3,24/09/2025,13:00,AZ Alkmaar,PEC Zwolle,2-2,Final
7,26/09/2025,13:00,Twente,Fortuna Sittard,3-2,Final
7,27/09/2025,09:30,Ajax,NAC Breda,2-1,Final
7,27/09/2025,11:45,FC Volendam,PEC Zwolle,2-1,Final
7,27/09/2025,13:00,Excelsior,PSV Eindhoven,1-2,Final
7,27/09/2025,14:00,Heracles,Sparta Rotterdam,3-0,Final
7,28/09/2025,05:15,NEC Nijmegen,AZ Alkmaar,2-1,Final
7,28/09/2025,07:30,Groningen,Feyenoord,0-1,Final
7,28/09/2025,07:30,Utrecht,Heerenveen,2-2,Final
7,28/09/2025,09:45,Telstar,GO Ahead Eagles,4-2,Final
8,03/10/2025,13:00,NAC Breda,Groningen,1-2,Final
8,04/10/2025,09:30,Sparta Rotterdam,Ajax,3-3,Final
8,04/10/2025,11:45,Fortuna Sittard,FC Volendam,1-0,Final
8,04/10/2025,13:00,PEC Zwolle,PSV Eindhoven,0-4,Final
8,04/10/2025,14:00,Heerenveen,Excelsior,2-1,Final
8,05/10/2025,05:15,Twente,Heracles,2-1,Final
8,05/10/2025,07:30,Feyenoord,Utrecht,3-2,Final
8,05/10/2025,09:45,AZ Alkmaar,Telstar,2-1,Final
8,05/10/2025,13:00,GO Ahead Eagles,NEC Nijmegen,1-1,Final
9,18/10/2025,09:30,NEC Nijmegen,Twente,3-3,Final
9,18/10/2025,11:45,PSV Eindhoven,GO Ahead Eagles,2-1,Final
9,18/10/2025,11:45,Utrecht,FC Volendam,3-1,Final
9,18/10/2025,14:00,Ajax,AZ Alkmaar,0-2,Final
9,18/10/2025,14:00,NAC Breda,PEC Zwolle,2-2,Final
9,19/10/2025,05:15,Telstar,Heerenveen,2-3,Final
9,19/10/2025,07:30,Excelsior,Fortuna Sittard,1-0,Final
9,19/10/2025,07:30,Groningen,Sparta Rotterdam,0-2,Final
9,19/10/2025,09:45,Heracles,Feyenoord,0-7,Final
10,24/10/2025,13:00,Heerenveen,NAC Breda,3-3,Final
10,25/10/2025,09:30,Fortuna Sittard,Groningen,1-2,Final
10,25/10/2025,11:45,Sparta Rotterdam,Telstar,1-0,Final
10,25/10/2025,13:00,FC Volendam,Heracles,3-0,Final
10,25/10/2025,14:00,PEC Zwolle,NEC Nijmegen,2-2,Final
10,26/10/2025,06:15,Twente,Ajax,2-3,Final
10,26/10/2025,08:30,Feyenoord,PSV Eindhoven,2-3,Final
10,26/10/2025,10:45,AZ Alkmaar,Utrecht,4-1,Final
10,26/10/2025,14:00,GO Ahead Eagles,Excelsior,2-0,Final
11,31/10/2025,14:00,PSV Eindhoven,Fortuna Sittard,5-2,Final
11,01/11/2025,10:30,Ajax,Heerenveen,1-1,Final
11,01/11/2025,12:45,NAC Breda,GO Ahead Eagles,1-0,Final
11,01/11/2025,14:00,Feyenoord,FC Volendam,3-1,Final
11,01/11/2025,15:00,Telstar,Excelsior,2-2,Final
11,02/11/2025,06:15,Heracles,PEC Zwolle,8-2,Final
11,02/11/2025,08:30,Groningen,Twente,1-1,Final
11,02/11/2025,08:30,Sparta Rotterdam,AZ Alkmaar,0-1,Final
11,02/11/2025,10:45,Utrecht,NEC Nijmegen,1-0,Final
12,07/11/2025,14:00,Twente,Telstar,0-0,Final
12,08/11/2025,10:30,Excelsior,Heracles,1-2,Final
12,08/11/2025,12:45,FC Volendam,NAC Breda,2-1,Final
12,08/11/2025,14:00,Fortuna Sittard,Heerenveen,2-0,Final
12,08/11/2025,15:00,PEC Zwolle,Sparta Rotterdam,1-0,Final
12,09/11/2025,06:15,Utrecht,Ajax,2-1,Final
12,09/11/2025,08:30,NEC Nijmegen,Groningen,2-0,Final
12,09/11/2025,10:45,AZ Alkmaar,PSV Eindhoven,1-5,Final
12,09/11/2025,14:00,GO Ahead Eagles,Feyenoord,2-1,Final
13,22/11/2025,10:30,NAC Breda,PSV Eindhoven,0-1,Final
13,22/11/2025,12:45,Ajax,Excelsior,1-2,Final
13,22/11/2025,12:45,FC Volendam,Twente,1-1,Final
13,22/11/2025,15:00,Heracles,GO Ahead Eagles,4-2,Final
13,22/11/2025,15:00,Sparta Rotterdam,Fortuna Sittard,1-1,Final
13,23/11/2025,06:15,Heerenveen,AZ Alkmaar,3-1,Final
13,23/11/2025,08:30,Feyenoord,NEC Nijmegen,2-4,Final
13,23/11/2025,08:30,Telstar,Utrecht,1-1,Final
13,23/11/2025,10:45,Groningen,PEC Zwolle,2-2,Final
14,28/11/2025,14:00,PEC Zwolle,Heerenveen,2-1,Final
14,29/11/2025,10:30,Excelsior,NAC Breda,1-0,Final
14,29/11/2025,12:45,Fortuna Sittard,Heracles,1-1,Final
14,29/11/2025,15:00,NEC Nijmegen,Sparta Rotterdam,3-1,Final
14,30/11/2025,06:15,PSV Eindhoven,FC Volendam,3-0,Final
14,30/11/2025,08:30,GO Ahead Eagles,Utrecht,2-2,Final
14,30/11/2025,08:30,Telstar,Feyenoord,1-2,Final
14,30/11/2025,10:45,Twente,AZ Alkmaar,1-0,Final
14,02/12/2025,08:30,Ajax,Groningen,2-0,Final
15,05/12/2025,14:00,Excelsior,Groningen,0-2,Final
15,06/12/2025,10:30,Heerenveen,PSV Eindhoven,0-2,Final
15,06/12/2025,12:45,Fortuna Sittard,Ajax,1-3,Final
15,06/12/2025,14:00,Heracles,Telstar,1-1,Final
15,06/12/2025,15:00,Feyenoord,PEC Zwolle,6-1,Final
15,07/12/2025,06:15,Utrecht,Twente,1-1,Final
15,07/12/2025,08:30,AZ Alkmaar,GO Ahead Eagles,2-2,Final
15,07/12/2025,08:30,FC Volendam,NEC Nijmegen,2-3,Final
15,07/12/2025,10:45,Sparta Rotterdam,NAC Breda,1-0,Final
16,13/12/2025,10:30,Telstar,NEC Nijmegen,2-2,Final
16,13/12/2025,12:45,Groningen,FC Volendam,3-0,Final
16,13/12/2025,14:00,PSV Eindhoven,Heracles,4-3,Final
16,13/12/2025,15:00,PEC Zwolle,Fortuna Sittard,1-0,Final
16,14/12/2025,06:15,Sparta Rotterdam,Heerenveen,0-3,Final
16,14/12/2025,08:30,Ajax,Feyenoord,2-0,Final
16,14/12/2025,08:30,Twente,GO Ahead Eagles,2-0,Final
16,14/12/2025,10:45,NAC Breda,Utrecht,1-1,Final
17,20/12/2025,10:30,Heracles,Heerenveen,0-3,Final
17,20/12/2025,12:45,Excelsior,PEC Zwolle,2-1,Final
17,20/12/2025,14:00,NEC Nijmegen,Ajax,2-2,Final
17,20/12/2025,15:00,NAC Breda,Telstar,0-1,Final
17,21/12/2025,06:15,Utrecht,PSV Eindhoven,1-2,Final
17,21/12/2025,08:30,Feyenoord,Twente,1-1,Final
17,21/12/2025,08:30,GO Ahead Eagles,Groningen,1-1,Final
17,21/12/2025,10:45,Fortuna Sittard,AZ Alkmaar,4-3,Final
17,21/12/2025,10:45,FC Volendam,Sparta Rotterdam,0-1,Final
18,10/01/2026,10:30,AZ Alkmaar,FC Volendam,1-0,Final
18,10/01/2026,12:45,Twente,PEC Zwolle,1-1,Final
18,10/01/2026,14:00,PSV Eindhoven,Excelsior,5-1,Final
18,10/01/2026,15:00,Groningen,NAC Breda,0-0,Final
18,11/01/2026,06:15,Heerenveen,Feyenoord,2-2,Final
18,11/01/2026,08:30,GO Ahead Eagles,Fortuna Sittard,2-2,Final
18,11/01/2026,08:30,Telstar,Ajax,2-3,Final
18,11/01/2026,10:45,Sparta Rotterdam,Heracles,2-0,Final
19,17/01/2026,10:30,Ajax,GO Ahead Eagles,2-2,Final
19,17/01/2026,12:45,PEC Zwolle,AZ Alkmaar,3-1,Final
19,17/01/2026,14:00,Excelsior,Telstar,2-2,Final
19,17/01/2026,14:00,Fortuna Sittard,PSV Eindhoven,1-2,Final
19,17/01/2026,15:00,NAC Breda,NEC Nijmegen,3-4,Final
19,18/01/2026,06:15,Heerenveen,Groningen,0-2,Final
19,18/01/2026,08:30,Heracles,Twente,0-2,Final
19,18/01/2026,08:30,FC Volendam,Utrecht,2-1,Final
19,18/01/2026,10:45,Feyenoord,Sparta Rotterdam,3-4,Final
