matchday,date,time,home_team,away_team,result,status
,01/08/2025,13:45,Pickering Town,Penrith AFC,3-2,Final
,01/08/2025,13:45,Bootle,1874 Northwich,4-0,Final
,01/08/2025,13:45,Enfield 1893,Wormley Rovers,0-0,Final
,01/08/2025,13:45,Roman Glass St George,Nailsea & Tickenham,7-0,Final
,01/08/2025,13:45,Stone Old Alleynians,Sutton Coldfield Town,0-2,Final
,01/08/2025,14:00,Belper United,Uttoxeter Town,2-1,Final
,01/08/2025,14:00,Wokingham Town,Brislington,3-2,Final
,02/08/2025,06:00,Hamworthy Recreation,Hartley Wintney,1-2,Final
,02/08/2025,08:00,Guernsey,Bedfont Sports,1-1,Final
,02/08/2025,09:00,Bury,South Liverpool,6-0,Final
,02/08/2025,09:00,Haringey Borough,Halstead Town,3-1,Final
,02/08/2025,09:00,Leatherhead,Phoenix Sports,2-2,Final
,02/08/2025,09:00,Westfields,Atherstone Town,2-4,Final
,02/08/2025,09:00,Barking,Grays Athletic,1-2,Final
,02/08/2025,09:00,Bedworth United,Brocton,2-1,Final
,02/08/2025,09:00,Bideford,Wellington AFC,4-1,Final
,02/08/2025,09:00,Cinderford Town,Amersham Town,0-1,Final
,02/08/2025,09:00,East Grinstead Town,Eastbourne United,1-4,Final
,02/08/2025,09:00,Glossop North End,St Helens,1-1,Final
,02/08/2025,09:00,Histon,Thetford Town,2-2,Final
,02/08/2025,09:00,Hythe Town,Littlehampton Town,2-5,Final
,02/08/2025,09:00,Melksham Town,AFC Portchester,2-2,Final
,02/08/2025,09:00,Newcastle Town,Stourport Swifts,4-0,Final
,02/08/2025,09:00,Northwood,Egham Town,0-1,Final
,02/08/2025,09:00,Paulton Rovers,Hamble Club,1-0,Final
,02/08/2025,09:00,South Park,Newhaven,2-1,Final
,02/08/2025,09:00,Thatcham Town,Petersfield Town,2-0,Final
,02/08/2025,09:00,Willand Rovers,Barnstaple Town,0-2,Final
,02/08/2025,09:00,Witham Town,Frenford,1-1,Final
,02/08/2025,09:00,AFC Kempston Rovers,Arlesey Town,1-5,Final
,02/08/2025,09:00,Biggleswade,Welwyn Garden City,2-2,Final
,02/08/2025,09:00,Brighouse Town,Frickley Athletic,1-0,Final
,02/08/2025,09:00,Cirencester Town,Reading City,0-0,Final
,02/08/2025,09:00,City of Liverpool,Euxton Villa,2-1,Final
,02/08/2025,09:00,Coleshill Town,Nuneaton Town,2-1,Final
,02/08/2025,09:00,Daventry Town,Leicester Nirvana,3-2,Final
,02/08/2025,09:00,Haywards Heath Town,Ashford United,0-1,Final
,02/08/2025,09:00,Hertford Town,London Lions,3-1,Final
,02/08/2025,09:00,Hullbridge Sports,Basildon United,3-1,Final
,02/08/2025,09:00,Kidlington,Clevedon Town,0-0,Final
,02/08/2025,09:00,Kidsgrove Athletic,Rugby Borough,1-0,Final
,02/08/2025,09:00,Lincoln United,Northampton ON Chenecks,3-0,Final
,02/08/2025,09:00,Maldon & Tiptree,Buckhurst Hill,5-0,Final
,02/08/2025,09:00,Mangotsfield United,Bristol Manor Farm,1-1,Final
,02/08/2025,09:00,Marske United,Carlisle City,2-0,Final
,02/08/2025,09:00,Moneyfields,Brockenhurst,2-1,Final
,02/08/2025,09:00,North Leigh,Risborough Rangers,1-2,Final
,02/08/2025,09:00,Runcorn Linnets,Clitheroe,1-0,Final
,02/08/2025,09:00,Sheffield,Albion Sports,1-1,Final
,02/08/2025,09:00,St Neots Town,Great Yarmouth Town,7-1,Final
,02/08/2025,09:00,Three Bridges,Shoreham,5-2,Final
,02/08/2025,09:00,Trafford,Barnoldswick Town,2-1,Final
,02/08/2025,09:00,Ware,Welwyn,5-0,Final
,02/08/2025,09:00,AFC Rushden & Diamonds,Grimsby Borough,0-1,Final
,02/08/2025,09:00,Beaconsfield Town,Larkhall Athletic,0-1,Final
,02/08/2025,09:00,Grantham Town,Newark Town,1-2,Final
,02/08/2025,09:00,Stafford Rangers,Lutterworth Town,0-1,Final
,02/08/2025,09:00,Witton Albion,Cheadle Town,4-1,Final
,02/08/2025,09:00,Bradford (Park Avenue),Mossley,1-0,Final
,02/08/2025,09:00,AFC Croydon Athletic,Roffey,3-0,Final
,02/08/2025,09:00,AFC Stoneham,Fleet Town,2-0,Final
,02/08/2025,09:00,AFC Wulfrunians,Shepshed Dynamo,2-3,Final
,02/08/2025,09:00,Abbey Hey,AFC Liverpool,1-1,Final
,02/08/2025,09:00,Abbey Rangers,Corinthian-Casuals,2-4,Final
,02/08/2025,09:00,Andover New Street,New Milton Town,0-1,Final
,02/08/2025,09:00,Ardley United,Aylesbury United,1-0,Final
,02/08/2025,09:00,Aylesbury Vale Dynamos,Abingdon United,1-1,Final
,02/08/2025,09:00,Badshot Lea,Steyning Town,3-6,Final
,02/08/2025,09:00,Baffins Milton Rovers,Shaftesbury Town,1-1,Final
,02/08/2025,09:00,Baldock Town,Little Oakley,1-1,Final
,02/08/2025,09:00,Balham,Faversham Town,1-1,Final
,02/08/2025,09:00,Bashley,East Cowes Victoria,1-0,Final
,02/08/2025,09:00,Bearsted,Hackney Wick,1-2,Final
,02/08/2025,09:00,Bexhill United,Sheerwater,3-1,Final
,02/08/2025,09:00,Biggleswade United,Newport Pagnell Town,5-1,Final
,02/08/2025,09:00,Binfield,Winslow United,4-1,Final
,02/08/2025,09:00,Bishop Auckland,Whickham,2-2,Final
,02/08/2025,09:00,Boldmere St. Michaels,Abbey Hulton,1-3,Final
,02/08/2025,09:00,Bottesford Town,Melton Town,3-0,Final
,02/08/2025,09:00,Bradford Town,Bournemouth FC,3-1,Final
,02/08/2025,09:00,Broadbridge Heath,Cobham,1-3,Final
,02/08/2025,09:00,Burnham,Holyport,3-2,Final
,02/08/2025,09:00,Charnock Richard,Burscough,1-0,Final
,02/08/2025,09:00,Christchurch,Bemerton Heath Harleq.,3-0,Final
,02/08/2025,09:00,Cockfosters,Kings Langley,2-2,Final
,02/08/2025,09:00,Colney Heath,Woodford Town,0-4,Final
,02/08/2025,09:00,Cowes Sports,Laverstock & Ford,2-2,Final
,02/08/2025,09:00,Cribbs,Easington Sports,2-0,Final
,02/08/2025,09:00,Deeping Rangers,Wellingborough Town,0-3,Final
,02/08/2025,09:00,Dunstable Town,Great Wakering Rovers,1-3,Final
,02/08/2025,09:00,Eastbourne Town,Ashford Town (Middlesex),2-2,Final
,02/08/2025,09:00,Edgware Town,British Airways,2-0,Final
,02/08/2025,09:00,Erith Town,Sporting Bengal United,0-0,Final
,02/08/2025,09:00,Eynesbury Rovers,Potton United,4-1,Final
,02/08/2025,09:00,Fakenham Town,Wroxham,1-1,Final
,02/08/2025,09:00,Fisher,Camberley Town,3-1,Final
,02/08/2025,09:00,Garforth Town,West Auckland Town,2-3,Final
,02/08/2025,09:00,Gorleston,Hadleigh United,5-1,Final
,02/08/2025,09:00,Guildford City,Sutton Common Rovers,1-1,Final
,02/08/2025,09:00,Guisborough Town,Consett,2-2,Final
,02/08/2025,09:00,Hallen,Highworth Town,1-0,Final
,02/08/2025,09:00,Handsworth Parramore,Silsden,1-4,Final
,02/08/2025,09:00,Hanley Town,Lichfield City,3-1,Final
,02/08/2025,09:00,Harpenden Town,Concord Rangers,1-1,Final
,02/08/2025,09:00,Harwich & Parkeston,AFC Dunstable,2-4,Final
,02/08/2025,09:00,Hassocks,Rayners Lane,1-0,Final
,02/08/2025,09:00,Haverhill Rovers,Wisbech Town,3-2,Final
,02/08/2025,09:00,Heanor Town,Dudley Town,1-3,Final
,02/08/2025,09:00,Hollands & Blair,Herne Bay,1-0,Final
,02/08/2025,09:00,Horley Town,Corinthian,0-0,Final
,02/08/2025,09:00,Hythe & Dibden,Portland United,3-1,Final
,02/08/2025,09:00,Irlam,Thackley,4-0,Final
,02/08/2025,09:00,Kirkley & Pakefield,Cambridge City,0-1,Final
,02/08/2025,09:00,Knaresborough Town,Bridlington Town,0-0,Final
,02/08/2025,09:00,Lancing,Crawley Down Gatwick,1-0,Final
