matchday,date,time,home_team,away_team,result,status
1,25/07/2025,13:45,Antwerp,Union St. Gilloise,1-1,Final
1,26/07/2025,09:00,Dender,Cercle Brugge,0-0,Final
1,26/07/2025,11:15,Zulte Waregem,KV Mechelen,1-1,Final
1,26/07/2025,13:45,RAAL La Louvière,Standard Liege,0-2,Final
1,27/07/2025,06:30,Anderlecht,KVC Westerlo,5-2,Final
1,27/07/2025,09:00,OH Leuven,Charleroi,2-2,Final
1,27/07/2025,11:30,Club Brugge KV,Genk,2-1,Final
1,27/07/2025,12:15,St. Truiden,Gent,3-1,Final
2,01/08/2025,13:45,KV Mechelen,Club Brugge KV,2-1,Final
2,02/08/2025,09:00,KVC Westerlo,Zulte Waregem,3-1,Final
2,02/08/2025,11:15,Standard Liege,Dender,1-1,Final
2,02/08/2025,13:45,Gent,RAAL La Louvière,1-0,Final
2,03/08/2025,06:30,Genk,Antwerp,1-1,Final
2,03/08/2025,09:00,Cercle Brugge,Anderlecht,0-2,Final
2,03/08/2025,11:30,Union St. Gilloise,OH Leuven,5-0,Final
2,03/08/2025,12:15,Charleroi,St. Truiden,1-1,Final
3,08/08/2025,13:45,St. Truiden,Dender,2-0,Final
3,09/08/2025,09:00,Club Brugge KV,Cercle Brugge,2-0,Final
3,09/08/2025,11:15,KVC Westerlo,KV Mechelen,0-1,Final
3,09/08/2025,13:45,Gent,Union St. Gilloise,2-3,Final
3,10/08/2025,06:30,RAAL La Louvière,Charleroi,1-0,Final
3,10/08/2025,09:00,Anderlecht,Zulte Waregem,2-3,Final
3,10/08/2025,11:30,Standard Liege,Genk,2-1,Final
3,10/08/2025,12:15,Antwerp,OH Leuven,3-1,Final
4,15/08/2025,13:45,OH Leuven,Genk,1-2,Final
4,16/08/2025,09:00,Zulte Waregem,Club Brugge KV,0-1,Final
4,16/08/2025,11:15,KV Mechelen,Gent,1-1,Final
4,16/08/2025,13:45,Union St. Gilloise,Standard Liege,3-0,Final
4,17/08/2025,06:30,Dender,Anderlecht,0-2,Final
4,17/08/2025,09:00,St. Truiden,RAAL La Louvière,2-1,Final
4,17/08/2025,11:30,Charleroi,Antwerp,1-1,Final
4,17/08/2025,12:15,Cercle Brugge,KVC Westerlo,4-1,Final
5,23/08/2025,11:15,Standard Liege,Cercle Brugge,0-3,Final
5,23/08/2025,13:45,Zulte Waregem,St. Truiden,0-2,Final
5,24/08/2025,06:30,Antwerp,KV Mechelen,2-1,Final
5,24/08/2025,11:30,RAAL La Louvière,Union St. Gilloise,0-0,Final
5,24/08/2025,12:15,Dender,OH Leuven,0-1,Final
6,29/08/2025,13:45,Cercle Brugge,St. Truiden,1-1,Final
6,30/08/2025,09:00,KV Mechelen,RAAL La Louvière,3-2,Final
6,30/08/2025,11:15,KVC Westerlo,Antwerp,2-0,Final
6,30/08/2025,13:45,Charleroi,Dender,3-1,Final
6,31/08/2025,06:30,Gent,Club Brugge KV,1-1,Final
6,31/08/2025,09:00,OH Leuven,Standard Liege,1-0,Final
6,31/08/2025,11:30,Union St. Gilloise,Anderlecht,2-0,Final
6,31/08/2025,12:15,Genk,Zulte Waregem,3-2,Final
7,12/09/2025,13:45,Standard Liege,KV Mechelen,1-1,Final
7,13/09/2025,09:00,Zulte Waregem,OH Leuven,2-0,Final
7,13/09/2025,11:15,Dender,Union St. Gilloise,0-1,Final
7,13/09/2025,13:45,RAAL La Louvière,Club Brugge KV,1-0,Final
7,14/09/2025,06:30,Antwerp,Gent,1-2,Final
7,14/09/2025,09:00,Cercle Brugge,Charleroi,2-3,Final
7,14/09/2025,11:30,Anderlecht,Genk,1-1,Final
7,14/09/2025,12:15,St. Truiden,KVC Westerlo,0-3,Final
5,17/09/2025,13:30,Genk,Charleroi,0-1,Final
8,19/09/2025,13:45,Gent,Dender,3-0,Final
8,20/09/2025,09:00,OH Leuven,RAAL La Louvière,1-2,Final
8,20/09/2025,11:15,Charleroi,Zulte Waregem,1-2,Final
8,20/09/2025,13:45,Anderlecht,Antwerp,0-0,Final
8,21/09/2025,06:30,Genk,Union St. Gilloise,1-2,Final
8,21/09/2025,09:00,KVC Westerlo,Standard Liege,0-2,Final
8,21/09/2025,11:30,Club Brugge KV,St. Truiden,2-0,Final
8,21/09/2025,12:15,KV Mechelen,Cercle Brugge,0-0,Final
5,23/09/2025,13:30,Anderlecht,Gent,1-0,Final
5,24/09/2025,13:30,Club Brugge KV,KVC Westerlo,5-5,Final
9,26/09/2025,13:45,OH Leuven,Anderlecht,1-1,Final
9,27/09/2025,09:00,Zulte Waregem,Antwerp,2-0,Final
9,27/09/2025,11:15,Standard Liege,Club Brugge KV,1-2,Final
9,27/09/2025,13:45,Union St. Gilloise,KVC Westerlo,2-0,Final
9,28/09/2025,06:30,St. Truiden,Genk,1-2,Final
9,28/09/2025,09:00,Cercle Brugge,Gent,2-4,Final
9,28/09/2025,11:30,Charleroi,KV Mechelen,0-2,Final
9,28/09/2025,12:15,Dender,RAAL La Louvière,0-0,Final
10,03/10/2025,13:45,Gent,Charleroi,2-1,Final
10,04/10/2025,09:00,KV Mechelen,St. Truiden,1-3,Final
10,04/10/2025,11:15,RAAL La Louvière,Zulte Waregem,0-0,Final
10,04/10/2025,13:45,Antwerp,Cercle Brugge,1-1,Final
10,05/10/2025,06:30,Anderlecht,Standard Liege,1-0,Final
10,05/10/2025,09:00,Genk,Dender,2-1,Final
10,05/10/2025,11:30,Club Brugge KV,Union St. Gilloise,1-0,Final
