matchday,date,time,home_team,away_team,result,status
1,22/08/2025,,FK Vllaznia,Egnatia Rrogozhine,2-0,Final
1,23/08/2025,,KF Bylis Ballsh,KF Tiranë,0-0,Final
1,23/08/2025,,AF Elbasani,Flamurtari Vlorë,1-0,Final
1,24/08/2025,,FK Partizani,FK Vora,1-0,Final
1,17/09/2025,,KF Teuta Durrës,FC Dinamo City,1-0,Final
2,30/08/2025,,Flamurtari Vlorë,KF Bylis Ballsh,3-3,Final
2,30/08/2025,,Egnatia Rrogozhine,AF Elbasani,1-1,Final
2,30/08/2025,,FK Partizani,KF Teuta Durrës,0-0,Final
2,31/08/2025,,FK Vora,KF Tiranë,3-1,Final
2,31/08/2025,,FC Dinamo City,FK Vllaznia,3-1,Final
3,13/09/2025,,KF Tiranë,Flamurtari Vlorë,1-1,Final
3,13/09/2025,,KF Bylis Ballsh,Egnatia Rrogozhine,0-1,Final
3,13/09/2025,,FK Vllaznia,FK Partizani,4-1,Final
3,14/09/2025,,AF Elbasani,FC Dinamo City,1-0,Final
3,14/09/2025,,KF Teuta Durrës,FK Vora,1-1,Final
4,20/09/2025,,Egnatia Rrogozhine,KF Tiranë,2-0,Final
4,20/09/2025,,FK Partizani,AF Elbasani,0-1,Final
4,21/09/2025,,FC Dinamo City,KF Bylis Ballsh,0-0,Final
4,21/09/2025,,FK Vora,Flamurtari Vlorë,1-0,Final
4,21/09/2025,,KF Teuta Durrës,FK Vllaznia,1-1,Final
5,27/09/2025,,KF Tiranë,FC Dinamo City,1-2,Final
5,27/09/2025,,KF Bylis Ballsh,FK Partizani,3-1,Final
5,27/09/2025,,AF Elbasani,KF Teuta Durrës,0-0,Final
5,28/09/2025,,Flamurtari Vlorë,Egnatia Rrogozhine,1-2,Final
5,28/09/2025,,FK Vllaznia,FK Vora,2-0,Final
6,03/10/2025,,FK Partizani,KF Tiranë,0-3,Final
6,04/10/2025,,FC Dinamo City,Flamurtari Vlorë,2-0,Final
6,04/10/2025,,FK Vllaznia,AF Elbasani,1-0,Final
6,05/10/2025,,FK Vora,Egnatia Rrogozhine,0-1,Final
6,05/10/2025,,KF Teuta Durrës,KF Bylis Ballsh,1-0,Final
7,18/10/2025,,KF Bylis Ballsh,FK Vllaznia,0-1,Final
7,18/10/2025,,KF Tiranë,KF Teuta Durrës,0-0,Final
7,18/10/2025,,Egnatia Rrogozhine,FC Dinamo City,0-0,Final
7,19/10/2025,,AF Elbasani,FK Vora,1-2,Final
7,19/10/2025,,Flamurtari Vlorë,FK Partizani,0-1,Final
8,24/10/2025,,FK Vora,FC Dinamo City,0-2,Final
8,24/10/2025,,AF Elbasani,KF Bylis Ballsh,2-1,Final
8,24/10/2025,,FK Vllaznia,KF Tiranë,3-1,Final
8,25/10/2025,,FK Partizani,Egnatia Rrogozhine,0-0,Final
8,25/10/2025,,KF Teuta Durrës,Flamurtari Vlorë,3-2,Final
9,28/10/2025,,KF Bylis Ballsh,FK Vora,2-1,Final
9,28/10/2025,,Egnatia Rrogozhine,KF Teuta Durrës,1-0,Final
9,29/10/2025,,Flamurtari Vlorë,FK Vllaznia,1-0,Final
9,29/10/2025,,FC Dinamo City,FK Partizani,2-0,Final
9,29/10/2025,,KF Tiranë,AF Elbasani,1-4,Final
10,03/11/2025,,KF Tiranë,KF Bylis Ballsh,0-2,Final
10,03/11/2025,,FC Dinamo City,KF Teuta Durrës,0-0,Final
10,03/11/2025,,Flamurtari Vlorë,AF Elbasani,0-1,Final
10,04/11/2025,,Egnatia Rrogozhine,FK Vllaznia,2-2,Final
10,04/11/2025,,FK Vora,FK Partizani,0-0,Final
11,07/11/2025,,KF Bylis Ballsh,Flamurtari Vlorë,0-1,Final
11,08/11/2025,,KF Tiranë,FK Vora,0-2,Final
11,08/11/2025,,FK Vllaznia,FC Dinamo City,1-0,Final
11,09/11/2025,,AF Elbasani,Egnatia Rrogozhine,1-0,Final
11,09/11/2025,,KF Teuta Durrës,FK Partizani,2-3,Final
12,22/11/2025,,Egnatia Rrogozhine,KF Bylis Ballsh,5-1,Final
12,22/11/2025,,FK Vora,KF Teuta Durrës,0-1,Final
12,22/11/2025,,FC Dinamo City,AF Elbasani,1-1,Final
12,23/11/2025,,Flamurtari Vlorë,KF Tiranë,1-1,Final
12,23/11/2025,,FK Partizani,FK Vllaznia,1-1,Final
13,28/11/2025,,AF Elbasani,FK Partizani,0-0,Final
13,28/11/2025,,FK Vllaznia,KF Teuta Durrës,0-1,Final
13,29/11/2025,,KF Tiranë,Egnatia Rrogozhine,0-1,Final
13,29/11/2025,,KF Bylis Ballsh,FC Dinamo City,0-0,Final
13,29/11/2025,,Flamurtari Vlorë,FK Vora,1-1,Final
14,03/12/2025,,FK Partizani,KF Bylis Ballsh,1-0,Final
14,03/12/2025,,KF Teuta Durrës,AF Elbasani,0-0,Final
14,03/12/2025,,FC Dinamo City,KF Tiranë,6-2,Final
14,04/12/2025,,Egnatia Rrogozhine,Flamurtari Vlorë,0-1,Final
14,04/12/2025,,FK Vora,FK Vllaznia,0-0,Final
15,07/12/2025,,KF Bylis Ballsh,KF Teuta Durrës,1-1,Final
15,07/12/2025,,KF Tiranë,FK Partizani,0-2,Final
15,08/12/2025,,Egnatia Rrogozhine,FK Vora,2-0,Final
15,08/12/2025,,AF Elbasani,FK Vllaznia,1-0,Final
15,08/12/2025,,Flamurtari Vlorë,FC Dinamo City,0-3,Final
16,13/12/2025,,FK Partizani,Flamurtari Vlorë,2-1,Final
16,13/12/2025,,FK Vora,AF Elbasani,0-1,Final
16,13/12/2025,,KF Teuta Durrës,KF Tiranë,1-1,Final
16,14/12/2025,,FK Vllaznia,KF Bylis Ballsh,1-1,Final
16,14/12/2025,,FC Dinamo City,Egnatia Rrogozhine,1-2,Final
17,19/12/2025,,FC Dinamo City,FK Vora,2-1,Final
17,19/12/2025,,Egnatia Rrogozhine,FK Partizani,2-1,Final
17,19/12/2025,,Flamurtari Vlorë,KF Teuta Durrës,2-2,Final
17,20/12/2025,,KF Tiranë,FK Vllaznia,1-1,Final
17,20/12/2025,,KF Bylis Ballsh,AF Elbasani,3-2,Final
18,23/12/2025,,FK Partizani,FC Dinamo City,1-3,Final
18,23/12/2025,,KF Teuta Durrës,Egnatia Rrogozhine,0-1,Final
18,24/12/2025,,FK Vora,KF Bylis Ballsh,4-1,Final
18,24/12/2025,,AF Elbasani,KF Tiranë,1-1,Final
18,24/12/2025,,FK Vllaznia,Flamurtari Vlorë,3-2,Final
19,14/01/2026,,KF Bylis Ballsh,KF Tiranë,0-1,Final
19,14/01/2026,,AF Elbasani,Flamurtari Vlorë,1-1,Final
19,14/01/2026,,FK Vllaznia,Egnatia Rrogozhine,1-0,Final
19,15/01/2026,,FK Partizani,FK Vora,0-1,Final
19,15/01/2026,,KF Teuta Durrës,FC Dinamo City,0-0,Final
20,18/01/2026,,Flamurtari Vlorë,KF Bylis Ballsh,3-0,Final
20,18/01/2026,,Egnatia Rrogozhine,AF Elbasani,2-2,Final
20,19/01/2026,,FK Vora,KF Tiranë,1-1,Final
20,19/01/2026,,FK Partizani,KF Teuta Durrës,2-1,Final
20,19/01/2026,,FC Dinamo City,FK Vllaznia,0-2,Final
21,24/01/2026,,KF Bylis Ballsh,Egnatia Rrogozhine,2-2,Final
21,24/01/2026,,FK Vllaznia,FK Partizani,1-0,Final
21,25/01/2026,,KF Tiranë,Flamurtari Vlorë,1-0,Final
21,25/01/2026,,KF Teuta Durrës,FK Vora,1-1,Final
21,25/01/2026,,AF Elbasani,FC Dinamo City,2-0,Final
22,31/01/2026,,FK Vora,Flamurtari Vlorë,0-0,Final
22,31/01/2026,,FK Partizani,AF Elbasani,2-2,Final
22,31/01/2026,,FC Dinamo City,KF Bylis Ballsh,0-0,Final
22,01/02/2026,,Egnatia Rrogozhine,KF Tiranë,0-1,Final
22,01/02/2026,,KF Teuta Durrës,FK Vllaznia,0-1,Final
23,06/02/2026,,KF Bylis Ballsh,FK Partizani,1-2,Final
23,06/02/2026,,FK Vllaznia,FK Vora,1-0,Final
23,06/02/2026,,AF Elbasani,KF Teuta Durrës,2-1,Final
23,06/02/2026,,Flamurtari Vlorë,Egnatia Rrogozhine,0-1,Final
23,07/02/2026,,KF Tiranë,FC Dinamo City,1-1,Final
24,14/02/2026,,FK Vora,Egnatia Rrogozhine,1-1,Final
24,14/02/2026,,KF Teuta Durrës,KF Bylis Ballsh,2-1,Final
24,15/02/2026,,FC Dinamo City,Flamurtari Vlorë,1-1,Final
24,15/02/2026,,FK Partizani,KF Tiranë,2-0,Final
24,15/02/2026,,FK Vllaznia,AF Elbasani,2-1,Final
25,20/02/2026,,Egnatia Rrogozhine,FC Dinamo City,1-0,Final
25,21/02/2026,,AF Elbasani,FK Vora,2-1,Final
25,21/02/2026,,KF Bylis Ballsh,FK Vllaznia,2-1,Final
25,22/02/2026,,KF Tiranë,KF Teuta Durrës,0-1,Final
25,22/02/2026,,Flamurtari Vlorë,FK Partizani,1-2,Final
26,27/02/2026,,FK Vllaznia,KF Tiranë,3-1,Final
26,28/02/2026,,FK Vora,FC Dinamo City,1-2,Final
26,28/02/2026,,AF Elbasani,KF Bylis Ballsh,1-1,Final
26,28/02/2026,,FK Partizani,Egnatia Rrogozhine,2-0,Final
26,28/02/2026,,KF Teuta Durrës,Flamurtari Vlorë,1-1,Final
27,08/03/2026,,KF Tiranë,AF Elbasani,0-1,Final
27,08/03/2026,,KF Bylis Ballsh,FK Vora,1-0,Final
27,08/03/2026,,Flamurtari Vlorë,FK Vllaznia,1-0,Final
27,09/03/2026,,FC Dinamo City,FK Partizani,0-2,Final
27,09/03/2026,,Egnatia Rrogozhine,KF Teuta Durrës,4-2,Final
28,13/03/2026,,Egnatia Rrogozhine,FK Vllaznia,0-0,Final
28,14/03/2026,,KF Tiranë,KF Bylis Ballsh,1-0,Final
28,14/03/2026,,Flamurtari Vlorë,AF Elbasani,1-2,Final
28,15/03/2026,,FK Vora,FK Partizani,2-2,Final
28,15/03/2026,,FC Dinamo City,KF Teuta Durrës,0-1,Final
29,20/03/2026,,AF Elbasani,Egnatia Rrogozhine,0-0,Final
29,21/03/2026,,KF Bylis Ballsh,Flamurtari Vlorë,2-1,Final
29,21/03/2026,,KF Teuta Durrës,FK Partizani,2-2,Final
29,21/03/2026,,FK Vllaznia,FC Dinamo City,0-0,Final
29,22/03/2026,,KF Tiranë,FK Vora,3-0,Final
30,03/04/2026,,Flamurtari Vlorë,KF Tiranë,,
30,04/04/2026,,Egnatia Rrogozhine,KF Bylis Ballsh,,
30,04/04/2026,,FK Partizani,FK Vllaznia,,
30,04/04/2026,,FC Dinamo City,AF Elbasani,,
