matchday,date,time,home_team,away_team,result,status
1,15/08/2025,14:30,Valladolid,AD Ceuta FC,3-0,Final
1,15/08/2025,14:30,Burgos,Cultural Leonesa,5-1,Final
1,16/08/2025,10:00,Racing Santander,Castellón,3-1,Final
1,16/08/2025,12:30,Malaga,Eibar,1-1,Final
1,16/08/2025,14:30,Granada CF,Deportivo La Coruna,1-3,Final
1,17/08/2025,10:00,Real Sociedad II,Zaragoza,1-0,Final
1,17/08/2025,12:30,Cadiz,Mirandes,1-0,Final
1,17/08/2025,14:30,Las Palmas,FC Andorra,1-1,Final
1,17/08/2025,14:30,Huesca,Leganes,1-1,Final
1,18/08/2025,12:00,Sporting Gijon,Cordoba,2-1,Final
1,18/08/2025,14:30,Almeria,Albacete,4-4,Final
2,22/08/2025,12:30,Eibar,Granada CF,3-0,Final
2,22/08/2025,14:30,Leganes,Cadiz,1-1,Final
2,22/08/2025,14:30,Castellón,Valladolid,0-1,Final
2,23/08/2025,10:00,Mirandes,Huesca,0-1,Final
2,23/08/2025,12:00,AD Ceuta FC,Sporting Gijon,0-1,Final
2,23/08/2025,14:30,Zaragoza,FC Andorra,1-3,Final
2,24/08/2025,10:00,Deportivo La Coruna,Burgos,0-0,Final
2,24/08/2025,12:30,Cultural Leonesa,Almeria,0-1,Final
2,24/08/2025,14:30,Malaga,Real Sociedad II,1-0,Final
2,25/08/2025,12:30,Albacete,Racing Santander,2-3,Final
2,25/08/2025,14:30,Cordoba,Las Palmas,1-3,Final
3,29/08/2025,12:30,Real Sociedad II,Almeria,2-2,Final
3,29/08/2025,14:30,Sporting Gijon,Cultural Leonesa,1-0,Final
3,30/08/2025,10:00,Racing Santander,AD Ceuta FC,4-1,Final
3,30/08/2025,12:00,Valladolid,Cordoba,0-0,Final
3,30/08/2025,14:30,Castellón,Zaragoza,1-1,Final
3,31/08/2025,10:00,Cadiz,Albacete,2-1,Final
3,31/08/2025,10:00,FC Andorra,Burgos,2-1,Final
3,31/08/2025,12:30,Las Palmas,Malaga,0-1,Final
3,31/08/2025,14:30,Granada CF,Mirandes,1-2,Final
3,01/09/2025,12:30,Huesca,Eibar,2-1,Final
3,01/09/2025,14:30,Leganes,Deportivo La Coruna,2-2,Final
4,05/09/2025,12:30,Albacete,Mirandes,1-4,Final
4,05/09/2025,14:30,Cordoba,Castellón,2-1,Final
4,06/09/2025,09:15,Deportivo La Coruna,Sporting Gijon,1-0,Final
4,06/09/2025,11:30,Zaragoza,Valladolid,1-1,Final
4,06/09/2025,14:00,Malaga,Granada CF,2-2,Final
4,07/09/2025,07:00,AD Ceuta FC,Huesca,2-1,Final
4,07/09/2025,09:15,Burgos,Las Palmas,0-0,Final
4,07/09/2025,09:15,Real Sociedad II,Cadiz,3-3,Final
4,07/09/2025,11:30,Almeria,Racing Santander,2-3,Final
4,07/09/2025,11:30,Cultural Leonesa,Leganes,0-0,Final
4,08/09/2025,13:30,Eibar,FC Andorra,2-0,Final
5,12/09/2025,13:30,Las Palmas,Real Sociedad II,2-1,Final
5,13/09/2025,09:15,Cadiz,Eibar,1-0,Final
5,13/09/2025,09:15,Mirandes,Deportivo La Coruna,1-5,Final
5,13/09/2025,11:30,Huesca,Malaga,1-0,Final
5,13/09/2025,14:00,Valladolid,Almeria,3-1,Final
5,14/09/2025,07:00,FC Andorra,Cordoba,3-1,Final
5,14/09/2025,09:15,Racing Santander,Cultural Leonesa,2-4,Final
5,14/09/2025,11:30,Sporting Gijon,Burgos,2-3,Final
5,14/09/2025,11:30,Castellón,AD Ceuta FC,3-3,Final
5,14/09/2025,14:00,Granada CF,Leganes,0-2,Final
5,15/09/2025,13:30,Zaragoza,Albacete,0-0,Final
6,19/09/2025,13:30,Deportivo La Coruna,Huesca,4-0,Final
6,20/09/2025,09:15,Cultural Leonesa,Castellón,1-3,Final
6,20/09/2025,11:30,Leganes,Las Palmas,0-1,Final
6,20/09/2025,11:30,FC Andorra,Mirandes,1-1,Final
6,20/09/2025,14:00,Almeria,Sporting Gijon,2-1,Final
6,21/09/2025,07:00,AD Ceuta FC,Zaragoza,1-0,Final
6,21/09/2025,09:15,Albacete,Valladolid,2-0,Final
6,21/09/2025,11:30,Malaga,Cadiz,0-1,Final
6,21/09/2025,11:30,Eibar,Real Sociedad II,2-1,Final
6,21/09/2025,14:00,Cordoba,Racing Santander,2-2,Final
6,22/09/2025,13:30,Burgos,Granada CF,1-1,Final
7,26/09/2025,13:30,Mirandes,Zaragoza,0-1,Final
7,27/09/2025,11:30,Eibar,Deportivo La Coruna,1-1,Final
7,27/09/2025,11:30,Racing Santander,FC Andorra,1-2,Final
7,27/09/2025,14:00,Las Palmas,Almeria,0-1,Final
7,28/09/2025,07:00,Real Sociedad II,Cordoba,1-1,Final
7,28/09/2025,09:15,Cadiz,AD Ceuta FC,0-0,Final
7,28/09/2025,09:15,Burgos,Malaga,2-1,Final
7,28/09/2025,11:30,Valladolid,Cultural Leonesa,0-1,Final
7,28/09/2025,11:30,Sporting Gijon,Albacete,3-4,Final
7,28/09/2025,14:00,Huesca,Granada CF,0-1,Final
7,29/09/2025,13:30,Leganes,Castellón,0-1,Final
8,03/10/2025,13:30,AD Ceuta FC,Eibar,1-0,Final
8,04/10/2025,09:15,Deportivo La Coruna,Almeria,1-1,Final
8,04/10/2025,11:30,Huesca,Burgos,2-1,Final
8,04/10/2025,11:30,FC Andorra,Leganes,1-2,Final
8,04/10/2025,14:00,Granada CF,Real Sociedad II,5-2,Final
8,05/10/2025,07:00,Zaragoza,Cordoba,0-1,Final
8,05/10/2025,09:15,Castellón,Sporting Gijon,3-1,Final
8,05/10/2025,11:30,Valladolid,Mirandes,1-1,Final
8,05/10/2025,11:30,Racing Santander,Malaga,3-0,Final
8,05/10/2025,14:00,Las Palmas,Cadiz,1-0,Final
8,06/10/2025,13:30,Cultural Leonesa,Albacete,0-0,Final
9,10/10/2025,13:30,Granada CF,Las Palmas,0-0,Final
9,11/10/2025,09:15,Mirandes,Leganes,0-0,Final
9,11/10/2025,11:30,Almeria,Zaragoza,4-2,Final
9,11/10/2025,11:30,Real Sociedad II,FC Andorra,3-0,Final
9,12/10/2025,07:00,Albacete,AD Ceuta FC,0-0,Final
9,12/10/2025,09:15,Eibar,Castellón,0-0,Final
9,12/10/2025,09:15,Sporting Gijon,Racing Santander,2-1,Final
9,12/10/2025,11:30,Cadiz,Huesca,1-0,Final
9,12/10/2025,11:30,Burgos,Valladolid,0-1,Final
9,12/10/2025,14:00,Malaga,Deportivo La Coruna,3-0,Final
9,13/10/2025,13:30,Cordoba,Cultural Leonesa,1-0,Final
10,17/10/2025,13:30,FC Andorra,Granada CF,0-0,Final
10,18/10/2025,09:15,AD Ceuta FC,Mirandes,2-0,Final
10,18/10/2025,11:30,Zaragoza,Cultural Leonesa,0-5,Final
10,19/10/2025,07:00,Leganes,Malaga,2-0,Final
10,19/10/2025,09:15,Valladolid,Sporting Gijon,2-3,Final
10,19/10/2025,09:15,Castellón,Albacete,0-1,Final
10,19/10/2025,11:30,Cordoba,Almeria,1-1,Final
10,19/10/2025,11:30,Racing Santander,Deportivo La Coruna,2-1,Final
10,19/10/2025,14:00,Las Palmas,Eibar,3-1,Final
10,20/10/2025,13:30,Cadiz,Burgos,1-3,Final
11,24/10/2025,13:30,Huesca,Las Palmas,1-1,Final
11,25/10/2025,07:00,Cultural Leonesa,AD Ceuta FC,0-1,Final
11,25/10/2025,09:15,Eibar,Leganes,0-0,Final
11,25/10/2025,09:15,Albacete,Cordoba,1-3,Final
11,25/10/2025,11:30,Granada CF,Cadiz,0-0,Final
11,25/10/2025,11:30,Burgos,Real Sociedad II,1-0,Final
11,25/10/2025,14:00,Mirandes,Racing Santander,1-3,Final
11,26/10/2025,08:00,Malaga,FC Andorra,4-1,Final
11,26/10/2025,12:30,Almeria,Castellón,1-0,Final
11,26/10/2025,12:30,Sporting Gijon,Zaragoza,1-0,Final
11,26/10/2025,15:00,Deportivo La Coruna,Valladolid,1-1,Final
12,31/10/2025,14:30,Racing Santander,Real Sociedad II,1-0,Final
12,01/11/2025,10:15,Cultural Leonesa,Mirandes,3-2,Final
12,01/11/2025,12:30,Leganes,Burgos,1-2,Final
12,01/11/2025,12:30,Albacete,Huesca,2-1,Final
12,01/11/2025,15:00,Almeria,Eibar,3-1,Final
12,02/11/2025,08:00,FC Andorra,Cadiz,0-0,Final
12,02/11/2025,10:15,Cordoba,AD Ceuta FC,2-0,Final
12,02/11/2025,10:15,Sporting Gijon,Las Palmas,0-0,Final
12,02/11/2025,12:30,Castellón,Malaga,2-1,Final
12,02/11/2025,15:00,Zaragoza,Deportivo La Coruna,0-2,Final
12,03/11/2025,14:30,Valladolid,Granada CF,2-1,Final
10,05/11/2025,14:00,Real Sociedad II,Huesca,2-0,Final
13,07/11/2025,14:30,Mirandes,Sporting Gijon,2-1,Final
13,08/11/2025,08:00,Real Sociedad II,Leganes,2-1,Final
13,08/11/2025,10:15,Eibar,Albacete,3-2,Final
13,08/11/2025,10:15,Huesca,FC Andorra,2-2,Final
13,08/11/2025,12:30,Deportivo La Coruna,Cultural Leonesa,3-0,Final
