matchday,date,time,home_team,away_team,result,status
1,01/08/2025,14:00,Luton,AFC Wimbledon,1-0,Final
1,02/08/2025,06:30,Cardiff,Peterborough,2-1,Final
1,02/08/2025,09:00,Huddersfield,Leyton Orient,3-0,Final
1,02/08/2025,09:00,Wigan,Northampton,3-1,Final
1,02/08/2025,09:00,Rotherham,Port Vale,2-1,Final
1,02/08/2025,09:00,Burton Albion,Mansfield Town,2-1,Final
1,02/08/2025,09:00,Bradford,Wycombe,2-1,Final
1,02/08/2025,09:00,Doncaster,Exeter City,1-0,Final
1,02/08/2025,09:00,Blackpool,Stevenage,2-3,Final
1,02/08/2025,09:00,Plymouth,Barnsley,1-3,Final
1,02/08/2025,09:00,Lincoln,Reading,2-0,Final
1,03/08/2025,06:00,Stockport County,Bolton,2-0,Final
2,07/08/2025,14:00,Port Vale,Cardiff,0-0,Final
2,09/08/2025,06:30,Reading,Huddersfield,0-2,Final
2,09/08/2025,06:30,Peterborough,Luton,0-2,Final
2,09/08/2025,09:00,Bolton,Plymouth,2-0,Final
2,09/08/2025,09:00,Barnsley,Burton Albion,3-2,Final
2,09/08/2025,09:00,AFC Wimbledon,Lincoln,2-0,Final
2,09/08/2025,09:00,Northampton,Bradford,0-0,Final
2,09/08/2025,09:00,Wycombe,Stockport County,1-2,Final
2,09/08/2025,09:00,Exeter City,Blackpool,4-1,Final
2,09/08/2025,09:00,Stevenage,Rotherham,1-0,Final
2,09/08/2025,09:00,Leyton Orient,Wigan,2-0,Final
2,09/08/2025,09:00,Mansfield Town,Doncaster,1-2,Final
3,16/08/2025,06:30,Burton Albion,Port Vale,0-0,Final
3,16/08/2025,06:30,Exeter City,Mansfield Town,1-2,Final
3,16/08/2025,09:00,Cardiff,Rotherham,3-0,Final
3,16/08/2025,09:00,Reading,AFC Wimbledon,1-2,Final
3,16/08/2025,09:00,Wigan,Peterborough,2-0,Final
3,16/08/2025,09:00,Barnsley,Bolton,1-1,Final
3,16/08/2025,09:00,Bradford,Luton,2-1,Final
3,16/08/2025,09:00,Doncaster,Wycombe,1-1,Final
3,16/08/2025,09:00,Blackpool,Huddersfield,3-2,Final
3,16/08/2025,09:00,Stevenage,Northampton,2-0,Final
3,16/08/2025,09:00,Leyton Orient,Stockport County,2-2,Final
3,16/08/2025,09:00,Lincoln,Plymouth,3-2,Final
4,19/08/2025,13:45,Huddersfield,Doncaster,2-0,Final
4,19/08/2025,13:45,AFC Wimbledon,Cardiff,0-1,Final
4,19/08/2025,13:45,Northampton,Lincoln,0-1,Final
4,19/08/2025,13:45,Peterborough,Barnsley,0-1,Final
4,19/08/2025,13:45,Port Vale,Stevenage,1-2,Final
4,19/08/2025,13:45,Plymouth,Leyton Orient,0-1,Final
4,19/08/2025,13:45,Wycombe,Exeter City,0-1,Final
4,19/08/2025,13:45,Luton,Wigan,1-0,Final
4,19/08/2025,13:45,Mansfield Town,Blackpool,2-0,Final
4,19/08/2025,13:45,Stockport County,Bradford,1-2,Final
4,20/08/2025,14:00,Bolton,Reading,1-1,Final
5,23/08/2025,06:30,Rotherham,Wigan,2-2,Final
5,23/08/2025,06:30,Luton,Cardiff,0-1,Final
5,23/08/2025,09:00,Huddersfield,Stevenage,1-0,Final
5,23/08/2025,09:00,Bolton,Lincoln,1-1,Final
5,23/08/2025,09:00,AFC Wimbledon,Barnsley,2-0,Final
5,23/08/2025,09:00,Northampton,Exeter City,2-0,Final
5,23/08/2025,09:00,Peterborough,Bradford,1-1,Final
5,23/08/2025,09:00,Port Vale,Doncaster,0-1,Final
5,23/08/2025,09:00,Plymouth,Blackpool,1-0,Final
5,23/08/2025,09:00,Wycombe,Reading,2-2,Final
5,23/08/2025,09:00,Mansfield Town,Leyton Orient,4-1,Final
5,23/08/2025,09:00,Stockport County,Burton Albion,2-1,Final
6,30/08/2025,06:30,Cardiff,Plymouth,4-0,Final
6,30/08/2025,06:30,Doncaster,Rotherham,1-0,Final
6,30/08/2025,09:00,Reading,Port Vale,1-0,Final
6,30/08/2025,09:00,Wigan,Stockport County,1-1,Final
6,30/08/2025,09:00,Barnsley,Huddersfield,3-1,Final
6,30/08/2025,09:00,Burton Albion,Luton,0-3,Final
6,30/08/2025,09:00,Bradford,AFC Wimbledon,3-2,Final
6,30/08/2025,09:00,Blackpool,Bolton,1-1,Final
6,30/08/2025,09:00,Exeter City,Peterborough,3-0,Final
6,30/08/2025,09:00,Stevenage,Wycombe,1-0,Final
6,30/08/2025,09:00,Leyton Orient,Northampton,0-1,Final
6,30/08/2025,09:00,Lincoln,Mansfield Town,1-1,Final
7,06/09/2025,09:00,Huddersfield,Peterborough,3-2,Final
7,06/09/2025,09:00,Bolton,AFC Wimbledon,3-0,Final
7,06/09/2025,09:00,Rotherham,Exeter City,1-0,Final
7,06/09/2025,09:00,Port Vale,Leyton Orient,2-3,Final
7,06/09/2025,09:00,Doncaster,Bradford,3-1,Final
7,06/09/2025,09:00,Plymouth,Stockport County,4-2,Final
7,06/09/2025,09:00,Wycombe,Mansfield Town,2-0,Final
7,06/09/2025,09:00,Lincoln,Wigan,2-2,Final
8,13/09/2025,06:30,Northampton,Blackpool,1-0,Final
8,13/09/2025,06:30,Bradford,Huddersfield,3-1,Final
8,13/09/2025,09:00,Wigan,Doncaster,3-0,Final
8,13/09/2025,09:00,Barnsley,Reading,3-2,Final
8,13/09/2025,09:00,Burton Albion,Lincoln,0-1,Final
8,13/09/2025,09:00,AFC Wimbledon,Rotherham,2-1,Final
8,13/09/2025,09:00,Peterborough,Wycombe,2-1,Final
8,13/09/2025,09:00,Luton,Plymouth,2-3,Final
8,13/09/2025,09:00,Exeter City,Port Vale,0-2,Final
8,13/09/2025,09:00,Leyton Orient,Bolton,1-1,Final
8,13/09/2025,09:00,Mansfield Town,Stevenage,1-1,Final
8,13/09/2025,09:00,Stockport County,Cardiff,1-1,Final
9,20/09/2025,06:30,Bolton,Wigan,4-1,Final
9,20/09/2025,06:30,Blackpool,Barnsley,1-0,Final
9,20/09/2025,06:30,Lincoln,Luton,3-1,Final
9,20/09/2025,09:00,Huddersfield,Burton Albion,0-0,Final
9,20/09/2025,09:00,Cardiff,Bradford,1-3,Final
9,20/09/2025,09:00,Reading,Leyton Orient,2-1,Final
9,20/09/2025,09:00,Rotherham,Stockport County,0-1,Final
9,20/09/2025,09:00,Port Vale,Mansfield Town,2-1,Final
9,20/09/2025,09:00,Doncaster,AFC Wimbledon,1-2,Final
9,20/09/2025,09:00,Plymouth,Peterborough,0-1,Final
9,20/09/2025,09:00,Wycombe,Northampton,2-0,Final
9,20/09/2025,09:00,Stevenage,Exeter City,2-1,Final
10,27/09/2025,06:30,AFC Wimbledon,Wycombe,2-1,Final
10,27/09/2025,06:30,Leyton Orient,Stevenage,2-3,Final
10,27/09/2025,09:00,Wigan,Cardiff,0-2,Final
10,27/09/2025,09:00,Barnsley,Port Vale,0-2,Final
10,27/09/2025,09:00,Burton Albion,Plymouth,0-4,Final
10,27/09/2025,09:00,Northampton,Bolton,2-0,Final
10,27/09/2025,09:00,Bradford,Blackpool,1-0,Final
10,27/09/2025,09:00,Peterborough,Lincoln,0-3,Final
10,27/09/2025,09:00,Luton,Doncaster,1-0,Final
10,27/09/2025,09:00,Exeter City,Huddersfield,0-1,Final
10,27/09/2025,09:00,Mansfield Town,Rotherham,2-1,Final
10,27/09/2025,09:00,Stockport County,Reading,1-1,Final
7,30/09/2025,13:45,Cardiff,Burton Albion,0-1,Final
7,30/09/2025,13:45,Blackpool,Luton,2-2,Final
11,02/10/2025,14:00,Rotherham,Bradford,2-2,Final
11,04/10/2025,06:30,Doncaster,Burton Albion,1-1,Final
11,04/10/2025,06:30,Wycombe,Barnsley,2-2,Final
11,04/10/2025,09:00,Huddersfield,Stockport County,1-2,Final
11,04/10/2025,09:00,Cardiff,Leyton Orient,4-3,Final
11,04/10/2025,09:00,Reading,Mansfield Town,1-1,Final
11,04/10/2025,09:00,Bolton,Peterborough,2-1,Final
11,04/10/2025,09:00,Port Vale,Northampton,0-0,Final
11,04/10/2025,09:00,Blackpool,AFC Wimbledon,0-2,Final
11,04/10/2025,09:00,Plymouth,Wigan,1-1,Final
11,04/10/2025,09:00,Stevenage,Luton,2-0,Final
11,04/10/2025,09:00,Lincoln,Exeter City,0-1,Final
12,11/10/2025,08:00,Northampton,Rotherham,1-2,Final
12,11/10/2025,09:00,Wigan,Wycombe,0-1,Final
12,11/10/2025,09:00,Burton Albion,Bolton,3-0,Final
12,11/10/2025,09:00,AFC Wimbledon,Port Vale,1-1,Final
12,11/10/2025,09:00,Exeter City,Reading,1-1,Final
12,11/10/2025,09:00,Leyton Orient,Doncaster,4-0,Final
12,11/10/2025,09:00,Stockport County,Blackpool,1-0,Final
13,16/10/2025,14:00,Huddersfield,Bolton,1-2,Final
13,18/10/2025,06:30,Burton Albion,Peterborough,0-1,Final
13,18/10/2025,06:30,Lincoln,Stevenage,1-0,Final
13,18/10/2025,09:00,Cardiff,Reading,2-1,Final
13,18/10/2025,09:00,Wigan,Port Vale,1-0,Final
13,18/10/2025,09:00,Rotherham,Leyton Orient,1-0,Final
13,18/10/2025,09:00,Bradford,Barnsley,2-2,Final
13,18/10/2025,09:00,Doncaster,Northampton,1-2,Final
13,18/10/2025,09:00,Blackpool,Wycombe,1-1,Final
13,18/10/2025,09:00,Plymouth,AFC Wimbledon,1-2,Final
13,18/10/2025,09:00,Luton,Mansfield Town,0-2,Final
13,18/10/2025,09:00,Stockport County,Exeter City,1-0,Final
7,21/10/2025,14:00,Reading,Northampton,1-0,Final
14,23/10/2025,14:00,Exeter City,Plymouth,2-0,Final
14,25/10/2025,06:30,Bolton,Cardiff,1-0,Final
14,25/10/2025,06:30,Mansfield Town,Wigan,1-1,Final
14,25/10/2025,09:00,Reading,Doncaster,1-1,Final
14,25/10/2025,09:00,Barnsley,Rotherham,0-1,Final
14,25/10/2025,09:00,AFC Wimbledon,Burton Albion,0-1,Final
14,25/10/2025,09:00,Northampton,Luton,0-1,Final
14,25/10/2025,09:00,Peterborough,Blackpool,1-2,Final
14,25/10/2025,09:00,Wycombe,Huddersfield,3-0,Final
14,25/10/2025,09:00,Stevenage,Bradford,1-1,Final
14,25/10/2025,09:00,Leyton Orient,Lincoln,1-0,Final
14,27/10/2025,15:00,Port Vale,Stockport County,0-3,Final
12,28/10/2025,14:45,Bradford,Lincoln,0-0,Final
12,28/10/2025,14:45,Mansfield Town,Plymouth,2-0,Final
4,04/11/2025,14:45,Rotherham,Burton Albion,2-2,Final
15,06/11/2025,15:00,Reading,Stevenage,1-0,Final
15,08/11/2025,07:30,Northampton,Mansfield Town,2-1,Final
15,08/11/2025,07:30,Wycombe,Leyton Orient,4-1,Final
15,08/11/2025,10:00,Huddersfield,Plymouth,3-1,Final
15,08/11/2025,10:00,Bolton,Port Vale,4-0,Final
15,08/11/2025,10:00,Rotherham,Lincoln,3-0,Final
15,08/11/2025,10:00,Bradford,Burton Albion,1-2,Final
15,08/11/2025,10:00,Peterborough,AFC Wimbledon,5-0,Final
15,08/11/2025,10:00,Doncaster,Barnsley,1-2,Final
15,08/11/2025,10:00,Blackpool,Cardiff,3-1,Final
15,08/11/2025,10:00,Exeter City,Wigan,1-1,Final
15,08/11/2025,10:00,Stockport County,Luton,0-3,Final
16,15/11/2025,10:00,Burton Albion,Blackpool,1-0,Final
16,15/11/2025,10:00,Port Vale,Wycombe,0-0,Final
16,15/11/2025,10:00,Luton,Rotherham,0-0,Final
16,15/11/2025,10:00,Leyton Orient,Exeter City,2-1,Final
16,15/11/2025,10:00,Lincoln,Doncaster,2-1,Final
17,20/11/2025,15:00,Peterborough,Stockport County,3-0,Final
17,22/11/2025,07:30,Port Vale,Plymouth,0-1,Final
17,22/11/2025,10:00,Reading,Rotherham,1-1,Final
