matchday,date,time,home_team,away_team,result,status
1,02/08/2025,09:00,Bristol Rovers,Harrogate Town,0-1,Final
1,02/08/2025,09:00,Walsall,Swindon Town,2-1,Final
1,02/08/2025,09:00,Chesterfield,Barrow,1-0,Final
1,02/08/2025,09:00,Milton Keynes Dons,Oldham,0-0,Final
1,02/08/2025,09:00,Shrewsbury,Bromley,0-0,Final
1,02/08/2025,09:00,Accrington ST,Gillingham,1-1,Final
1,02/08/2025,09:00,Colchester,Tranmere,1-1,Final
1,02/08/2025,09:00,Grimsby,Crawley Town,3-0,Final
1,02/08/2025,09:00,Barnet,Fleetwood Town,0-2,Final
1,02/08/2025,09:00,Cambridge United,Cheltenham,1-0,Final
1,02/08/2025,09:00,Salford City,Crewe,1-3,Final
1,02/08/2025,10:00,Newport County,Notts County,1-1,Final
2,09/08/2025,06:30,Notts County,Salford City,1-2,Final
2,09/08/2025,06:30,Tranmere,Shrewsbury,4-0,Final
2,09/08/2025,09:00,Fleetwood Town,Bristol Rovers,2-1,Final
2,09/08/2025,09:00,Gillingham,Walsall,1-0,Final
2,09/08/2025,09:00,Oldham,Colchester,1-1,Final
2,09/08/2025,09:00,Swindon Town,Cambridge United,3-2,Final
2,09/08/2025,09:00,Crawley Town,Newport County,1-2,Final
2,09/08/2025,09:00,Crewe,Accrington ST,2-0,Final
2,09/08/2025,09:00,Cheltenham,Chesterfield,0-2,Final
2,09/08/2025,09:00,Barrow,Milton Keynes Dons,0-2,Final
2,09/08/2025,09:00,Bromley,Barnet,2-0,Final
2,09/08/2025,09:00,Harrogate Town,Grimsby,3-3,Final
3,16/08/2025,06:30,Chesterfield,Bristol Rovers,3-1,Final
3,16/08/2025,06:30,Oldham,Swindon Town,1-2,Final
3,16/08/2025,09:00,Milton Keynes Dons,Cheltenham,5-0,Final
3,16/08/2025,09:00,Shrewsbury,Colchester,0-2,Final
3,16/08/2025,09:00,Crewe,Crawley Town,1-0,Final
3,16/08/2025,09:00,Grimsby,Newport County,2-1,Final
3,16/08/2025,09:00,Barnet,Walsall,1-2,Final
3,16/08/2025,09:00,Cambridge United,Harrogate Town,1-1,Final
3,16/08/2025,09:00,Tranmere,Gillingham,1-1,Final
3,16/08/2025,09:00,Barrow,Notts County,2-1,Final
3,16/08/2025,09:00,Bromley,Fleetwood Town,2-2,Final
3,16/08/2025,09:00,Salford City,Accrington ST,2-1,Final
4,19/08/2025,13:30,Newport County,Salford City,0-1,Final
4,19/08/2025,13:45,Bristol Rovers,Oldham,0-0,Final
4,19/08/2025,13:45,Fleetwood Town,Crewe,1-4,Final
4,19/08/2025,13:45,Gillingham,Chesterfield,4-1,Final
4,19/08/2025,13:45,Swindon Town,Barnet,0-2,Final
4,19/08/2025,13:45,Colchester,Cambridge United,1-2,Final
4,19/08/2025,13:45,Crawley Town,Milton Keynes Dons,1-1,Final
4,19/08/2025,13:45,Cheltenham,Bromley,1-2,Final
4,19/08/2025,13:45,Harrogate Town,Barrow,1-0,Final
4,19/08/2025,14:00,Walsall,Grimsby,0-1,Final
4,20/08/2025,13:45,Notts County,Shrewsbury,4-1,Final
5,23/08/2025,06:30,Walsall,Salford City,1-0,Final
5,23/08/2025,06:30,Newport County,Milton Keynes Dons,1-2,Final
5,23/08/2025,09:00,Bristol Rovers,Cambridge United,1-0,Final
5,23/08/2025,09:00,Fleetwood Town,Oldham,1-1,Final
5,23/08/2025,09:00,Gillingham,Crewe,1-0,Final
5,23/08/2025,09:00,Swindon Town,Shrewsbury,2-1,Final
5,23/08/2025,09:00,Accrington ST,Grimsby,1-1,Final
5,23/08/2025,09:00,Colchester,Barrow,0-2,Final
5,23/08/2025,09:00,Crawley Town,Tranmere,0-2,Final
5,23/08/2025,09:00,Cheltenham,Barnet,0-1,Final
5,23/08/2025,09:00,Notts County,Bromley,2-2,Final
5,23/08/2025,09:00,Harrogate Town,Chesterfield,1-2,Final
6,29/08/2025,13:45,Salford City,Cheltenham,1-1,Final
6,30/08/2025,06:30,Crewe,Swindon Town,0-3,Final
6,30/08/2025,06:30,Barrow,Fleetwood Town,0-1,Final
6,30/08/2025,09:00,Chesterfield,Crawley Town,2-2,Final
6,30/08/2025,09:00,Milton Keynes Dons,Walsall,0-1,Final
6,30/08/2025,09:00,Oldham,Gillingham,0-1,Final
6,30/08/2025,09:00,Shrewsbury,Accrington ST,0-0,Final
6,30/08/2025,09:00,Grimsby,Bristol Rovers,0-1,Final
6,30/08/2025,09:00,Barnet,Colchester,1-1,Final
6,30/08/2025,09:00,Cambridge United,Newport County,2-0,Final
6,30/08/2025,09:00,Tranmere,Notts County,1-2,Final
6,30/08/2025,09:00,Bromley,Harrogate Town,2-0,Final
7,06/09/2025,06:30,Newport County,Bristol Rovers,2-3,Final
7,06/09/2025,09:00,Walsall,Chesterfield,1-0,Final
7,06/09/2025,09:00,Milton Keynes Dons,Grimsby,2-3,Final
7,06/09/2025,09:00,Colchester,Crewe,1-1,Final
7,06/09/2025,09:00,Barnet,Shrewsbury,1-3,Final
7,06/09/2025,09:00,Cambridge United,Oldham,0-1,Final
7,06/09/2025,09:00,Cheltenham,Accrington ST,1-0,Final
7,06/09/2025,09:00,Notts County,Fleetwood Town,1-0,Final
7,06/09/2025,09:00,Barrow,Swindon Town,1-3,Final
7,06/09/2025,09:00,Harrogate Town,Crawley Town,0-1,Final
7,06/09/2025,09:00,Salford City,Tranmere,3-1,Final
7,06/09/2025,11:30,Bromley,Gillingham,2-2,Final
8,13/09/2025,06:30,Accrington ST,Colchester,1-0,Final
8,13/09/2025,06:30,Crawley Town,Cheltenham,2-0,Final
8,13/09/2025,09:00,Bristol Rovers,Barrow,2-1,Final
8,13/09/2025,09:00,Fleetwood Town,Walsall,1-1,Final
8,13/09/2025,09:00,Chesterfield,Milton Keynes Dons,1-1,Final
8,13/09/2025,09:00,Gillingham,Notts County,1-0,Final
8,13/09/2025,09:00,Oldham,Bromley,1-0,Final
8,13/09/2025,09:00,Shrewsbury,Salford City,1-3,Final
8,13/09/2025,09:00,Swindon Town,Harrogate Town,3-1,Final
8,13/09/2025,09:00,Crewe,Barnet,1-2,Final
8,13/09/2025,09:00,Grimsby,Cambridge United,1-1,Final
8,13/09/2025,09:00,Tranmere,Newport County,1-1,Final
