matchday,date,time,home_team,away_team,result,status
1,03/02/2026,19:30,The Strongest,Deportivo Tachira FC,2-1,Final
1,04/02/2026,19:30,2 de Mayo,Alianza Lima,1-0,Final
1,05/02/2026,19:30,Juventud,Universidad Catolica,0-1,Final
1,10/02/2026,19:30,Deportivo Tachira FC,The Strongest,1-0,Final
1,11/02/2026,19:30,Alianza Lima,2 de Mayo,1-1,Final
1,12/02/2026,19:30,Universidad Catolica,Juventud,3-4,Final
2,17/02/2026,17:00,Carabobo FC,Huachipato,1-0,Final
2,17/02/2026,19:30,Liverpool Montevideo,Independiente Medellin,1-2,Final
2,17/02/2026,19:30,2 de Mayo,Sporting Cristal,2-2,Final
2,18/02/2026,17:00,O'Higgins,Bahia,1-0,Final
2,18/02/2026,19:30,Barcelona SC,Argentinos JRS,0-1,Final
2,18/02/2026,19:30,Nacional Potosí,Botafogo,1-0,Final
2,19/02/2026,17:00,Juventud,Club Guarani,0-0,Final
2,19/02/2026,19:30,Deportivo Tachira FC,Deportes Tolima,0-1,Final
2,24/02/2026,17:00,Huachipato,Carabobo FC,1-2,Final
2,24/02/2026,19:30,Independiente Medellin,Liverpool Montevideo,0-0,Final
2,24/02/2026,19:30,Sporting Cristal,2 de Mayo,0-0,Final
2,25/02/2026,17:00,Bahia,O'Higgins,2-1,Final
2,25/02/2026,19:30,Botafogo,Nacional Potosí,2-0,Final
2,25/02/2026,19:30,Argentinos JRS,Barcelona SC,0-1,Final
2,26/02/2026,17:00,Club Guarani,Juventud,1-2,Final
2,26/02/2026,19:30,Deportes Tolima,Deportivo Tachira FC,0-1,Final
3,03/03/2026,19:30,Barcelona SC,Botafogo,1-1,Final
3,04/03/2026,17:00,Carabobo FC,Sporting Cristal,0-1,Final
3,04/03/2026,19:30,O'Higgins,Deportes Tolima,1-0,Final
3,05/03/2026,19:30,Juventud,Independiente Medellin,1-1,Final
3,10/03/2026,19:30,Botafogo,Barcelona SC,0-1,Final
3,11/03/2026,17:00,Sporting Cristal,Carabobo FC,1-2,Final
3,11/03/2026,19:30,Deportes Tolima,O'Higgins,2-0,Final
3,12/03/2026,19:30,Independiente Medellin,Juventud,2-1,Final
1,07/04/2026,17:00,Independ. Rivadavia,Bolívar,,
1,07/04/2026,17:00,Deportivo La Guaira,Fluminense,,
1,07/04/2026,19:00,Barcelona SC,Cruzeiro,,
1,07/04/2026,19:00,Always Ready,LDU de Quito,,
1,07/04/2026,19:30,U. Catolica,Boca Juniors,,
1,07/04/2026,21:00,Deportes Tolima,Universitario,,
1,08/04/2026,17:00,Coquimbo Unido,Club Nacional,,
1,08/04/2026,17:00,Mirassol,Lanus,,
1,08/04/2026,19:00,Independiente Medellin,Estudiantes L.P.,,
1,08/04/2026,19:30,Junior,Palmeiras,,
1,08/04/2026,19:30,Cusco,Flamengo,,
1,08/04/2026,21:00,Sporting Cristal,Cerro Porteno,,
