matchday,date,time,home_team,away_team,result,status
1,30/01/2026,15:00,Sport Huancayo,Alianza Lima,1-2,Final
1,30/01/2026,15:00,Universidad Técnica,Atlético Grau,2-0,Final
1,31/01/2026,15:00,Sport Boys,Los Chankas,1-1,Final
1,31/01/2026,15:00,Juan Pablo II College,FC Cajamarca,3-3,Final
1,01/02/2026,15:00,FBC Melgar,Cienciano,2-0,Final
1,01/02/2026,15:00,Deportivo Garcilaso,Sporting Cristal,1-1,Final
1,01/02/2026,15:00,Alianza Atlético,Cusco FC,1-0,Final
1,02/02/2026,15:00,Universitario de Deportes,AD Tarma,2-0,Final
1,02/02/2026,15:00,Comerciantes Unidos,CD Moquegua,1-0,Final
2,06/02/2026,15:00,CD Moquegua,Universidad Técnica,2-3,Final
2,07/02/2026,15:00,AD Tarma,Sport Boys,1-0,Final
2,07/02/2026,15:00,Atlético Grau,Sport Huancayo,0-0,Final
2,08/02/2026,15:00,Cusco FC,Universitario de Deportes,1-1,Final
2,08/02/2026,15:00,Sporting Cristal,FBC Melgar,1-2,Final
2,08/02/2026,15:00,Los Chankas,Alianza Atlético,1-0,Final
2,08/02/2026,15:00,Cienciano,Juan Pablo II College,6-1,Final
2,09/02/2026,15:00,Alianza Lima,Comerciantes Unidos,2-1,Final
2,09/02/2026,15:00,FC Cajamarca,Deportivo Garcilaso,1-1,Final
3,13/02/2026,15:00,Universidad Técnica,Cusco FC,1-0,Final
3,14/02/2026,15:00,Universitario de Deportes,Cienciano,2-1,Final
3,14/02/2026,15:00,Deportivo Garcilaso,AD Tarma,1-0,Final
3,14/02/2026,15:00,Juan Pablo II College,Sporting Cristal,0-2,Final
3,14/02/2026,15:00,Sport Boys,Atlético Grau,1-0,Final
3,15/02/2026,15:00,Alianza Atlético,Alianza Lima,0-0,Final
3,15/02/2026,15:00,Sport Huancayo,FC Cajamarca,2-0,Final
3,15/02/2026,15:00,Comerciantes Unidos,Los Chankas,1-1,Final
3,16/02/2026,15:00,FBC Melgar,CD Moquegua,4-0,Final
4,21/02/2026,15:00,Alianza Lima,Sport Boys,1-0,Final
4,21/02/2026,15:00,FC Cajamarca,FBC Melgar,3-1,Final
4,21/02/2026,15:00,Sporting Cristal,Universitario de Deportes,2-2,Final
4,22/02/2026,15:00,Cienciano,Alianza Atlético,1-1,Final
4,22/02/2026,15:00,AD Tarma,Universidad Técnica,2-2,Final
4,22/02/2026,15:00,Los Chankas,Sport Huancayo,3-2,Final
4,22/02/2026,15:00,Atlético Grau,Juan Pablo II College,1-2,Final
4,23/02/2026,15:00,Cusco FC,Comerciantes Unidos,3-1,Final
4,23/02/2026,15:00,CD Moquegua,Deportivo Garcilaso,1-0,Final
5,27/02/2026,15:00,Alianza Atlético,AD Tarma,0-0,Final
5,27/02/2026,15:00,FBC Melgar,Los Chankas,1-2,Final
5,28/02/2026,15:00,Deportivo Garcilaso,Cienciano,2-3,Final
5,28/02/2026,15:00,Sport Huancayo,Sporting Cristal,2-1,Final
5,28/02/2026,15:00,Universidad Técnica,Alianza Lima,0-1,Final
5,01/03/2026,15:00,Sport Boys,CD Moquegua,0-0,Final
5,01/03/2026,15:00,Comerciantes Unidos,Atlético Grau,3-1,Final
5,01/03/2026,15:00,Juan Pablo II College,Cusco FC,2-1,Final
5,02/03/2026,15:00,Universitario de Deportes,FC Cajamarca,1-0,Final
6,06/03/2026,15:00,Atlético Grau,FC Cajamarca,1-0,Final
6,07/03/2026,15:00,CD Moquegua,Sport Huancayo,2-1,Final
6,07/03/2026,15:00,Comerciantes Unidos,Universidad Técnica,1-2,Final
6,07/03/2026,15:00,Sporting Cristal,Alianza Atlético,3-1,Final
6,08/03/2026,15:00,Cusco FC,Deportivo Garcilaso,1-0,Final
6,08/03/2026,15:00,AD Tarma,Juan Pablo II College,2-3,Final
6,08/03/2026,15:00,Los Chankas,Universitario de Deportes,3-1,Final
6,09/03/2026,15:00,Cienciano,Sport Boys,3-1,Final
6,10/03/2026,15:00,Alianza Lima,FBC Melgar,3-1,Final
7,13/03/2026,15:00,FC Cajamarca,Comerciantes Unidos,3-4,Final
7,14/03/2026,15:00,Sport Huancayo,AD Tarma,0-1,Final
7,14/03/2026,15:00,Juan Pablo II College,Los Chankas,2-3,Final
7,15/03/2026,15:00,Deportivo Garcilaso,Alianza Lima,1-1,Final
7,15/03/2026,15:00,Universitario de Deportes,Universidad Técnica,2-0,Final
7,15/03/2026,15:00,Sporting Cristal,Sport Boys,3-0,Final
7,15/03/2026,15:00,FBC Melgar,Atlético Grau,0-0,Final
7,15/03/2026,15:00,Alianza Atlético,CD Moquegua,3-0,Final
7,16/03/2026,15:00,Cusco FC,Cienciano,1-2,Final
8,20/03/2026,15:00,AD Tarma,FBC Melgar,1-1,Final
8,21/03/2026,15:00,Cienciano,FC Cajamarca,3-0,Final
8,21/03/2026,15:00,CD Moquegua,Cusco FC,1-2,Final
8,21/03/2026,15:00,Comerciantes Unidos,Universitario de Deportes,0-0,Final
8,21/03/2026,15:00,Los Chankas,Sporting Cristal,3-2,Final
8,22/03/2026,15:00,Alianza Lima,Juan Pablo II College,2-0,Final
8,22/03/2026,15:00,Universidad Técnica,Alianza Atlético,1-1,Final
8,22/03/2026,15:00,Atlético Grau,Deportivo Garcilaso,0-0,Final
8,23/03/2026,15:00,Sport Boys,Sport Huancayo,3-0,Final
9,03/04/2026,15:00,Sporting Cristal,CD Moquegua,1-2,Final
9,03/04/2026,15:00,Alianza Atlético,Atlético Grau,2-2,Final
9,04/04/2026,15:00,Cienciano,AD Tarma,3-2,Final
9,04/04/2026,15:00,Deportivo Garcilaso,Sport Boys,3-2,Final
9,04/04/2026,15:00,FBC Melgar,Cusco FC,1-3,Final
9,05/04/2026,15:00,Universitario de Deportes,Alianza Lima,1-0,Final
9,05/04/2026,15:00,Sport Huancayo,Comerciantes Unidos,1-1,Final
9,05/04/2026,15:00,Juan Pablo II College,Universidad Técnica,2-1,Final
9,06/04/2026,15:00,FC Cajamarca,Los Chankas,0-1,Final
10,14/04/2026,15:00,CD Moquegua,Juan Pablo II College,3-0,Final
10,14/04/2026,15:00,AD Tarma,Alianza Lima,0-1,Final
10,15/04/2026,15:00,Sport Boys,FBC Melgar,1-3,Final
10,15/04/2026,15:00,Universidad Técnica,Sport Huancayo,2-2,Final
10,22/04/2026,15:00,Comerciantes Unidos,Alianza Atlético,1-0,Final
10,22/04/2026,15:00,Atlético Grau,Sporting Cristal,4-1,Final
10,23/04/2026,15:00,Cusco FC,FC Cajamarca,1-0,Final
10,23/04/2026,15:00,Universitario de Deportes,Deportivo Garcilaso,4-1,Final
10,23/04/2026,15:00,Los Chankas,Cienciano,1-0,Final
11,17/04/2026,15:00,Los Chankas,Atlético Grau,2-0,Final
11,18/04/2026,15:00,FC Cajamarca,AD Tarma,2-2,Final
11,18/04/2026,15:00,Juan Pablo II College,Comerciantes Unidos,2-2,Final
11,19/04/2026,15:00,Sport Huancayo,Deportivo Garcilaso,2-1,Final
11,19/04/2026,15:00,Alianza Lima,Cusco FC,8-0,Final
11,19/04/2026,15:00,Sporting Cristal,Universidad Técnica,3-2,Final
11,19/04/2026,15:00,Alianza Atlético,Sport Boys,0-1,Final
11,20/04/2026,15:00,FBC Melgar,Universitario de Deportes,2-1,Final
11,20/04/2026,15:00,Cienciano,CD Moquegua,2-1,Final
12,25/04/2026,15:00,CD Moquegua,FC Cajamarca,2-1,Final
12,25/04/2026,15:00,Comerciantes Unidos,Sporting Cristal,1-0,Final
12,26/04/2026,15:00,Sport Boys,Juan Pablo II College,1-1,Final
12,26/04/2026,15:00,Universidad Técnica,Cienciano,2-2,Final
12,26/04/2026,15:00,Cusco FC,Sport Huancayo,2-1,Final
12,26/04/2026,15:30,Atlético Grau,Alianza Lima,0-1,Final
12,27/04/2026,18:00,Universitario de Deportes,Alianza Atlético,1-2,Final
12,27/04/2026,15:00,AD Tarma,Los Chankas,4-0,Final
12,28/04/2026,19:00,Deportivo Garcilaso,FBC Melgar,1-0,Final
13,02/05/2026,13:00,FC Cajamarca,Sport Boys,3-2,Final
13,02/05/2026,15:15,AD Tarma,Atlético Grau,1-0,Final
13,03/05/2026,17:30,Cienciano,Comerciantes Unidos,1-0,Final
13,03/05/2026,20:00,Alianza Lima,CD Moquegua,2-1,Final
13,03/05/2026,11:00,Sporting Cristal,Cusco FC,,
13,03/05/2026,13:15,Juan Pablo II College,Universitario de Deportes,,
13,03/05/2026,15:30,Alianza Atlético,Sport Huancayo,,
13,04/05/2026,18:00,FBC Melgar,Universidad Técnica,,
13,04/05/2026,13:00,Los Chankas,Deportivo Garcilaso,,
14,08/05/2026,15:00,Universidad Técnica,FC Cajamarca,,
14,09/05/2026,13:00,CD Moquegua,AD Tarma,,
14,09/05/2026,15:00,Atlético Grau,Cienciano,,
14,10/05/2026,20:00,Alianza Lima,Sporting Cristal,,
14,10/05/2026,13:00,Sport Huancayo,Juan Pablo II College,,
14,10/05/2026,15:15,Comerciantes Unidos,FBC Melgar,,
14,11/05/2026,20:00,Cusco FC,Los Chankas,,
14,11/05/2026,13:00,Deportivo Garcilaso,Alianza Atlético,,
14,12/05/2026,15:15,Sport Boys,Universitario de Deportes,,
15,15/05/2026,20:00,FC Cajamarca,Sporting Cristal,,
15,16/05/2026,13:00,Universitario de Deportes,Atlético Grau,,
15,16/05/2026,15:15,FBC Melgar,Sport Huancayo,,
15,16/05/2026,20:00,Juan Pablo II College,Alianza Atlético,,
15,17/05/2026,13:00,Cienciano,Alianza Lima,,
15,17/05/2026,15:15,Sport Boys,Cusco FC,,
15,17/05/2026,20:00,AD Tarma,Comerciantes Unidos,,
15,17/05/2026,13:00,Deportivo Garcilaso,Universidad Técnica,,
15,17/05/2026,15:15,Los Chankas,CD Moquegua,,
16,23/05/2026,20:00,Cusco FC,Atlético Grau,,
16,23/05/2026,13:00,Juan Pablo II College,FBC Melgar,,
16,23/05/2026,15:15,Universidad Técnica,Sport Boys,,
16,23/05/2026,20:00,Alianza Atlético,FC Cajamarca,,
16,23/05/2026,13:00,Sporting Cristal,AD Tarma,,
16,23/05/2026,15:15,Alianza Lima,Los Chankas,,
16,23/05/2026,20:00,Sport Huancayo,Cienciano,,
16,23/05/2026,13:00,CD Moquegua,Universitario de Deportes,,
16,23/05/2026,15:15,Comerciantes Unidos,Deportivo Garcilaso,,
17,30/05/2026,20:00,AD Tarma,Cusco FC,,
17,30/05/2026,13:00,Cienciano,Sporting Cristal,,
17,30/05/2026,15:15,Deportivo Garcilaso,Juan Pablo II College,,
17,30/05/2026,20:00,Sport Boys,Comerciantes Unidos,,
17,30/05/2026,13:00,FBC Melgar,Alianza Atlético,,
17,30/05/2026,15:15,Universitario de Deportes,Sport Huancayo,,
17,30/05/2026,20:00,Atlético Grau,Juan Pablo II College,,
17,30/05/2026,13:00,Los Chankas,Universidad Técnica,,
17,30/05/2026,15:15,FC Cajamarca,Alianza Lima,,
