matchday,date,time,home_team,away_team,result,status
1,11/07/2025,12:30,Metaloglobus Bucureşti,Universitatea Cluj,1-4,Final
1,11/07/2025,12:30,Argeș Pitești,Rapid Bucureşti,0-2,Final
1,12/07/2025,12:30,UTA Arad,CS Universitatea Craiova,3-3,Final
1,12/07/2025,12:30,FCSB,FC Hermannstadt,1-1,Final
1,13/07/2025,12:30,Oţelul Galaţi,Petrolul Ploieşti,0-0,Final
1,13/07/2025,12:30,CFR Cluj,Unirea Slobozia,2-1,Final
1,14/07/2025,12:30,FC Botoşani,Farul Constanța,1-1,Final
1,14/07/2025,12:30,FK Csikszereda,FC Dinamo Bucureşti,2-2,Final
2,18/07/2025,12:30,FC Hermannstadt,Metaloglobus Bucureşti,2-2,Final
2,18/07/2025,12:30,CS Universitatea Craiova,Argeș Pitești,3-1,Final
2,19/07/2025,12:30,Universitatea Cluj,UTA Arad,1-1,Final
2,19/07/2025,12:30,Petrolul Ploieşti,FCSB,0-1,Final
2,20/07/2025,12:30,Farul Constanța,Oţelul Galaţi,3-2,Final
2,20/07/2025,12:30,Rapid Bucureşti,CFR Cluj,1-1,Final
2,21/07/2025,12:30,Unirea Slobozia,FK Csikszereda,6-1,Final
2,21/07/2025,12:30,FC Dinamo Bucureşti,FC Botoşani,0-0,Final
3,25/07/2025,12:30,Metaloglobus Bucureşti,Petrolul Ploieşti,0-3,Final
3,25/07/2025,12:30,FK Csikszereda,Rapid Bucureşti,0-2,Final
3,26/07/2025,12:30,UTA Arad,FC Hermannstadt,1-0,Final
3,26/07/2025,12:30,FCSB,Farul Constanța,1-2,Final
3,27/07/2025,12:30,CFR Cluj,Argeș Pitești,0-2,Final
3,27/07/2025,12:30,Oţelul Galaţi,FC Dinamo Bucureşti,2-1,Final
3,28/07/2025,12:30,FC Botoşani,Unirea Slobozia,4-0,Final
3,28/07/2025,12:30,CS Universitatea Craiova,Universitatea Cluj,2-1,Final
4,01/08/2025,12:30,Farul Constanța,Metaloglobus Bucureşti,2-1,Final
4,01/08/2025,12:30,Petrolul Ploieşti,UTA Arad,1-2,Final
4,02/08/2025,12:30,Argeș Pitești,FK Csikszereda,3-1,Final
4,02/08/2025,12:30,FC Dinamo Bucureşti,FCSB,4-3,Final
4,03/08/2025,12:30,FC Hermannstadt,Universitatea Cluj,2-2,Final
4,03/08/2025,12:30,CFR Cluj,CS Universitatea Craiova,2-3,Final
4,04/08/2025,12:30,Unirea Slobozia,Oţelul Galaţi,0-0,Final
4,04/08/2025,12:30,Rapid Bucureşti,FC Botoşani,2-1,Final
5,08/08/2025,12:30,Metaloglobus Bucureşti,FC Dinamo Bucureşti,0-1,Final
5,09/08/2025,12:30,UTA Arad,Farul Constanța,2-1,Final
5,09/08/2025,12:30,Universitatea Cluj,Petrolul Ploieşti,1-1,Final
5,10/08/2025,12:30,CS Universitatea Craiova,FC Hermannstadt,1-0,Final
5,10/08/2025,12:30,FCSB,Unirea Slobozia,0-1,Final
5,11/08/2025,12:30,FC Botoşani,Argeș Pitești,3-1,Final
5,11/08/2025,12:30,Oţelul Galaţi,Rapid Bucureşti,1-1,Final
5,16/10/2025,12:30,FK Csikszereda,CFR Cluj,2-2,Final
6,15/08/2025,12:30,Unirea Slobozia,Metaloglobus Bucureşti,2-1,Final
6,15/08/2025,12:30,FC Dinamo Bucureşti,UTA Arad,1-1,Final
6,16/08/2025,12:30,Petrolul Ploieşti,FC Hermannstadt,1-1,Final
6,17/08/2025,12:30,FK Csikszereda,CS Universitatea Craiova,1-2,Final
6,17/08/2025,12:30,CFR Cluj,FC Botoşani,3-3,Final
6,17/08/2025,12:30,Rapid Bucureşti,FCSB,2-2,Final
6,18/08/2025,12:30,Argeș Pitești,Oţelul Galaţi,2-0,Final
6,18/08/2025,12:30,Farul Constanța,Universitatea Cluj,0-1,Final
7,22/08/2025,12:30,UTA Arad,Unirea Slobozia,1-1,Final
7,22/08/2025,12:30,Metaloglobus Bucureşti,Rapid Bucureşti,1-2,Final
7,23/08/2025,12:30,FC Botoşani,FK Csikszereda,3-1,Final
7,23/08/2025,12:30,Universitatea Cluj,FC Dinamo Bucureşti,0-1,Final
7,24/08/2025,12:30,Oţelul Galaţi,CFR Cluj,4-1,Final
7,24/08/2025,12:30,CS Universitatea Craiova,Petrolul Ploieşti,2-0,Final
7,24/08/2025,12:30,FCSB,Argeș Pitești,0-2,Final
