matchday,date,time,home_team,away_team,result,status
1,31/07/2026,03:00,Portuguesa FC,Carabobo FC,1-0,Final
1,01/08/2026,03:00,Anzoátegui FC,Deportivo Táchira,,
1,01/08/2026,03:00,Monagas,Deportivo La Guaira,1-2,Final
1,01/08/2026,03:00,Trujillanos FC,Universidad Central,2-0,Final
1,02/08/2026,03:00,Zamora FC,Rayo Zuliano,2-1,Final
1,03/08/2026,03:00,Metropolitanos FC,Academia Puerto Cabello,2-1,Final
1,04/08/2026,03:00,Caracas FC,Estudiantes de Mérida,2-2,Final
2,04/08/2026,03:00,Carabobo FC,Trujillanos FC,2-0,Final
2,05/08/2026,03:00,Universidad Central,Monagas,2-1,Final
2,05/08/2026,03:00,Deportivo Táchira,Portuguesa FC,1-0,Final
2,06/08/2026,03:00,Deportivo La Guaira,Metropolitanos FC,1-2,Final
2,06/08/2026,03:00,Rayo Zuliano,Anzoátegui FC,0-1,Final
2,06/08/2026,03:00,Estudiantes de Mérida,Zamora FC,1-0,Final
2,07/08/2026,03:00,Academia Puerto Cabello,Caracas FC,3-1,Final
3,08/08/2026,03:00,Monagas,Carabobo FC,1-0,Final
3,09/08/2026,03:00,Anzoátegui FC,Portuguesa FC,3-4,Final
3,09/08/2026,03:00,Trujillanos FC,Deportivo Táchira,1-3,Final
3,09/08/2026,03:00,Zamora FC,Academia Puerto Cabello,0-1,Final
3,10/08/2026,03:00,Metropolitanos FC,Universidad Central,2-1,Final
3,10/08/2026,03:00,Rayo Zuliano,Estudiantes de Mérida,3-0,Final
3,11/08/2026,03:00,Caracas FC,Deportivo La Guaira,1-2,Final
4,15/08/2026,03:00,Estudiantes de Mérida,Anzoátegui FC,1-0,Final
4,15/08/2026,03:00,Universidad Central,Caracas FC,0-1,Final
4,16/08/2026,03:00,Portuguesa FC,Trujillanos FC,1-0,Final
4,16/08/2026,03:00,Academia Puerto Cabello,Rayo Zuliano,2-0,Final
4,16/08/2026,03:00,Deportivo Táchira,Monagas,3-2,Final
4,17/08/2026,03:00,Deportivo La Guaira,Zamora FC,6-1,Final
4,17/08/2026,03:00,Carabobo FC,Metropolitanos FC,1-0,Final
5,21/08/2026,03:00,Anzoátegui FC,Trujillanos FC,0-0,Final
5,22/08/2026,03:00,Caracas FC,Carabobo FC,1-1,Final
5,22/08/2026,03:00,Rayo Zuliano,Deportivo La Guaira,1-4,Final
5,22/08/2026,03:00,Zamora FC,Universidad Central,2-0,Final
5,22/08/2026,03:00,Estudiantes de Mérida,Academia Puerto Cabello,1-1,Final
5,23/08/2026,03:00,Metropolitanos FC,Deportivo Táchira,3-1,Final
5,23/08/2026,08:30,Monagas,Portuguesa FC,,
6,30/08/2026,03:00,Trujillanos FC,Monagas,,
