matchday,date,time,home_team,away_team,result,status
1,22/08/2026,03:00,Ironi Tiberias,Hapoel Petach-Tikva,1-0,Final
1,22/08/2026,03:00,Maccabi Petach-Tikva,Ironi Kiryat Shmona,2-1,Final
1,22/08/2026,03:00,Maccabi Haifa,Hapoel Ramat Gan,2-1,Final
1,23/08/2026,03:00,Hapoel Jerusalem,Maccabi Tel Aviv,2-5,Final
1,24/08/2026,03:00,Maccabi Netanya,Bnei Sachnin FC,0-0,Final
1,02/09/2026,12:00,Hapoel Be'er Sheva,Hapoel Haifa,,
1,03/09/2026,12:30,Hapoel Tel Aviv,Beitar Jerusalem,,
2,29/08/2026,03:00,Bnei Sachnin FC,Maccabi Petach-Tikva,1-2,Final
2,29/08/2026,03:00,Hapoel Petach-Tikva,Hapoel Jerusalem,1-0,Final
2,29/08/2026,03:00,Hapoel Ramat Gan,Hapoel Be'er Sheva,1-2,Final
2,29/08/2026,03:00,Ironi Kiryat Shmona,Ironi Tiberias,2-0,Final
2,29/08/2026,03:00,Beitar Jerusalem,Maccabi Netanya,1-4,Final
2,30/08/2026,03:00,Hapoel Haifa,Hapoel Tel Aviv,0-0,Final
2,31/08/2026,12:30,Maccabi Tel Aviv,Maccabi Haifa,,
3,05/09/2026,11:45,Hapoel Jerusalem,Ironi Kiryat Shmona,,
3,05/09/2026,11:45,Maccabi Petach-Tikva,Ironi Tiberias,,
3,05/09/2026,12:30,Maccabi Haifa,Hapoel Petach-Tikva,,
3,07/09/2026,11:45,Maccabi Netanya,Hapoel Haifa,,
3,07/09/2026,12:00,Hapoel Tel Aviv,Hapoel Ramat Gan,,
3,07/09/2026,12:15,Bnei Sachnin FC,Beitar Jerusalem,,
3,07/09/2026,12:30,Hapoel Be'er Sheva,Maccabi Tel Aviv,,
4,14/09/2026,03:00,Beitar Jerusalem,Maccabi Petach-Tikva,,
4,14/09/2026,03:00,Hapoel Haifa,Bnei Sachnin FC,,
4,14/09/2026,03:00,Hapoel Petach-Tikva,Hapoel Be'er Sheva,,
4,14/09/2026,03:00,Hapoel Ramat Gan,Maccabi Netanya,,
4,14/09/2026,03:00,Ironi Tiberias,Hapoel Jerusalem,,
4,14/09/2026,03:00,Ironi Kiryat Shmona,Maccabi Haifa,,
4,14/09/2026,03:00,Maccabi Tel Aviv,Hapoel Tel Aviv,,
5,19/09/2026,03:00,Beitar Jerusalem,Hapoel Haifa,,
5,19/09/2026,03:00,Bnei Sachnin FC,Hapoel Ramat Gan,,
5,19/09/2026,03:00,Hapoel Be'er Sheva,Ironi Kiryat Shmona,,
5,19/09/2026,03:00,Hapoel Tel Aviv,Hapoel Petach-Tikva,,
5,19/09/2026,03:00,Maccabi Haifa,Ironi Tiberias,,
5,19/09/2026,03:00,Maccabi Netanya,Maccabi Tel Aviv,,
5,19/09/2026,03:00,Maccabi Petach-Tikva,Hapoel Jerusalem,,
6,10/10/2026,03:00,Hapoel Haifa,Maccabi Petach-Tikva,,
6,10/10/2026,03:00,Hapoel Jerusalem,Maccabi Haifa,,
6,10/10/2026,03:00,Hapoel Petach-Tikva,Maccabi Netanya,,
6,10/10/2026,03:00,Hapoel Ramat Gan,Beitar Jerusalem,,
6,10/10/2026,03:00,Ironi Tiberias,Hapoel Be'er Sheva,,
6,10/10/2026,03:00,Ironi Kiryat Shmona,Hapoel Tel Aviv,,
6,10/10/2026,03:00,Maccabi Tel Aviv,Bnei Sachnin FC,,
7,17/10/2026,03:00,Beitar Jerusalem,Maccabi Tel Aviv,,
7,17/10/2026,03:00,Bnei Sachnin FC,Hapoel Petach-Tikva,,
7,17/10/2026,03:00,Hapoel Be'er Sheva,Hapoel Jerusalem,,
7,17/10/2026,03:00,Hapoel Haifa,Hapoel Ramat Gan,,
7,17/10/2026,03:00,Hapoel Tel Aviv,Ironi Tiberias,,
7,17/10/2026,03:00,Maccabi Netanya,Ironi Kiryat Shmona,,
7,17/10/2026,03:00,Maccabi Petach-Tikva,Maccabi Haifa,,
