Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
10/01/2026,1,Mazatlán FC,FC Juárez,1-2
10/01/2026,1,Atlas Guadalajara,Puebla FC,1-0
10/01/2026,1,Club Tijuana,CF América,0-0
11/01/2026,1,Deportivo Guadalajara,CF Pachuca,2-0
11/01/2026,1,Club León,Cruz Azul,2-1
11/01/2026,1,Santos Laguna,Club Necaxa,1-3
11/01/2026,1,CF Monterrey,Deportivo Toluca,0-1
11/01/2026,1,Pumas UNAM,Gallos Blancos,1-1
12/01/2026,1,Atlético San Luis,UANL Tigres,1-2
14/01/2026,2,Puebla FC,Mazatlán FC,2-1
14/01/2026,2,Club Necaxa,CF Monterrey,0-2
14/01/2026,2,CF Pachuca,Club León,2-1
14/01/2026,2,FC Juárez,Deportivo Guadalajara,0-1
15/01/2026,2,Cruz Azul,Atlas Guadalajara,2-0
15/01/2026,2,Gallos Blancos,Club Tijuana,1-2
15/01/2026,2,CF América,Atlético San Luis,0-2
15/01/2026,2,UANL Tigres,Pumas UNAM,0-1
15/01/2026,2,Deportivo Toluca,Santos Laguna,3-1
17/01/2026,3,Mazatlán FC,CF Monterrey,1-5
18/01/2026,3,Club Necaxa,Atlas Guadalajara,0-1
18/01/2026,3,Deportivo Guadalajara,Gallos Blancos,2-1
18/01/2026,3,UANL Tigres,Deportivo Toluca,0-0
18/01/2026,3,Cruz Azul,Puebla FC,1-0
18/01/2026,3,Club Tijuana,Atlético San Luis,1-1
18/01/2026,3,Pumas UNAM,Club León,1-1
19/01/2026,3,Santos Laguna,FC Juárez,2-2
19/01/2026,3,CF Pachuca,CF América,0-0
31/01/2026,4,Puebla FC,Deportivo Toluca,0-0
31/01/2026,4,Pumas UNAM,Santos Laguna,4-0
31/01/2026,4,FC Juárez,Cruz Azul,3-4
31/01/2026,4,CF América,Club Necaxa,2-0
01/02/2026,4,Atlas Guadalajara,Mazatlán FC,1-0
01/02/2026,4,Atlético San Luis,Deportivo Guadalajara,2-3
01/02/2026,4,CF Monterrey,Club Tijuana,2-2
01/02/2026,4,Club León,UANL Tigres,1-2
02/02/2026,4,Gallos Blancos,CF Pachuca,0-0
07/02/2026,5,Club Necaxa,Atlético San Luis,4-1
07/02/2026,5,UANL Tigres,Santos Laguna,5-1
07/02/2026,5,Club Tijuana,Puebla FC,0-0
07/02/2026,5,Mazatlán FC,Deportivo Guadalajara,1-2
08/02/2026,5,Deportivo Toluca,Cruz Azul,1-1
08/02/2026,5,Gallos Blancos,Club León,2-0
08/02/2026,5,Atlas Guadalajara,Pumas UNAM,2-2
08/02/2026,5,CF Pachuca,FC Juárez,2-0
08/02/2026,5,CF América,CF Monterrey,1-0
14/02/2026,6,Puebla FC,Pumas UNAM,2-3
14/02/2026,6,Deportivo Toluca,Club Tijuana,1-0
15/02/2026,6,Atlético San Luis,Gallos Blancos,3-0
15/02/2026,6,CF Pachuca,Atlas Guadalajara,3-1
15/02/2026,6,CF Monterrey,Club León,1-0
15/02/2026,6,FC Juárez,Club Necaxa,1-2
15/02/2026,6,Deportivo Guadalajara,CF América,1-0
15/02/2026,6,Cruz Azul,UANL Tigres,2-1
16/02/2026,6,Santos Laguna,Mazatlán FC,1-2
21/02/2026,7,UANL Tigres,CF Pachuca,1-2
21/02/2026,7,Puebla FC,CF América,0-4
22/02/2026,7,Atlas Guadalajara,Atlético San Luis,3-2
22/02/2026,7,Club León,Santos Laguna,2-1
22/02/2026,7,Club Necaxa,Deportivo Toluca,0-3
22/02/2026,7,Cruz Azul,Deportivo Guadalajara,2-1
22/02/2026,7,Club Tijuana,Mazatlán FC,1-1
23/02/2026,7,Pumas UNAM,CF Monterrey,2-0
23/02/2026,7,Gallos Blancos,FC Juárez,
28/02/2026,8,Mazatlán FC,CF Pachuca,1-0
28/02/2026,8,Gallos Blancos,Santos Laguna,2-2
28/02/2026,8,FC Juárez,Atlas Guadalajara,3-1
28/02/2026,8,Club Tijuana,Pumas UNAM,1-1
01/03/2026,8,Atlético San Luis,Puebla FC,0-1
01/03/2026,8,Deportivo Toluca,Deportivo Guadalajara,2-0
01/03/2026,8,CF Monterrey,Cruz Azul,0-2
01/03/2026,8,Club León,Club Necaxa,2-1
01/03/2026,8,CF América,UANL Tigres,1-4
04/03/2026,9,CF Pachuca,Club Necaxa,2-1
04/03/2026,9,Santos Laguna,Cruz Azul,1-2
04/03/2026,9,Atlético San Luis,Mazatlán FC,4-1
04/03/2026,9,Pumas UNAM,Deportivo Toluca,2-3
05/03/2026,9,CF Monterrey,Gallos Blancos,4-0
05/03/2026,9,Puebla FC,UANL Tigres,3-1
05/03/2026,9,Atlas Guadalajara,Club Tijuana,2-1
05/03/2026,9,CF América,FC Juárez,1-2
19/03/2026,9,Deportivo Guadalajara,Club León,5-0
07/03/2026,10,Mazatlán FC,Club León,4-2
07/03/2026,10,Club Necaxa,Pumas UNAM,0-1
08/03/2026,10,Cruz Azul,Atlético San Luis,3-0
08/03/2026,10,Gallos Blancos,CF América,1-2
08/03/2026,10,Atlas Guadalajara,Deportivo Guadalajara,1-2
08/03/2026,10,CF Pachuca,Puebla FC,2-1
08/03/2026,10,UANL Tigres,CF Monterrey,1-0
09/03/2026,10,Deportivo Toluca,FC Juárez,3-1
09/03/2026,10,Club Tijuana,Santos Laguna,1-2
14/03/2026,11,Puebla FC,Club Necaxa,0-0
14/03/2026,11,FC Juárez,CF Monterrey,2-2
15/03/2026,11,Atlético San Luis,CF Pachuca,1-1
15/03/2026,11,Deportivo Guadalajara,Santos Laguna,3-0
15/03/2026,11,Club León,Club Tijuana,0-3
15/03/2026,11,Deportivo Toluca,Atlas Guadalajara,1-1
15/03/2026,11,Pumas UNAM,Cruz Azul,2-2
16/03/2026,11,UANL Tigres,Gallos Blancos,0-0
16/03/2026,11,CF América,Mazatlán FC,2-0
21/03/2026,12,Club Necaxa,En vivo,2-0
21/03/2026,12,Mazatlán FC,Cruz Azul,
22/03/2026,12,Atlas Guadalajara,Gallos Blancos,
22/03/2026,12,Atlético San Luis,Club León,
22/03/2026,12,CF Monterrey,Deportivo Guadalajara,
22/03/2026,12,Pumas UNAM,CF América,
23/03/2026,12,CF Pachuca,Deportivo Toluca,
23/03/2026,12,Santos Laguna,Puebla FC,
23/03/2026,12,FC Juárez,UANL Tigres,
04/04/2026,13,Puebla FC,FC Juárez,
04/04/2026,13,Club Necaxa,Mazatlán FC,
04/04/2026,13,Club Tijuana,UANL Tigres,
05/04/2026,13,CF Monterrey,Atlético San Luis,
05/04/2026,13,Club León,Atlas Guadalajara,
05/04/2026,13,Cruz Azul,CF Pachuca,
05/04/2026,13,Santos Laguna,CF América,
06/04/2026,13,Gallos Blancos,Deportivo Toluca,
06/04/2026,13,Deportivo Guadalajara,Pumas UNAM,
11/04/2026,14,Puebla FC,Club León,
11/04/2026,14,FC Juárez,Club Tijuana,
12/04/2026,14,Gallos Blancos,Club Necaxa,
12/04/2026,14,UANL Tigres,Deportivo Guadalajara,
12/04/2026,14,Atlas Guadalajara,CF Monterrey,
12/04/2026,14,CF Pachuca,Santos Laguna,
12/04/2026,14,CF América,Cruz Azul,
12/04/2026,14,Pumas UNAM,Mazatlán FC,
13/04/2026,14,Deportivo Toluca,Atlético San Luis,
18/04/2026,15,Atlético San Luis,Pumas UNAM,
18/04/2026,15,Mazatlán FC,Gallos Blancos,
18/04/2026,15,Club Necaxa,UANL Tigres,
19/04/2026,15,Cruz Azul,Club Tijuana,
19/04/2026,15,CF Monterrey,CF Pachuca,
19/04/2026,15,Deportivo Guadalajara,Puebla FC,
19/04/2026,15,CF América,Deportivo Toluca,
19/04/2026,15,Club León,FC Juárez,
20/04/2026,15,Santos Laguna,Atlas Guadalajara,
22/04/2026,16,Gallos Blancos,Cruz Azul,
22/04/2026,16,Pumas UNAM,FC Juárez,
22/04/2026,16,CF Monterrey,Puebla FC,
22/04/2026,16,Club León,CF América,
23/04/2026,16,Atlas Guadalajara,UANL Tigres,
23/04/2026,16,Atlético San Luis,Santos Laguna,
23/04/2026,16,Mazatlán FC,Deportivo Toluca,
23/04/2026,16,Club Necaxa,Deportivo Guadalajara,
23/04/2026,16,Club Tijuana,CF Pachuca,
25/04/2026,17,Puebla FC,Gallos Blancos,
26/04/2026,17,CF Pachuca,Pumas UNAM,
26/04/2026,17,UANL Tigres,Mazatlán FC,
26/04/2026,17,Deportivo Toluca,Club León,
26/04/2026,17,Deportivo Guadalajara,Club Tijuana,
26/04/2026,17,CF América,Atlas Guadalajara,
26/04/2026,17,FC Juárez,Atlético San Luis,
27/04/2026,17,Santos Laguna,CF Monterrey,
27/04/2026,17,Cruz Azul,Club Necaxa,
