matchday,date,time,home_team,away_team,result,status
1,27/08/2026,13:00,ES Sétif,ES Ben Aknoun,,
1,27/08/2026,15:00,MC Alger,MC Oran,,
1,28/08/2026,13:00,US Biskra,JS Saoura,,
1,28/08/2026,13:00,CR Témouchent,CS Constantine,,
1,28/08/2026,15:00,JS El Biar,Olympique Akbou,,
1,29/08/2026,11:00,USM Khenchela,USM Alger,,
1,29/08/2026,13:00,ASO Chlef,CR Bélouizdad,,
1,29/08/2026,15:00,JS Kabylie,MB Rouissat,,
2,03/09/2026,14:00,MC Oran,CR Témouchent,,
2,04/09/2026,14:00,CR Bélouizdad,ES Sétif,,
2,04/09/2026,14:00,ES Ben Aknoun,US Biskra,,
2,05/09/2026,03:00,JS Kabylie,MC Alger,,
2,05/09/2026,03:00,JS Saoura,USM Khenchela,,
2,05/09/2026,13:00,CS Constantine,ASO Chlef,,
2,05/09/2026,13:00,MB Rouissat,Olympique Akbou,,
2,05/09/2026,15:00,USM Alger,JS El Biar,,
3,12/09/2026,03:00,US Biskra,CR Bélouizdad,,
3,12/09/2026,03:00,ASO Chlef,MC Oran,,
3,12/09/2026,03:00,JS El Biar,JS Saoura,,
3,12/09/2026,03:00,USM Khenchela,ES Ben Aknoun,,
3,12/09/2026,03:00,MC Alger,MB Rouissat,,
3,12/09/2026,03:00,Olympique Akbou,USM Alger,,
3,12/09/2026,03:00,ES Sétif,CS Constantine,,
3,12/09/2026,03:00,CR Témouchent,JS Kabylie,,
4,19/09/2026,03:00,CR Bélouizdad,USM Khenchela,,
4,19/09/2026,03:00,ES Ben Aknoun,JS El Biar,,
4,19/09/2026,03:00,CS Constantine,US Biskra,,
4,19/09/2026,03:00,JS Kabylie,ASO Chlef,,
4,19/09/2026,03:00,MC Alger,CR Témouchent,,
4,19/09/2026,03:00,MC Oran,ES Sétif,,
4,19/09/2026,03:00,MB Rouissat,USM Alger,,
4,19/09/2026,03:00,JS Saoura,Olympique Akbou,,
5,26/09/2026,03:00,US Biskra,MC Oran,,
5,26/09/2026,03:00,ASO Chlef,MC Alger,,
5,26/09/2026,03:00,JS El Biar,CR Bélouizdad,,
5,26/09/2026,03:00,USM Khenchela,CS Constantine,,
5,26/09/2026,03:00,Olympique Akbou,ES Ben Aknoun,,
5,26/09/2026,03:00,ES Sétif,JS Kabylie,,
5,26/09/2026,03:00,CR Témouchent,MB Rouissat,,
