matchday,date,time,home_team,away_team,result,status
1,15/08/2025,13:45,Rennes,Marseille,1-0,Final
1,16/08/2025,10:00,Lens,Lyon,0-1,Final
1,16/08/2025,12:00,Monaco,Le Havre,3-1,Final
1,16/08/2025,14:05,Nice,Toulouse,0-1,Final
1,17/08/2025,08:00,Stade Brestois 29,Lille,3-3,Final
1,17/08/2025,10:15,Angers,Paris FC,1-0,Final
1,17/08/2025,10:15,Auxerre,Lorient,1-0,Final
1,17/08/2025,10:15,Metz,Strasbourg,0-1,Final
1,17/08/2025,13:45,Nantes,Paris Saint Germain,0-1,Final
2,22/08/2025,13:45,Paris Saint Germain,Angers,1-0,Final
2,23/08/2025,10:00,Marseille,Paris FC,5-2,Final
2,23/08/2025,12:00,Nice,Auxerre,3-1,Final
2,23/08/2025,14:05,Lyon,Metz,3-0,Final
2,24/08/2025,08:00,Lorient,Rennes,4-0,Final
2,24/08/2025,10:15,Strasbourg,Nantes,1-0,Final
2,24/08/2025,10:15,Toulouse,Stade Brestois 29,2-0,Final
2,24/08/2025,10:15,Le Havre,Lens,1-2,Final
2,24/08/2025,13:45,Lille,Monaco,1-0,Final
3,29/08/2025,13:45,Lens,Stade Brestois 29,3-1,Final
3,30/08/2025,10:00,Lorient,Lille,1-7,Final
3,30/08/2025,12:00,Nantes,Auxerre,1-0,Final
3,30/08/2025,14:05,Toulouse,Paris Saint Germain,3-6,Final
3,31/08/2025,08:00,Angers,Rennes,1-1,Final
3,31/08/2025,10:15,Monaco,Strasbourg,3-2,Final
3,31/08/2025,10:15,Le Havre,Nice,3-1,Final
3,31/08/2025,10:15,Paris FC,Metz,3-2,Final
3,31/08/2025,13:45,Lyon,Marseille,1-0,Final
4,12/09/2025,13:45,Marseille,Lorient,4-0,Final
4,13/09/2025,10:00,Nice,Nantes,1-0,Final
4,13/09/2025,14:05,Auxerre,Monaco,1-2,Final
4,14/09/2025,08:00,Lille,Toulouse,2-1,Final
4,14/09/2025,10:15,Paris Saint Germain,Lens,2-0,Final
4,14/09/2025,10:15,Strasbourg,Le Havre,1-0,Final
4,14/09/2025,10:15,Stade Brestois 29,Paris FC,1-2,Final
4,14/09/2025,10:15,Metz,Angers,1-1,Final
4,14/09/2025,13:45,Rennes,Lyon,3-1,Final
5,19/09/2025,13:45,Lyon,Angers,1-0,Final
5,20/09/2025,10:00,Nantes,Rennes,2-2,Final
5,20/09/2025,12:00,Stade Brestois 29,Nice,4-1,Final
5,20/09/2025,14:05,Lens,Lille,3-0,Final
5,21/09/2025,08:00,Paris FC,Strasbourg,2-3,Final
5,21/09/2025,10:15,Monaco,Metz,5-2,Final
5,21/09/2025,10:15,Auxerre,Toulouse,1-0,Final
5,21/09/2025,10:15,Le Havre,Lorient,1-1,Final
5,22/09/2025,13:00,Marseille,Paris Saint Germain,1-0,Final
6,26/09/2025,13:45,Strasbourg,Marseille,1-2,Final
6,27/09/2025,10:00,Lorient,Monaco,3-1,Final
6,27/09/2025,12:00,Toulouse,Nantes,2-2,Final
6,27/09/2025,14:05,Paris Saint Germain,Auxerre,2-0,Final
6,28/09/2025,08:00,Nice,Paris FC,1-1,Final
6,28/09/2025,10:15,Angers,Stade Brestois 29,0-2,Final
6,28/09/2025,10:15,Lille,Lyon,0-1,Final
6,28/09/2025,10:15,Metz,Le Havre,0-0,Final
6,28/09/2025,13:45,Rennes,Lens,0-0,Final
7,03/10/2025,13:45,Paris FC,Lorient,2-0,Final
7,04/10/2025,10:00,Metz,Marseille,0-3,Final
7,04/10/2025,12:00,Stade Brestois 29,Nantes,0-0,Final
7,04/10/2025,14:05,Auxerre,Lens,1-2,Final
7,05/10/2025,08:00,Lyon,Toulouse,1-2,Final
7,05/10/2025,10:15,Monaco,Nice,2-2,Final
7,05/10/2025,10:15,Strasbourg,Angers,5-0,Final
7,05/10/2025,10:15,Le Havre,Rennes,2-2,Final
7,05/10/2025,13:45,Lille,Paris Saint Germain,1-1,Final
8,17/10/2025,13:45,Paris Saint Germain,Strasbourg,3-3,Final
8,18/10/2025,10:00,Nice,Lyon,3-2,Final
8,18/10/2025,12:00,Angers,Monaco,1-1,Final
8,18/10/2025,14:05,Marseille,Le Havre,6-2,Final
8,19/10/2025,08:00,Lens,Paris FC,2-1,Final
8,19/10/2025,10:15,Rennes,Auxerre,2-2,Final
8,19/10/2025,10:15,Toulouse,Metz,4-0,Final
8,19/10/2025,10:15,Lorient,Stade Brestois 29,3-3,Final
8,19/10/2025,13:45,Nantes,Lille,0-2,Final
9,24/10/2025,13:45,Paris FC,Nantes,1-2,Final
9,25/10/2025,10:00,Stade Brestois 29,Paris Saint Germain,0-3,Final
9,25/10/2025,12:00,Monaco,Toulouse,1-0,Final
9,25/10/2025,14:05,Lens,Marseille,2-1,Final
9,26/10/2025,09:00,Lille,Metz,6-1,Final
9,26/10/2025,11:15,Angers,Lorient,2-0,Final
9,26/10/2025,11:15,Rennes,Nice,1-2,Final
9,26/10/2025,11:15,Auxerre,Le Havre,0-1,Final
9,26/10/2025,14:45,Lyon,Strasbourg,2-1,Final
10,29/10/2025,13:00,Nice,Lille,2-0,Final
10,29/10/2025,13:00,Lorient,Paris Saint Germain,1-1,Final
10,29/10/2025,13:00,Le Havre,Stade Brestois 29,1-0,Final
10,29/10/2025,13:00,Metz,Lens,2-0,Final
10,29/10/2025,15:05,Marseille,Angers,2-2,Final
10,29/10/2025,15:05,Nantes,Monaco,3-5,Final
10,29/10/2025,15:05,Strasbourg,Auxerre,3-0,Final
10,29/10/2025,15:05,Toulouse,Rennes,2-2,Final
10,29/10/2025,15:05,Paris FC,Lyon,3-3,Final
11,01/11/2025,11:00,Paris Saint Germain,Nice,1-0,Final
11,01/11/2025,13:00,Monaco,Paris FC,0-1,Final
11,01/11/2025,15:05,Auxerre,Marseille,0-1,Final
11,02/11/2025,09:00,Rennes,Strasbourg,4-1,Final
11,02/11/2025,11:15,Lille,Angers,1-0,Final
11,02/11/2025,11:15,Nantes,Metz,0-2,Final
11,02/11/2025,11:15,Toulouse,Le Havre,0-0,Final
