matchday,date,time,home_team,away_team,result,status
1,09/08/2025,09:00,AS Gabès,Espérance de Tunis,0-0,Final
1,09/08/2025,09:00,Club Africain,AS Marsa,1-0,Final
1,09/08/2025,09:00,JS Kairouan,AS Soliman,1-0,Final
1,09/08/2025,09:00,ES Métlaoui,CA Bizertin,0-0,Final
1,10/08/2025,09:00,US Ben Guerdane,Olympique Béja,2-0,Final
1,10/08/2025,09:00,CS Sfaxien,Espérance Zarzis,1-2,Final
1,10/08/2025,09:00,JS Omrane,Étoile du Sahel,3-1,Final
1,10/08/2025,09:00,US Monastir,Stade Tunisien,1-1,Final
2,15/08/2025,09:00,Espérance de Tunis,US Monastir,1-1,Final
2,15/08/2025,09:00,AS Marsa,US Ben Guerdane,1-0,Final
2,15/08/2025,09:00,Olympique Béja,AS Gabès,0-0,Final
2,15/08/2025,09:00,AS Soliman,ES Métlaoui,0-1,Final
2,16/08/2025,09:00,CA Bizertin,CS Sfaxien,1-1,Final
2,16/08/2025,09:00,Étoile du Sahel,Club Africain,0-1,Final
2,16/08/2025,09:00,Stade Tunisien,JS Kairouan,1-0,Final
2,16/08/2025,09:00,Espérance Zarzis,JS Omrane,1-0,Final
3,21/08/2025,09:00,US Ben Guerdane,Étoile du Sahel,0-0,Final
3,21/08/2025,09:00,JS Kairouan,Espérance de Tunis,0-4,Final
3,21/08/2025,09:00,AS Soliman,Stade Tunisien,0-0,Final
3,22/08/2025,09:00,AS Gabès,AS Marsa,2-1,Final
3,22/08/2025,09:00,Club Africain,Espérance Zarzis,1-2,Final
3,22/08/2025,09:00,JS Omrane,CA Bizertin,1-0,Final
3,22/08/2025,09:00,ES Métlaoui,CS Sfaxien,2-1,Final
3,22/08/2025,09:00,US Monastir,Olympique Béja,2-0,Final
4,27/08/2025,09:00,CA Bizertin,Club Africain,0-2,Final
4,27/08/2025,09:00,AS Marsa,US Monastir,0-0,Final
4,27/08/2025,09:00,Olympique Béja,JS Kairouan,0-0,Final
4,27/08/2025,09:00,Stade Tunisien,ES Métlaoui,2-0,Final
4,28/08/2025,09:00,CS Sfaxien,JS Omrane,2-0,Final
4,28/08/2025,09:00,Espérance de Tunis,AS Soliman,2-0,Final
4,28/08/2025,09:00,Étoile du Sahel,AS Gabès,3-0,Final
4,28/08/2025,09:00,Espérance Zarzis,US Ben Guerdane,1-1,Final
5,11/09/2025,09:00,JS Kairouan,AS Marsa,2-1,Final
5,11/09/2025,09:00,ES Métlaoui,JS Omrane,0-0,Final
5,11/09/2025,09:00,AS Soliman,Olympique Béja,1-0,Final
5,13/09/2025,09:00,US Ben Guerdane,CA Bizertin,0-1,Final
5,13/09/2025,09:00,US Monastir,Étoile du Sahel,1-1,Final
