matchday,date,time,home_team,away_team,result,status
1,25/07/2025,12:00,Újpest FC,Diósgyöri VTK,3-1,Final
1,26/07/2025,12:00,Zalaegerszegi TE,Debreceni VSC,3-3,Final
1,26/07/2025,12:00,MTK Budapest,Ferencvárosi TC,1-1,Final
1,27/07/2025,12:00,Nyíregyháza Spartacus,Kisvárda FC,1-1,Final
1,27/07/2025,12:00,Paksi SE,Győri ETO FC,3-3,Final
1,27/07/2025,12:00,Puskás FC,Kazincbarcikai SC,2-1,Final
2,01/08/2025,12:00,Debreceni VSC,MTK Budapest,1-0,Final
2,02/08/2025,12:00,Diósgyöri VTK,Zalaegerszegi TE,2-2,Final
2,02/08/2025,12:00,Ferencvárosi TC,Kazincbarcikai SC,3-0,Final
2,03/08/2025,12:00,Puskás FC,Nyíregyháza Spartacus,3-2,Final
2,03/08/2025,12:00,Kisvárda FC,Paksi SE,1-5,Final
2,03/08/2025,12:00,Győri ETO FC,Újpest FC,1-1,Final
3,08/08/2025,12:00,Kazincbarcikai SC,Debreceni VSC,1-2,Final
3,09/08/2025,12:00,MTK Budapest,Diósgyöri VTK,5-0,Final
3,09/08/2025,12:00,Nyíregyháza Spartacus,Ferencvárosi TC,1-4,Final
3,10/08/2025,12:00,Zalaegerszegi TE,Győri ETO FC,1-1,Final
3,10/08/2025,12:00,Kisvárda FC,Puskás FC,2-1,Final
3,10/08/2025,12:00,Újpest FC,Paksi SE,1-2,Final
4,15/08/2025,12:00,Újpest FC,Kisvárda FC,0-1,Final
4,16/08/2025,12:00,Diósgyöri VTK,Kazincbarcikai SC,2-2,Final
4,16/08/2025,12:00,Ferencvárosi TC,Puskás FC,1-2,Final
4,17/08/2025,12:00,Debreceni VSC,Nyíregyháza Spartacus,1-2,Final
4,17/08/2025,12:00,MTK Budapest,Győri ETO FC,2-7,Final
4,17/08/2025,12:00,Paksi SE,Zalaegerszegi TE,2-2,Final
5,22/08/2025,12:00,Puskás FC,Debreceni VSC,1-3,Final
5,23/08/2025,12:00,Zalaegerszegi TE,Újpest FC,1-4,Final
5,23/08/2025,12:00,Nyíregyháza Spartacus,Diósgyöri VTK,1-4,Final
5,24/08/2025,12:00,MTK Budapest,Paksi SE,2-3,Final
5,03/12/2025,12:00,Kazincbarcikai SC,Győri ETO FC,1-3,Final
5,04/12/2025,12:00,Kisvárda FC,Ferencvárosi TC,0-1,Final
6,29/08/2025,12:00,Paksi SE,Kazincbarcikai SC,3-0,Final
6,30/08/2025,12:00,Zalaegerszegi TE,Kisvárda FC,1-2,Final
6,30/08/2025,12:00,Diósgyöri VTK,Puskás FC,1-1,Final
6,30/08/2025,12:00,Újpest FC,MTK Budapest,1-2,Final
6,31/08/2025,12:00,Győri ETO FC,Nyíregyháza Spartacus,1-0,Final
6,31/08/2025,12:00,Debreceni VSC,Ferencvárosi TC,0-3,Final
7,19/09/2025,12:00,Ferencvárosi TC,Diósgyöri VTK,2-2,Final
7,20/09/2025,12:00,Nyíregyháza Spartacus,Paksi SE,1-1,Final
7,20/09/2025,12:00,Kazincbarcikai SC,Újpest FC,2-0,Final
7,20/09/2025,12:00,Puskás FC,Győri ETO FC,0-2,Final
7,21/09/2025,12:00,Kisvárda FC,Debreceni VSC,0-1,Final
7,21/09/2025,12:00,MTK Budapest,Zalaegerszegi TE,1-0,Final
8,26/09/2025,12:00,Újpest FC,Nyíregyháza Spartacus,2-2,Final
8,27/09/2025,12:00,Zalaegerszegi TE,Kazincbarcikai SC,5-0,Final
8,27/09/2025,12:00,Diósgyöri VTK,Debreceni VSC,0-0,Final
8,27/09/2025,12:00,Paksi SE,Puskás FC,3-2,Final
8,28/09/2025,12:00,MTK Budapest,Kisvárda FC,4-0,Final
8,28/09/2025,12:00,Győri ETO FC,Ferencvárosi TC,0-2,Final
9,03/10/2025,12:00,Kazincbarcikai SC,MTK Budapest,3-1,Final
9,04/10/2025,12:00,Nyíregyháza Spartacus,Zalaegerszegi TE,3-1,Final
9,04/10/2025,12:00,Puskás FC,Újpest FC,0-0,Final
9,04/10/2025,12:00,Debreceni VSC,Győri ETO FC,1-1,Final
9,05/10/2025,12:00,Ferencvárosi TC,Paksi SE,2-2,Final
9,05/10/2025,12:00,Kisvárda FC,Diósgyöri VTK,1-0,Final
10,18/10/2025,12:00,MTK Budapest,Nyíregyháza Spartacus,5-1,Final
10,18/10/2025,12:00,Paksi SE,Debreceni VSC,1-1,Final
10,18/10/2025,12:00,Győri ETO FC,Diósgyöri VTK,3-1,Final
10,19/10/2025,12:00,Kazincbarcikai SC,Kisvárda FC,0-1,Final
10,19/10/2025,12:00,Zalaegerszegi TE,Puskás FC,0-1,Final
10,19/10/2025,12:00,Újpest FC,Ferencvárosi TC,1-1,Final
11,25/10/2025,12:00,Puskás FC,MTK Budapest,1-1,Final
11,25/10/2025,12:00,Diósgyöri VTK,Paksi SE,2-1,Final
11,25/10/2025,12:00,Nyíregyháza Spartacus,Kazincbarcikai SC,0-1,Final
11,26/10/2025,12:00,Kisvárda FC,Győri ETO FC,3-2,Final
11,26/10/2025,12:00,Debreceni VSC,Újpest FC,5-2,Final
11,26/10/2025,12:00,Ferencvárosi TC,Zalaegerszegi TE,1-2,Final
12,31/10/2025,12:00,Kisvárda FC,Nyíregyháza Spartacus,0-0,Final
12,01/11/2025,12:00,Kazincbarcikai SC,Puskás FC,1-3,Final
12,01/11/2025,12:00,Győri ETO FC,Paksi SE,0-0,Final
12,01/11/2025,12:00,Ferencvárosi TC,MTK Budapest,4-1,Final
12,02/11/2025,12:00,Diósgyöri VTK,Újpest FC,1-3,Final
12,02/11/2025,12:00,Debreceni VSC,Zalaegerszegi TE,2-1,Final
13,08/11/2025,12:00,Újpest FC,Győri ETO FC,0-3,Final
13,08/11/2025,12:00,Zalaegerszegi TE,Diósgyöri VTK,2-0,Final
13,08/11/2025,12:00,Paksi SE,Kisvárda FC,5-3,Final
13,09/11/2025,12:00,MTK Budapest,Debreceni VSC,3-0,Final
13,09/11/2025,12:00,Kazincbarcikai SC,Ferencvárosi TC,1-3,Final
13,09/11/2025,12:00,Nyíregyháza Spartacus,Puskás FC,1-1,Final
