matchday,date,time,home_team,away_team,result,status
1,02/08/2025,09:00,F91 Dudelange,Progrès Niedercorn,4-3,Final
1,03/08/2025,09:00,FC Differdange 03,FC Atert Bissen,1-0,Final
1,03/08/2025,09:00,US Hostert,Victoria Rosport,1-4,Final
1,03/08/2025,09:00,Jeunesse Canach,FC Mamer 32,2-3,Final
1,03/08/2025,09:00,Jeunesse Esch,UN Käerjéng,1-1,Final
1,03/08/2025,09:00,US Mondorf,UNA Strassen,0-1,Final
1,03/08/2025,09:00,FC Rodange 91,RFCU Luxemburg,1-1,Final
1,03/08/2025,09:00,Swift Hesperange,Union Titus Pétange,0-0,Final
2,09/08/2025,09:00,UN Käerjéng,F91 Dudelange,2-3,Final
2,09/08/2025,09:00,Progrès Niedercorn,US Mondorf,1-0,Final
2,10/08/2025,09:00,FC Atert Bissen,Jeunesse Esch,0-0,Final
2,10/08/2025,09:00,US Hostert,FC Rodange 91,0-0,Final
2,10/08/2025,09:00,RFCU Luxemburg,Jeunesse Canach,1-3,Final
2,10/08/2025,09:00,Swift Hesperange,UNA Strassen,4-2,Final
2,10/08/2025,09:00,Union Titus Pétange,Victoria Rosport,1-1,Final
2,03/09/2025,09:00,FC Mamer 32,FC Differdange 03,1-4,Final
3,16/08/2025,09:00,Union Titus Pétange,US Hostert,0-2,Final
3,17/08/2025,09:00,F91 Dudelange,FC Atert Bissen,4-2,Final
3,17/08/2025,09:00,Jeunesse Canach,FC Rodange 91,1-2,Final
3,17/08/2025,09:00,Jeunesse Esch,FC Mamer 32,0-1,Final
3,17/08/2025,09:00,US Mondorf,UN Käerjéng,2-0,Final
3,17/08/2025,09:00,Victoria Rosport,UNA Strassen,2-2,Final
3,17/08/2025,09:00,Swift Hesperange,Progrès Niedercorn,1-4,Final
3,29/10/2025,09:00,FC Differdange 03,RFCU Luxemburg,5-1,Final
4,23/08/2025,09:00,US Hostert,Jeunesse Canach,2-1,Final
4,24/08/2025,09:00,FC Atert Bissen,US Mondorf,0-2,Final
4,24/08/2025,09:00,FC Mamer 32,F91 Dudelange,1-2,Final
4,24/08/2025,09:00,Progrès Niedercorn,Victoria Rosport,0-1,Final
4,24/08/2025,09:00,UN Käerjéng,Swift Hesperange,0-3,Final
4,24/08/2025,09:00,RFCU Luxemburg,Jeunesse Esch,1-1,Final
4,24/08/2025,09:00,UNA Strassen,Union Titus Pétange,3-0,Final
4,26/11/2025,09:00,FC Differdange 03,FC Rodange 91,2-2,Final
5,31/08/2025,09:00,F91 Dudelange,RFCU Luxemburg,1-1,Final
5,31/08/2025,09:00,Jeunesse Esch,FC Rodange 91,4-0,Final
5,31/08/2025,09:00,US Mondorf,FC Mamer 32,3-1,Final
5,31/08/2025,09:00,Swift Hesperange,FC Atert Bissen,1-2,Final
5,31/08/2025,09:00,UNA Strassen,US Hostert,4-0,Final
5,31/08/2025,09:00,Union Titus Pétange,Progrès Niedercorn,1-2,Final
5,31/08/2025,09:00,Victoria Rosport,UN Käerjéng,2-1,Final
5,31/08/2025,09:00,FC Differdange 03,Jeunesse Canach,3-1,Final
6,13/09/2025,09:00,UN Käerjéng,Union Titus Pétange,3-0,Final
6,13/09/2025,09:00,Progrès Niedercorn,UNA Strassen,0-1,Final
6,14/09/2025,09:00,FC Atert Bissen,Victoria Rosport,5-0,Final
6,14/09/2025,09:00,FC Mamer 32,Swift Hesperange,1-2,Final
6,14/09/2025,09:00,US Hostert,FC Differdange 03,0-1,Final
6,14/09/2025,09:00,Jeunesse Canach,Jeunesse Esch,1-0,Final
