matchday,date,time,home_team,away_team,result,status
1,17/07/2026,03:00,Spartak Varna,CSKA 1948 Sofia,2-2,Final
1,17/07/2026,03:00,Levski Sofia,FC Dunav Ruse,2-1,Final
1,18/07/2026,03:00,Septemvri Sofia,Arda Kardzhali,1-1,Final
1,18/07/2026,03:00,PFC Ludogorets Razgrad,Lokomotiv Plovdiv,1-0,Final
1,19/07/2026,03:00,Botev Vratsa,Cherno More Varna,1-1,Final
1,20/07/2026,03:00,Slavia Sofia,CSKA Sofia,0-0,Final
1,21/07/2026,03:00,Botev Plovdiv,Lokomotiv Sofia,1-1,Final
2,24/07/2026,13:15,Arda Kardzhali,Slavia Sofia,,
2,25/07/2026,11:00,CSKA 1948 Sofia,Botev Vratsa,,
2,25/07/2026,13:15,Lokomotiv Sofia,Levski Sofia,,
2,26/07/2026,11:00,Cherno More Varna,Spartak Varna,,
2,26/07/2026,13:15,Lokomotiv Plovdiv,Septemvri Sofia,,
2,27/07/2026,11:00,FC Dunav Ruse,PFC Ludogorets Razgrad,,
2,27/07/2026,13:15,CSKA Sofia,Botev Plovdiv,,
3,31/07/2026,11:00,Slavia Sofia,Lokomotiv Sofia,,
3,31/07/2026,13:15,CSKA 1948 Sofia,Arda Kardzhali,,
3,01/08/2026,11:00,Levski Sofia,Septemvri Sofia,,
3,01/08/2026,13:15,Botev Plovdiv,Cherno More Varna,,
3,02/08/2026,11:00,PFC Ludogorets Razgrad,Botev Vratsa,,
3,02/08/2026,13:15,CSKA Sofia,FC Dunav Ruse,,
3,03/08/2026,13:15,Spartak Varna,Lokomotiv Plovdiv,,
4,08/08/2026,03:00,Botev Plovdiv,Spartak Varna,,
4,08/08/2026,03:00,Botev Vratsa,Slavia Sofia,,
4,08/08/2026,03:00,Cherno More Varna,PFC Ludogorets Razgrad,,
4,08/08/2026,03:00,FC Dunav Ruse,Arda Kardzhali,,
4,08/08/2026,03:00,Levski Sofia,Lokomotiv Plovdiv,,
4,08/08/2026,03:00,Lokomotiv Sofia,CSKA 1948 Sofia,,
4,08/08/2026,03:00,Septemvri Sofia,CSKA Sofia,,
5,15/08/2026,03:00,Arda Kardzhali,Lokomotiv Sofia,,
5,15/08/2026,03:00,CSKA 1948 Sofia,Cherno More Varna,,
5,15/08/2026,03:00,Lokomotiv Plovdiv,FC Dunav Ruse,,
5,15/08/2026,03:00,PFC Ludogorets Razgrad,Botev Plovdiv,,
5,15/08/2026,03:00,Slavia Sofia,Levski Sofia,,
5,15/08/2026,03:00,Spartak Varna,Septemvri Sofia,,
5,15/08/2026,03:00,CSKA Sofia,Botev Vratsa,,
6,22/08/2026,03:00,Botev Vratsa,Botev Plovdiv,,
6,22/08/2026,03:00,Cherno More Varna,FC Dunav Ruse,,
6,22/08/2026,03:00,Levski Sofia,Spartak Varna,,
6,22/08/2026,03:00,Lokomotiv Sofia,CSKA Sofia,,
6,22/08/2026,03:00,Lokomotiv Plovdiv,Arda Kardzhali,,
6,22/08/2026,03:00,PFC Ludogorets Razgrad,Slavia Sofia,,
6,22/08/2026,03:00,Septemvri Sofia,CSKA 1948 Sofia,,
7,29/08/2026,03:00,Arda Kardzhali,Botev Vratsa,,
7,29/08/2026,03:00,Botev Plovdiv,Levski Sofia,,
7,29/08/2026,03:00,CSKA 1948 Sofia,Lokomotiv Plovdiv,,
7,29/08/2026,03:00,FC Dunav Ruse,Lokomotiv Sofia,,
7,29/08/2026,03:00,Slavia Sofia,Septemvri Sofia,,
7,29/08/2026,03:00,Spartak Varna,PFC Ludogorets Razgrad,,
7,29/08/2026,03:00,CSKA Sofia,Cherno More Varna,,
8,05/09/2026,03:00,Arda Kardzhali,Botev Plovdiv,,
8,05/09/2026,03:00,FC Dunav Ruse,Slavia Sofia,,
8,05/09/2026,03:00,Levski Sofia,CSKA 1948 Sofia,,
8,05/09/2026,03:00,Lokomotiv Sofia,PFC Ludogorets Razgrad,,
8,05/09/2026,03:00,Lokomotiv Plovdiv,Cherno More Varna,,
8,05/09/2026,03:00,Septemvri Sofia,Botev Vratsa,,
8,05/09/2026,03:00,Spartak Varna,CSKA Sofia,,
9,12/09/2026,03:00,Botev Plovdiv,Lokomotiv Plovdiv,,
9,12/09/2026,03:00,Botev Vratsa,Levski Sofia,,
9,12/09/2026,03:00,Cherno More Varna,Lokomotiv Sofia,,
9,12/09/2026,03:00,CSKA 1948 Sofia,FC Dunav Ruse,,
9,12/09/2026,03:00,PFC Ludogorets Razgrad,Septemvri Sofia,,
9,12/09/2026,03:00,Slavia Sofia,Spartak Varna,,
9,12/09/2026,03:00,CSKA Sofia,Arda Kardzhali,,
