matchday,date,time,home_team,away_team,result,status
1,31/07/2026,13:45,Barry Town United,Cambrian United,,
1,31/07/2026,13:45,Briton Ferry Llansawel AFC,Ammanford AFC,,
1,31/07/2026,13:45,Colwyn Bay FC,Trefelin BGC,,
1,31/07/2026,13:45,Llandudno FC,Flint Town United,,
1,01/08/2026,08:30,Cardiff Metropolitan,Holywell Town,,
1,01/08/2026,08:30,Haverfordwest County,Airbus UK,,
1,02/08/2026,08:30,Connah's Quay Nomads,Caernarfon Town,,
1,02/08/2026,08:30,Penybont FC,The New Saints,,
2,07/08/2026,13:45,Airbus UK,Cardiff Metropolitan,,
2,07/08/2026,13:45,Ammanford AFC,Colwyn Bay FC,,
2,07/08/2026,13:45,Caernarfon Town,Penybont FC,,
2,07/08/2026,13:45,Cambrian United,Briton Ferry Llansawel AFC,,
2,07/08/2026,13:45,Flint Town United,Barry Town United,,
2,07/08/2026,13:45,Holywell Town,Connah's Quay Nomads,,
2,07/08/2026,13:45,The New Saints,Haverfordwest County,,
2,07/08/2026,13:45,Trefelin BGC,Llandudno FC,,
3,14/08/2026,13:45,Airbus UK,Ammanford AFC,,
3,14/08/2026,13:45,Barry Town United,Cardiff Metropolitan,,
3,14/08/2026,13:45,Caernarfon Town,Colwyn Bay FC,,
3,14/08/2026,13:45,Cambrian United,Flint Town United,,
3,14/08/2026,13:45,Connah's Quay Nomads,Trefelin BGC,,
3,14/08/2026,13:45,Haverfordwest County,Penybont FC,,
3,14/08/2026,13:45,Llandudno FC,Holywell Town,,
3,14/08/2026,13:45,The New Saints,Briton Ferry Llansawel AFC,,
4,21/08/2026,13:45,Ammanford AFC,Connah's Quay Nomads,,
4,21/08/2026,13:45,Cardiff Metropolitan,The New Saints,,
4,21/08/2026,13:45,Colwyn Bay FC,Airbus UK,,
4,21/08/2026,13:45,Flint Town United,Briton Ferry Llansawel AFC,,
4,21/08/2026,13:45,Haverfordwest County,Cambrian United,,
4,21/08/2026,13:45,Holywell Town,Barry Town United,,
4,21/08/2026,13:45,Penybont FC,Llandudno FC,,
4,21/08/2026,13:45,Trefelin BGC,Caernarfon Town,,
5,28/08/2026,03:00,Barry Town United,Airbus UK,,
5,28/08/2026,03:00,Cardiff Metropolitan,Briton Ferry Llansawel AFC,,
5,28/08/2026,03:00,Connah's Quay Nomads,Cambrian United,,
5,28/08/2026,03:00,Holywell Town,Caernarfon Town,,
5,28/08/2026,03:00,Llandudno FC,Haverfordwest County,,
5,28/08/2026,03:00,Penybont FC,Flint Town United,,
5,28/08/2026,03:00,The New Saints,Colwyn Bay FC,,
5,28/08/2026,03:00,Trefelin BGC,Ammanford AFC,,
6,31/08/2026,03:00,Airbus UK,Holywell Town,,
6,31/08/2026,03:00,Ammanford AFC,Cardiff Metropolitan,,
6,31/08/2026,03:00,Briton Ferry Llansawel AFC,Barry Town United,,
6,31/08/2026,03:00,Caernarfon Town,The New Saints,,
6,31/08/2026,03:00,Cambrian United,Penybont FC,,
6,31/08/2026,03:00,Colwyn Bay FC,Llandudno FC,,
6,31/08/2026,03:00,Flint Town United,Connah's Quay Nomads,,
6,31/08/2026,03:00,Haverfordwest County,Trefelin BGC,,
7,04/09/2026,03:00,Briton Ferry Llansawel AFC,Airbus UK,,
7,04/09/2026,03:00,Caernarfon Town,Flint Town United,,
7,04/09/2026,03:00,Cardiff Metropolitan,Cambrian United,,
7,04/09/2026,03:00,Connah's Quay Nomads,Haverfordwest County,,
7,04/09/2026,03:00,Holywell Town,Trefelin BGC,,
7,04/09/2026,03:00,Llandudno FC,Ammanford AFC,,
7,04/09/2026,03:00,Penybont FC,Colwyn Bay FC,,
7,04/09/2026,03:00,The New Saints,Barry Town United,,
8,11/09/2026,03:00,Airbus UK,The New Saints,,
8,11/09/2026,03:00,Ammanford AFC,Caernarfon Town,,
8,11/09/2026,03:00,Barry Town United,Llandudno FC,,
8,11/09/2026,03:00,Cambrian United,Holywell Town,,
8,11/09/2026,03:00,Colwyn Bay FC,Connah's Quay Nomads,,
8,11/09/2026,03:00,Flint Town United,Cardiff Metropolitan,,
8,11/09/2026,03:00,Haverfordwest County,Briton Ferry Llansawel AFC,,
8,11/09/2026,03:00,Trefelin BGC,Penybont FC,,
9,15/09/2026,03:00,Barry Town United,Ammanford AFC,,
9,15/09/2026,03:00,Connah's Quay Nomads,Airbus UK,,
9,15/09/2026,03:00,Holywell Town,Colwyn Bay FC,,
