matchday,date,time,home_team,away_team,result,status
1,24/08/2025,15:30,Chapelton Maroons,Tivoli Gardens,2-1,Final
1,24/08/2025,15:30,Mount Pleasant Academy,Montego Bay United FC,2-2,Final
1,24/08/2025,15:30,Treasure Beach FC,Spanish Town Police FC,2-0,Final
1,24/08/2025,15:30,Molynes United,Waterhouse FC,0-2,Final
1,25/08/2025,15:30,Cavalier FC,Harbour View,0-0,Final
1,26/08/2025,15:30,Dunbeholden FC,Portmore United,0-2,Final
1,26/08/2025,15:30,Racing United,Arnett Gardens,5-1,Final
2,31/08/2025,15:30,Harbour View,Chapelton Maroons,0-2,Final
2,31/08/2025,15:30,Spanish Town Police FC,Dunbeholden FC,0-1,Final
2,31/08/2025,15:30,Waterhouse FC,Racing United,1-2,Final
2,01/09/2025,15:30,Portmore United,Tivoli Gardens,0-0,Final
2,01/09/2025,15:30,Arnett Gardens,Cavalier FC,2-3,Final
2,02/09/2025,15:30,Mount Pleasant Academy,Molynes United,1-1,Final
2,02/09/2025,15:30,Montego Bay United FC,Treasure Beach FC,3-1,Final
3,07/09/2025,15:30,Chapelton Maroons,Portmore United,3-2,Final
3,07/09/2025,15:30,Dunbeholden FC,Montego Bay United FC,1-2,Final
3,07/09/2025,15:30,Harbour View,Arnett Gardens,2-5,Final
3,07/09/2025,15:30,Treasure Beach FC,Molynes United,2-2,Final
3,09/09/2025,15:30,Tivoli Gardens,Spanish Town Police FC,2-1,Final
3,09/09/2025,15:30,Cavalier FC,Waterhouse FC,0-1,Final
3,17/12/2025,15:30,Racing United,Mount Pleasant Academy,1-0,Final
4,14/09/2025,15:30,Spanish Town Police FC,Portmore United,0-1,Final
4,14/09/2025,15:30,Arnett Gardens,Chapelton Maroons,1-0,Final
4,14/09/2025,15:30,Treasure Beach FC,Racing United,2-4,Final
4,14/09/2025,15:30,Mount Pleasant Academy,Cavalier FC,2-1,Final
4,15/09/2025,15:30,Montego Bay United FC,Tivoli Gardens,3-1,Final
4,16/09/2025,15:30,Molynes United,Dunbeholden FC,0-2,Final
4,16/09/2025,15:30,Waterhouse FC,Harbour View,1-2,Final
5,21/09/2025,15:30,Dunbeholden FC,Racing United,0-0,Final
5,21/09/2025,15:30,Tivoli Gardens,Molynes United,1-1,Final
5,21/09/2025,15:30,Cavalier FC,Treasure Beach FC,2-1,Final
5,22/09/2025,15:30,Portmore United,Montego Bay United FC,2-0,Final
5,23/09/2025,15:30,Chapelton Maroons,Spanish Town Police FC,0-0,Final
5,23/09/2025,15:30,Arnett Gardens,Waterhouse FC,2-1,Final
5,01/03/2026,15:30,Mount Pleasant Academy,Harbour View,4-1,Final
6,28/09/2025,15:30,Racing United,Tivoli Gardens,0-0,Final
6,28/09/2025,15:30,Treasure Beach FC,Harbour View,1-1,Final
6,29/09/2025,15:30,Montego Bay United FC,Spanish Town Police FC,4-0,Final
6,30/09/2025,15:30,Molynes United,Portmore United,0-0,Final
6,30/09/2025,15:30,Waterhouse FC,Chapelton Maroons,3-0,Final
6,29/01/2026,15:30,Dunbeholden FC,Cavalier FC,1-0,Final
6,29/01/2026,15:30,Mount Pleasant Academy,Arnett Gardens,1-0,Final
7,05/10/2025,15:30,Chapelton Maroons,Montego Bay United FC,1-2,Final
7,05/10/2025,15:30,Portmore United,Racing United,0-0,Final
7,05/10/2025,15:30,Spanish Town Police FC,Molynes United,2-2,Final
7,05/10/2025,15:30,Tivoli Gardens,Cavalier FC,0-2,Final
7,06/10/2025,15:30,Waterhouse FC,Mount Pleasant Academy,1-1,Final
7,07/10/2025,15:30,Harbour View,Dunbeholden FC,1-0,Final
7,07/10/2025,15:30,Arnett Gardens,Treasure Beach FC,0-1,Final
8,12/10/2025,15:30,Molynes United,Montego Bay United FC,0-2,Final
8,12/10/2025,15:30,Mount Pleasant Academy,Chapelton Maroons,3-1,Final
8,12/10/2025,15:30,Racing United,Spanish Town Police FC,3-0,Final
8,12/10/2025,15:30,Tivoli Gardens,Harbour View,2-1,Final
8,12/10/2025,15:30,Treasure Beach FC,Waterhouse FC,0-0,Final
8,13/10/2025,15:30,Cavalier FC,Portmore United,2-4,Final
8,12/02/2026,15:30,Dunbeholden FC,Arnett Gardens,1-1,Final
9,19/10/2025,15:30,Spanish Town Police FC,Cavalier FC,0-3,Final
9,20/10/2025,15:30,Waterhouse FC,Dunbeholden FC,0-0,Final
9,20/10/2025,15:30,Montego Bay United FC,Racing United,3-1,Final
9,21/10/2025,15:30,Portmore United,Harbour View,4-1,Final
9,21/10/2025,15:30,Arnett Gardens,Tivoli Gardens,1-2,Final
9,11/02/2026,15:30,Chapelton Maroons,Molynes United,1-0,Final
9,11/02/2026,15:30,Mount Pleasant Academy,Treasure Beach FC,0-0,Final
10,07/12/2025,15:30,Dunbeholden FC,Mount Pleasant Academy,0-0,Final
10,07/12/2025,15:30,Harbour View,Spanish Town Police FC,5-2,Final
10,07/12/2025,15:30,Portmore United,Arnett Gardens,1-0,Final
10,07/12/2025,15:30,Racing United,Molynes United,3-2,Final
10,08/12/2025,15:30,Cavalier FC,Montego Bay United FC,3-0,Final
10,09/12/2025,15:30,Tivoli Gardens,Waterhouse FC,2-1,Final
10,01/01/2026,15:30,Treasure Beach FC,Chapelton Maroons,0-1,Final
11,10/12/2025,15:30,Chapelton Maroons,Racing United,0-0,Final
11,10/12/2025,15:30,Spanish Town Police FC,Arnett Gardens,2-10,Final
11,11/12/2025,15:30,Montego Bay United FC,Harbour View,4-4,Final
11,11/12/2025,15:30,Mount Pleasant Academy,Tivoli Gardens,5-0,Final
11,11/12/2025,15:30,Molynes United,Cavalier FC,1-0,Final
11,12/12/2025,15:30,Waterhouse FC,Portmore United,1-2,Final
11,07/01/2026,15:30,Treasure Beach FC,Dunbeholden FC,0-4,Final
12,14/12/2025,15:30,Dunbeholden FC,Chapelton Maroons,0-0,Final
12,14/12/2025,15:30,Harbour View,Molynes United,0-0,Final
12,14/12/2025,15:30,Portmore United,Mount Pleasant Academy,0-2,Final
12,14/12/2025,15:30,Cavalier FC,Racing United,1-4,Final
12,15/12/2025,15:30,Spanish Town Police FC,Waterhouse FC,2-1,Final
