matchday,date,time,home_team,away_team,result,status
1,07/03/2026,03:00,FK Okzhetpes,FK Yelimay,1-1,Final
1,07/03/2026,03:00,FK Altay VKO,FK Kairat,0-1,Final
1,07/03/2026,03:00,FK Aktobe,Tobyl Kostanay,4-1,Final
1,07/03/2026,03:00,FK Ordabasy,Irtysh Pavlodar,2-2,Final
1,08/03/2026,03:00,FK Kyzylzhar,Kaspiy Aktau,2-1,Final
1,08/03/2026,03:00,FK Atyrau,FK Ulytau,0-0,Final
1,08/03/2026,03:00,Kaysar Kyzylorda,FK Zhenis,1-1,Final
1,08/03/2026,03:00,FK Astana,Zhetysu Taldykorgan,4-1,Final
2,16/03/2026,03:00,FK Ulytau,FK Kyzylzhar,1-0,Final
2,16/03/2026,03:00,FK Yelimay,FK Altay VKO,1-1,Final
2,16/03/2026,03:00,Tobyl Kostanay,Zhetysu Taldykorgan,2-2,Final
2,16/03/2026,03:00,Irtysh Pavlodar,FK Atyrau,1-1,Final
2,16/03/2026,03:00,Kaysar Kyzylorda,FK Astana,0-0,Final
2,16/03/2026,03:00,FK Kairat,FK Aktobe,1-0,Final
2,16/03/2026,03:00,FK Zhenis,FK Ordabasy,0-2,Final
2,17/03/2026,03:00,Kaspiy Aktau,FK Okzhetpes,1-3,Final
3,20/03/2026,03:00,FK Kyzylzhar,Irtysh Pavlodar,2-2,Final
3,20/03/2026,03:00,FK Atyrau,FK Zhenis,0-0,Final
3,20/03/2026,03:00,FK Ordabasy,Kaysar Kyzylorda,2-0,Final
3,20/03/2026,03:00,FK Astana,Tobyl Kostanay,2-0,Final
3,21/03/2026,03:00,FK Okzhetpes,FK Ulytau,2-1,Final
3,21/03/2026,03:00,Zhetysu Taldykorgan,FK Kairat,0-0,Final
3,21/03/2026,03:00,FK Aktobe,FK Yelimay,1-4,Final
3,22/03/2026,03:00,FK Altay VKO,Kaspiy Aktau,0-0,Final
4,04/04/2026,03:00,Irtysh Pavlodar,FK Altay VKO,1-0,Final
4,04/04/2026,03:00,FK Yelimay,Tobyl Kostanay,1-0,Final
4,04/04/2026,03:00,Kaysar Kyzylorda,FK Kyzylzhar,0-0,Final
4,04/04/2026,03:00,FK Ordabasy,FK Atyrau,1-1,Final
4,05/04/2026,03:00,FK Ulytau,FK Aktobe,1-1,Final
4,05/04/2026,03:00,Kaspiy Aktau,Zhetysu Taldykorgan,0-1,Final
4,05/04/2026,03:00,FK Kairat,FK Astana,4-0,Final
4,05/04/2026,03:00,FK Zhenis,FK Okzhetpes,1-1,Final
5,11/04/2026,03:00,FK Atyrau,Kaysar Kyzylorda,2-0,Final
5,11/04/2026,03:00,Zhetysu Taldykorgan,FK Yelimay,0-1,Final
5,11/04/2026,03:00,Tobyl Kostanay,FK Kairat,1-1,Final
5,11/04/2026,03:00,FK Astana,FK Ordabasy,1-1,Final
5,12/04/2026,03:00,FK Okzhetpes,Irtysh Pavlodar,2-1,Final
5,12/04/2026,03:00,FK Altay VKO,FK Ulytau,1-2,Final
5,12/04/2026,03:00,FK Kyzylzhar,FK Zhenis,4-0,Final
5,12/04/2026,03:00,FK Aktobe,Kaspiy Aktau,1-0,Final
6,18/04/2026,03:00,Irtysh Pavlodar,Zhetysu Taldykorgan,1-2,Final
6,18/04/2026,03:00,FK Yelimay,FK Astana,2-2,Final
6,18/04/2026,03:00,FK Kairat,Kaspiy Aktau,2-0,Final
6,18/04/2026,03:00,FK Ordabasy,FK Okzhetpes,2-1,Final
6,19/04/2026,03:00,FK Ulytau,Tobyl Kostanay,2-1,Final
6,19/04/2026,03:00,FK Atyrau,FK Kyzylzhar,0-1,Final
6,19/04/2026,03:00,FK Zhenis,FK Aktobe,1-0,Final
6,19/04/2026,03:00,Kaysar Kyzylorda,FK Altay VKO,1-1,Final
7,25/04/2026,03:00,FK Okzhetpes,Kaysar Kyzylorda,1-1,Final
7,25/04/2026,03:00,FK Altay VKO,FK Zhenis,0-0,Final
7,25/04/2026,03:00,FK Kyzylzhar,FK Ordabasy,1-2,Final
7,25/04/2026,03:00,FK Aktobe,Irtysh Pavlodar,1-0,Final
7,26/04/2026,03:00,Zhetysu Taldykorgan,FK Ulytau,2-0,Final
7,26/04/2026,03:00,Tobyl Kostanay,Kaspiy Aktau,2-1,Final
7,26/04/2026,03:00,FK Kairat,FK Yelimay,2-2,Final
7,26/04/2026,03:00,FK Astana,FK Atyrau,2-1,Final
8,02/05/2026,03:00,FK Kyzylzhar,FK Okzhetpes,0-1,Final
8,02/05/2026,03:00,Irtysh Pavlodar,FK Kairat,0-1,Final
8,02/05/2026,03:00,Kaysar Kyzylorda,Zhetysu Taldykorgan,1-1,Final
8,03/05/2026,03:00,FK Ulytau,FK Yelimay,1-0,Final
8,03/05/2026,03:00,FK Atyrau,FK Altay VKO,1-0,Final
8,03/05/2026,03:00,FK Zhenis,Tobyl Kostanay,1-0,Final
8,03/05/2026,03:00,Kaspiy Aktau,FK Astana,1-0,Final
8,03/05/2026,03:00,FK Ordabasy,FK Aktobe,2-0,Final
9,09/05/2026,03:00,FK Okzhetpes,FK Atyrau,0-0,Final
9,09/05/2026,03:00,Zhetysu Taldykorgan,FK Zhenis,2-3,Final
9,09/05/2026,03:00,FK Yelimay,Kaspiy Aktau,0-1,Final
9,09/05/2026,03:00,FK Astana,FK Kyzylzhar,2-1,Final
9,09/05/2026,03:00,Tobyl Kostanay,Irtysh Pavlodar,1-0,Final
9,10/05/2026,03:00,FK Ulytau,FK Kairat,1-1,Final
9,10/05/2026,03:00,FK Altay VKO,FK Ordabasy,0-0,Final
