matchday,date,time,home_team,away_team,result,status
1,08/08/2025,12:00,Wadi Degla SC,Pyramids FC,0-0,Final
1,08/08/2025,12:00,Al Masry Club,Ittihad El Iskandary,3-1,Final
1,08/08/2025,12:00,Ceramica Cleopatra,Zamalek,0-2,Final
1,09/08/2025,12:00,Smouha Sporting Club,Tala'ea El Gaish SC,1-1,Final
1,09/08/2025,12:00,Al Mokawloon,ZED FC,0-2,Final
1,09/08/2025,12:00,Ismaily,PetroJet FC,0-0,Final
1,09/08/2025,12:00,Modern Sport FC,Al Ahly SC,2-2,Final
1,10/08/2025,12:00,Kahrabaa Ismailia,El Gouna,0-1,Final
1,10/08/2025,12:00,National Bank SC,Ghazl Al Mehalla,0-0,Final
1,10/08/2025,12:00,Pharco FC,ENPPI,0-0,Final
2,14/08/2025,12:00,ZED FC,Ceramica Cleopatra,0-0,Final
2,14/08/2025,12:00,Ittihad El Iskandary,Modern Sport FC,1-2,Final
2,14/08/2025,12:00,Pyramids FC,Ismaily,1-0,Final
2,14/08/2025,12:00,Tala'ea El Gaish SC,Al Masry Club,0-3,Final
2,15/08/2025,12:00,PetroJet FC,Kahrabaa Ismailia,2-2,Final
2,15/08/2025,12:00,Al Ahly SC,Pharco FC,4-1,Final
2,15/08/2025,12:00,Haras El Hodood,National Bank SC,1-0,Final
2,16/08/2025,12:00,ENPPI,Wadi Degla SC,1-0,Final
2,16/08/2025,12:00,Ghazl Al Mehalla,Smouha Sporting Club,0-0,Final
2,16/08/2025,12:00,Zamalek,Al Mokawloon,0-0,Final
3,19/08/2025,12:00,Pharco FC,Tala'ea El Gaish SC,0-1,Final
3,19/08/2025,12:00,National Bank SC,Kahrabaa Ismailia,1-1,Final
3,19/08/2025,12:00,Ismaily,Ittihad El Iskandary,0-1,Final
3,19/08/2025,12:00,Al Masry Club,Pyramids FC,2-2,Final
3,20/08/2025,12:00,Ceramica Cleopatra,ENPPI,2-0,Final
3,20/08/2025,12:00,Wadi Degla SC,PetroJet FC,0-1,Final
3,20/08/2025,12:00,El Gouna,Ghazl Al Mehalla,0-0,Final
3,21/08/2025,12:00,Al Mokawloon,Haras El Hodood,0-0,Final
3,21/08/2025,12:00,Smouha Sporting Club,ZED FC,1-1,Final
3,21/08/2025,12:00,Modern Sport FC,Zamalek,1-2,Final
4,24/08/2025,12:00,Ittihad El Iskandary,National Bank SC,0-0,Final
4,24/08/2025,12:00,ENPPI,El Gouna,0-0,Final
4,24/08/2025,12:00,Tala'ea El Gaish SC,Ismaily,0-1,Final
4,25/08/2025,12:00,Ghazl Al Mehalla,Al Ahly SC,0-0,Final
4,25/08/2025,12:00,ZED FC,Wadi Degla SC,1-2,Final
4,25/08/2025,12:00,PetroJet FC,Al Mokawloon,1-0,Final
4,25/08/2025,12:00,Pyramids FC,Modern Sport FC,1-2,Final
4,26/08/2025,12:00,Kahrabaa Ismailia,Smouha Sporting Club,1-2,Final
4,26/08/2025,12:00,Zamalek,Pharco FC,1-0,Final
4,26/08/2025,12:00,Haras El Hodood,Al Masry Club,1-1,Final
5,29/08/2025,12:00,Al Mokawloon,Ceramica Cleopatra,0-1,Final
5,29/08/2025,12:00,Ittihad El Iskandary,ENPPI,0-3,Final
5,29/08/2025,12:00,National Bank SC,Tala'ea El Gaish SC,0-0,Final
5,30/08/2025,12:00,El Gouna,ZED FC,1-1,Final
5,30/08/2025,12:00,Ismaily,Ghazl Al Mehalla,0-3,Final
5,30/08/2025,12:00,Al Ahly SC,Pyramids FC,0-2,Final
5,31/08/2025,12:00,Modern Sport FC,Haras El Hodood,1-0,Final
5,31/08/2025,12:00,Al Masry Club,Kahrabaa Ismailia,4-0,Final
5,31/08/2025,12:00,Smouha Sporting Club,PetroJet FC,0-0,Final
5,31/08/2025,12:00,Wadi Degla SC,Zamalek,2-1,Final
6,12/09/2025,12:00,PetroJet FC,National Bank SC,0-3,Final
6,12/09/2025,12:00,ZED FC,Ismaily,1-0,Final
6,12/09/2025,12:00,Pharco FC,Ittihad El Iskandary,0-0,Final
6,13/09/2025,12:00,Ghazl Al Mehalla,Al Mokawloon,1-1,Final
6,13/09/2025,12:00,Haras El Hodood,El Gouna,2-1,Final
6,13/09/2025,12:00,Ceramica Cleopatra,Smouha Sporting Club,1-0,Final
6,13/09/2025,12:00,Zamalek,Al Masry Club,3-0,Final
6,14/09/2025,12:00,Tala'ea El Gaish SC,Modern Sport FC,1-0,Final
6,14/09/2025,12:00,Kahrabaa Ismailia,Wadi Degla SC,1-4,Final
6,14/09/2025,12:00,ENPPI,Al Ahly SC,1-1,Final
7,17/09/2025,12:00,Al Mokawloon,Pharco FC,1-1,Final
7,17/09/2025,12:00,El Gouna,PetroJet FC,1-1,Final
7,17/09/2025,12:00,Al Masry Club,Ghazl Al Mehalla,2-1,Final
7,18/09/2025,12:00,Ismaily,Zamalek,0-2,Final
7,18/09/2025,12:00,Modern Sport FC,ENPPI,2-2,Final
7,18/09/2025,12:00,Ittihad El Iskandary,Kahrabaa Ismailia,0-1,Final
7,18/09/2025,12:00,Pyramids FC,ZED FC,1-0,Final
7,19/09/2025,12:00,Wadi Degla SC,Tala'ea El Gaish SC,1-0,Final
7,19/09/2025,12:00,Smouha Sporting Club,Haras El Hodood,1-0,Final
7,19/09/2025,12:00,Al Ahly SC,Ceramica Cleopatra,1-0,Final
8,22/09/2025,12:00,Pharco FC,Al Masry Club,0-0,Final
8,22/09/2025,12:00,PetroJet FC,Ghazl Al Mehalla,0-0,Final
8,22/09/2025,12:00,ZED FC,Ittihad El Iskandary,1-0,Final
8,23/09/2025,12:00,Haras El Hodood,Al Ahly SC,2-3,Final
8,23/09/2025,12:00,Zamalek,El Gouna,1-1,Final
8,23/09/2025,12:00,Tala'ea El Gaish SC,Al Mokawloon,0-0,Final
8,24/09/2025,12:00,ENPPI,Ismaily,1-0,Final
8,24/09/2025,12:00,Ceramica Cleopatra,Modern Sport FC,2-0,Final
8,24/09/2025,12:00,National Bank SC,Wadi Degla SC,1-1,Final
8,03/12/2025,12:00,Kahrabaa Ismailia,Pyramids FC,1-2,Final
9,27/09/2025,12:00,Al Mokawloon,Kahrabaa Ismailia,0-1,Final
9,27/09/2025,12:00,ZED FC,Haras El Hodood,0-1,Final
9,27/09/2025,12:00,Al Masry Club,PetroJet FC,2-3,Final
9,27/09/2025,12:00,Pyramids FC,Tala'ea El Gaish SC,4-0,Final
9,28/09/2025,12:00,Modern Sport FC,Pharco FC,1-1,Final
9,28/09/2025,12:00,Wadi Degla SC,Smouha Sporting Club,1-1,Final
9,28/09/2025,12:00,Ghazl Al Mehalla,ENPPI,0-0,Final
9,29/09/2025,12:00,Ismaily,National Bank SC,1-2,Final
9,29/09/2025,12:00,El Gouna,Ceramica Cleopatra,1-1,Final
9,29/09/2025,12:00,Al Ahly SC,Zamalek,2-1,Final
