matchday,date,time,home_team,away_team,result,status
1,01/08/2026,03:00,Golden Arrows,Chippa United,0-0,Final
1,01/08/2026,03:00,Orlando Pirates,Milford FC,2-0,Final
1,01/08/2026,03:00,Stellenbosch FC,AmaZulu FC,0-1,Final
1,01/08/2026,03:00,Sekhukhune United,Durban City FC,1-0,Final
1,01/08/2026,03:00,Kruger United FC,Kaizer Chiefs,1-3,Final
1,02/08/2026,03:00,Richards Bay FC,Polokwane City FC,1-2,Final
1,02/08/2026,03:00,Siwelele FC,TS Galaxy,2-2,Final
1,19/08/2026,03:00,Mamelodi Sundowns,Marumo Gallants,2-0,Final
2,11/08/2026,03:00,Chippa United,Richards Bay FC,1-1,Final
2,11/08/2026,03:00,Marumo Gallants,Kruger United FC,0-0,Final
2,11/08/2026,03:00,Polokwane City FC,Stellenbosch FC,3-3,Final
2,11/08/2026,03:00,TS Galaxy,Mamelodi Sundowns,2-3,Final
2,12/08/2026,03:00,AmaZulu FC,Orlando Pirates,1-1,Final
2,12/08/2026,03:00,Durban City FC,Golden Arrows,0-0,Final
2,12/08/2026,03:00,Kaizer Chiefs,Sekhukhune United,2-0,Final
2,12/08/2026,03:00,Milford FC,Siwelele FC,1-0,Final
3,14/08/2026,03:00,Stellenbosch FC,Marumo Gallants,3-1,Final
3,15/08/2026,03:00,AmaZulu FC,Siwelele FC,2-0,Final
3,15/08/2026,03:00,Kaizer Chiefs,Mamelodi Sundowns,1-1,Final
3,15/08/2026,03:00,Sekhukhune United,Polokwane City FC,2-0,Final
3,15/08/2026,03:00,Durban City FC,Richards Bay FC,1-1,Final
3,15/08/2026,03:00,Milford FC,Kruger United FC,2-1,Final
3,16/08/2026,03:00,Chippa United,Orlando Pirates,0-3,Final
3,16/08/2026,03:00,TS Galaxy,Golden Arrows,0-0,Final
4,25/08/2026,12:30,Kruger United FC,Durban City FC,,
4,25/08/2026,12:30,Marumo Gallants,TS Galaxy,,
4,25/08/2026,12:30,Orlando Pirates,Sekhukhune United,,
4,25/08/2026,12:30,Siwelele FC,Chippa United,,
4,26/08/2026,12:30,Golden Arrows,Stellenbosch FC,,
4,26/08/2026,12:30,Mamelodi Sundowns,AmaZulu FC,,
4,26/08/2026,12:30,Polokwane City FC,Milford FC,,
4,26/08/2026,12:30,Richards Bay FC,Kaizer Chiefs,,
5,01/09/2026,12:30,Durban City FC,Stellenbosch FC,,
5,04/09/2026,12:30,Marumo Gallants,Polokwane City FC,,
5,04/09/2026,12:30,Richards Bay FC,AmaZulu FC,,
5,05/09/2026,08:00,Chippa United,Milford FC,,
5,05/09/2026,08:00,Kruger United FC,Orlando Pirates,,
5,05/09/2026,10:30,Sekhukhune United,TS Galaxy,,
5,05/09/2026,13:00,Kaizer Chiefs,Siwelele FC,,
5,06/09/2026,08:00,Golden Arrows,Mamelodi Sundowns,,
6,11/09/2026,12:30,Stellenbosch FC,Sekhukhune United,,
6,12/09/2026,08:00,AmaZulu FC,Marumo Gallants,,
6,12/09/2026,08:00,Polokwane City FC,Kaizer Chiefs,,
6,12/09/2026,10:30,Chippa United,Mamelodi Sundowns,,
6,13/09/2026,08:00,Milford FC,Richards Bay FC,,
6,13/09/2026,08:00,Siwelele FC,Golden Arrows,,
6,13/09/2026,10:30,TS Galaxy,Kruger United FC,,
6,16/09/2026,12:30,Orlando Pirates,Durban City FC,,
7,09/09/2026,12:30,Mamelodi Sundowns,Siwelele FC,,
7,18/09/2026,12:30,Richards Bay FC,Sekhukhune United,,
7,19/09/2026,08:30,Golden Arrows,Kaizer Chiefs,,
7,19/09/2026,08:30,Milford FC,Durban City FC,,
7,19/09/2026,11:00,Polokwane City FC,AmaZulu FC,,
7,19/09/2026,13:15,Kruger United FC,Stellenbosch FC,,
7,20/09/2026,08:30,Marumo Gallants,Orlando Pirates,,
7,20/09/2026,11:00,TS Galaxy,Chippa United,,
8,16/10/2026,12:30,Durban City FC,AmaZulu FC,,
8,17/10/2026,08:30,Chippa United,Kruger United FC,,
8,17/10/2026,08:30,Golden Arrows,Milford FC,,
8,17/10/2026,08:30,Kaizer Chiefs,Stellenbosch FC,,
8,17/10/2026,11:00,Sekhukhune United,Marumo Gallants,,
8,17/10/2026,13:15,Richards Bay FC,Mamelodi Sundowns,,
8,18/10/2026,08:30,Siwelele FC,Polokwane City FC,,
8,18/10/2026,11:00,Orlando Pirates,TS Galaxy,,
9,30/10/2026,11:30,Marumo Gallants,Siwelele FC,,
9,30/10/2026,11:30,Stellenbosch FC,Chippa United,,
9,31/10/2026,07:30,Orlando Pirates,Kaizer Chiefs,,
9,31/10/2026,10:00,AmaZulu FC,Golden Arrows,,
9,31/10/2026,10:00,Polokwane City FC,TS Galaxy,,
9,31/10/2026,12:15,Kruger United FC,Richards Bay FC,,
9,01/11/2026,07:30,Mamelodi Sundowns,Durban City FC,,
9,01/11/2026,10:00,Milford FC,Sekhukhune United,,
10,04/11/2026,11:30,Chippa United,Sekhukhune United,,
10,04/11/2026,11:30,Golden Arrows,Marumo Gallants,,
10,04/11/2026,11:30,Kaizer Chiefs,AmaZulu FC,,
10,04/11/2026,11:30,Mamelodi Sundowns,Milford FC,,
10,04/11/2026,11:30,Polokwane City FC,Kruger United FC,,
10,04/11/2026,11:30,Richards Bay FC,Stellenbosch FC,,
10,04/11/2026,11:30,Siwelele FC,Orlando Pirates,,
10,04/11/2026,11:30,TS Galaxy,Durban City FC,,
11,27/11/2026,11:30,Durban City FC,Polokwane City FC,,
11,27/11/2026,11:30,Stellenbosch FC,TS Galaxy,,
11,28/11/2026,07:30,AmaZulu FC,Milford FC,,
11,28/11/2026,07:30,Chippa United,Kaizer Chiefs,,
11,28/11/2026,10:00,Orlando Pirates,Golden Arrows,,
11,28/11/2026,12:15,Kruger United FC,Mamelodi Sundowns,,
11,29/11/2026,07:30,Marumo Gallants,Richards Bay FC,,
11,29/11/2026,10:00,Sekhukhune United,Siwelele FC,,
12,04/12/2026,11:30,Marumo Gallants,Chippa United,,
12,05/12/2026,07:30,Golden Arrows,Kruger United FC,,
12,05/12/2026,07:30,Orlando Pirates,Stellenbosch FC,,
12,05/12/2026,10:00,Mamelodi Sundowns,Polokwane City FC,,
12,05/12/2026,10:00,Sekhukhune United,AmaZulu FC,,
12,05/12/2026,12:15,Milford FC,Kaizer Chiefs,,
12,06/12/2026,07:30,Siwelele FC,Durban City FC,,
12,06/12/2026,07:30,TS Galaxy,Richards Bay FC,,
13,15/12/2026,11:30,Chippa United,AmaZulu FC,,
13,15/12/2026,11:30,Durban City FC,Marumo Gallants,,
13,15/12/2026,11:30,Kaizer Chiefs,TS Galaxy,,
13,15/12/2026,11:30,Kruger United FC,Siwelele FC,,
13,15/12/2026,11:30,Mamelodi Sundowns,Sekhukhune United,,
13,15/12/2026,11:30,Stellenbosch FC,Milford FC,,
13,16/12/2026,07:30,Richards Bay FC,Orlando Pirates,,
13,16/12/2026,10:00,Polokwane City FC,Golden Arrows,,
14,18/12/2026,11:30,Stellenbosch FC,Mamelodi Sundowns,,
14,19/12/2026,07:30,Marumo Gallants,Kaizer Chiefs,,
14,19/12/2026,07:30,Sekhukhune United,Golden Arrows,,
14,19/12/2026,10:00,AmaZulu FC,Kruger United FC,,
14,19/12/2026,12:15,Orlando Pirates,Polokwane City FC,,
14,20/12/2026,07:30,Richards Bay FC,Siwelele FC,,
14,20/12/2026,07:30,TS Galaxy,Milford FC,,
14,20/12/2026,10:00,Durban City FC,Chippa United,,
15,08/01/2027,03:00,Milford FC,Marumo Gallants,,
15,09/01/2027,03:00,Kruger United FC,Sekhukhune United,,
15,09/01/2027,03:00,Mamelodi Sundowns,Orlando Pirates,,
15,09/01/2027,03:00,Polokwane City FC,Chippa United,,
15,09/01/2027,03:00,Golden Arrows,Richards Bay FC,,
15,10/01/2027,03:00,AmaZulu FC,TS Galaxy,,
15,10/01/2027,03:00,Siwelele FC,Stellenbosch FC,,
15,10/01/2027,03:00,Kaizer Chiefs,Durban City FC,,
16,15/01/2027,03:00,Richards Bay FC,Durban City FC,,
16,16/01/2027,03:00,Chippa United,Golden Arrows,,
16,16/01/2027,03:00,Kruger United FC,Marumo Gallants,,
16,16/01/2027,03:00,Orlando Pirates,AmaZulu FC,,
16,16/01/2027,03:00,Stellenbosch FC,Polokwane City FC,,
16,16/01/2027,03:00,Milford FC,Mamelodi Sundowns,,
16,17/01/2027,03:00,Sekhukhune United,Kaizer Chiefs,,
16,17/01/2027,03:00,TS Galaxy,Siwelele FC,,
17,22/01/2027,03:00,Marumo Gallants,Sekhukhune United,,
17,22/01/2027,03:00,Orlando Pirates,Kruger United FC,,
17,23/01/2027,03:00,AmaZulu FC,Stellenbosch FC,,
17,23/01/2027,03:00,Golden Arrows,Siwelele FC,,
17,23/01/2027,03:00,Kaizer Chiefs,Chippa United,,
17,23/01/2027,03:00,Mamelodi Sundowns,Richards Bay FC,,
17,23/01/2027,03:00,Durban City FC,Milford FC,,
17,24/01/2027,03:00,TS Galaxy,Polokwane City FC,,
18,05/02/2027,03:00,Durban City FC,TS Galaxy,,
18,06/02/2027,03:00,Mamelodi Sundowns,Kaizer Chiefs,,
18,06/02/2027,03:00,Polokwane City FC,Marumo Gallants,,
18,06/02/2027,03:00,Stellenbosch FC,Kruger United FC,,
18,06/02/2027,03:00,Milford FC,AmaZulu FC,,
18,07/02/2027,03:00,Richards Bay FC,Chippa United,,
18,07/02/2027,03:00,Siwelele FC,Sekhukhune United,,
18,07/02/2027,03:00,Golden Arrows,Orlando Pirates,,
19,12/02/2027,03:00,Stellenbosch FC,Richards Bay FC,,
19,13/02/2027,03:00,Chippa United,TS Galaxy,,
19,13/02/2027,03:00,Kruger United FC,Polokwane City FC,,
19,13/02/2027,03:00,Orlando Pirates,Siwelele FC,,
19,13/02/2027,03:00,Sekhukhune United,Mamelodi Sundowns,,
19,13/02/2027,03:00,Milford FC,Golden Arrows,,
19,14/02/2027,03:00,AmaZulu FC,Kaizer Chiefs,,
19,14/02/2027,03:00,Marumo Gallants,Durban City FC,,
20,26/02/2027,03:00,Durban City FC,Orlando Pirates,,
20,26/02/2027,03:00,Richards Bay FC,Kruger United FC,,
20,27/02/2027,03:00,Golden Arrows,AmaZulu FC,,
20,27/02/2027,03:00,Kaizer Chiefs,Polokwane City FC,,
20,27/02/2027,03:00,Mamelodi Sundowns,Stellenbosch FC,,
20,27/02/2027,03:00,Sekhukhune United,Chippa United,,
20,28/02/2027,03:00,TS Galaxy,Marumo Gallants,,
20,28/02/2027,03:00,Siwelele FC,Milford FC,,
21,05/03/2027,03:00,Richards Bay FC,Marumo Gallants,,
21,06/03/2027,03:00,Kruger United FC,Milford FC,,
21,06/03/2027,03:00,Orlando Pirates,Chippa United,,
21,06/03/2027,03:00,Polokwane City FC,Sekhukhune United,,
21,06/03/2027,03:00,Mamelodi Sundowns,Golden Arrows,,
21,06/03/2027,03:00,Stellenbosch FC,Siwelele FC,,
21,07/03/2027,03:00,TS Galaxy,Kaizer Chiefs,,
21,07/03/2027,03:00,AmaZulu FC,Durban City FC,,
22,12/03/2027,03:00,AmaZulu FC,Polokwane City FC,,
22,13/03/2027,03:00,Kaizer Chiefs,Orlando Pirates,,
22,13/03/2027,03:00,Chippa United,Durban City FC,,
22,13/03/2027,03:00,Sekhukhune United,Stellenbosch FC,,
22,13/03/2027,03:00,Kruger United FC,Golden Arrows,,
22,13/03/2027,03:00,Milford FC,TS Galaxy,,
22,14/03/2027,03:00,Siwelele FC,Richards Bay FC,,
22,14/03/2027,03:00,Marumo Gallants,Mamelodi Sundowns,,
23,16/03/2027,03:00,Milford FC,Polokwane City FC,,
23,16/03/2027,03:00,Sekhukhune United,Kruger United FC,,
23,16/03/2027,03:00,Stellenbosch FC,Kaizer Chiefs,,
23,17/03/2027,03:00,Chippa United,Marumo Gallants,,
23,17/03/2027,03:00,Durban City FC,Mamelodi Sundowns,,
23,17/03/2027,03:00,Golden Arrows,TS Galaxy,,
23,17/03/2027,03:00,Orlando Pirates,Richards Bay FC,,
23,17/03/2027,03:00,Siwelele FC,AmaZulu FC,,
24,09/04/2027,03:00,Durban City FC,Sekhukhune United,,
24,10/04/2027,03:00,AmaZulu FC,Chippa United,,
24,10/04/2027,03:00,Kaizer Chiefs,Milford FC,,
24,10/04/2027,03:00,Polokwane City FC,Siwelele FC,,
24,10/04/2027,03:00,Mamelodi Sundowns,Kruger United FC,,
24,10/04/2027,03:00,Richards Bay FC,Golden Arrows,,
24,11/04/2027,03:00,TS Galaxy,Orlando Pirates,,
24,11/04/2027,03:00,Marumo Gallants,Stellenbosch FC,,
25,16/04/2027,03:00,Stellenbosch FC,Golden Arrows,,
25,17/04/2027,03:00,AmaZulu FC,Richards Bay FC,,
25,17/04/2027,03:00,Kaizer Chiefs,Marumo Gallants,,
25,17/04/2027,03:00,Kruger United FC,TS Galaxy,,
25,17/04/2027,03:00,Sekhukhune United,Orlando Pirates,,
25,17/04/2027,03:00,Milford FC,Chippa United,,
25,18/04/2027,03:00,Polokwane City FC,Durban City FC,,
25,18/04/2027,03:00,Siwelele FC,Mamelodi Sundowns,,
26,23/04/2027,03:00,Durban City FC,Kaizer Chiefs,,
26,24/04/2027,03:00,Chippa United,Polokwane City FC,,
26,24/04/2027,03:00,Marumo Gallants,AmaZulu FC,,
26,24/04/2027,03:00,Orlando Pirates,Mamelodi Sundowns,,
26,24/04/2027,03:00,Richards Bay FC,Milford FC,,
26,24/04/2027,03:00,TS Galaxy,Stellenbosch FC,,
26,24/04/2027,03:00,Golden Arrows,Sekhukhune United,,
26,25/04/2027,03:00,Siwelele FC,Kruger United FC,,
27,27/04/2027,03:00,AmaZulu FC,Sekhukhune United,,
27,27/04/2027,03:00,Marumo Gallants,Milford FC,,
27,27/04/2027,03:00,Stellenbosch FC,Orlando Pirates,,
27,28/04/2027,03:00,Durban City FC,Siwelele FC,,
27,28/04/2027,03:00,Kaizer Chiefs,Golden Arrows,,
27,28/04/2027,03:00,Kruger United FC,Chippa United,,
27,28/04/2027,03:00,Mamelodi Sundowns,TS Galaxy,,
27,28/04/2027,03:00,Polokwane City FC,Richards Bay FC,,
28,08/05/2027,03:00,Chippa United,Stellenbosch FC,,
28,08/05/2027,03:00,Golden Arrows,Durban City FC,,
