matchday,date,time,home_team,away_team,result,status
1,31/07/2026,19:00,Dundee United,Rangers,,
1,01/08/2026,14:00,Falkirk,St. Mirren,,
1,01/08/2026,16:30,Aberdeen,Heart of Midlothian,,
1,02/08/2026,13:00,St. Johnstone,Kilmarnock,,
1,02/08/2026,15:30,Hibernian,Motherwell,,
1,03/08/2026,18:30,Celtic,Dundee,,
2,08/08/2026,14:00,Dundee,Aberdeen,,
2,08/08/2026,14:00,Heart of Midlothian,Dundee United,,
2,08/08/2026,14:00,Motherwell,Falkirk,,
2,08/08/2026,14:00,St. Mirren,St. Johnstone,,
2,09/08/2026,12:30,Kilmarnock,Celtic,,
2,09/08/2026,15:00,Rangers,Hibernian,,
3,22/08/2026,14:00,Dundee United,Dundee,,
3,22/08/2026,14:00,Falkirk,Heart of Midlothian,,
3,22/08/2026,14:00,Hibernian,Kilmarnock,,
3,22/08/2026,14:00,Motherwell,Aberdeen,,
3,22/08/2026,14:00,Rangers,St. Mirren,,
3,22/08/2026,14:00,St. Johnstone,Celtic,,
4,29/08/2026,14:00,Aberdeen,Rangers,,
4,29/08/2026,14:00,Celtic,Falkirk,,
4,29/08/2026,14:00,Dundee,Hibernian,,
4,29/08/2026,14:00,Heart of Midlothian,St. Johnstone,,
4,29/08/2026,14:00,Kilmarnock,Dundee United,,
4,29/08/2026,14:00,St. Mirren,Motherwell,,
5,02/09/2026,18:45,Celtic,Aberdeen,,
5,02/09/2026,18:45,Dundee,St. Johnstone,,
5,02/09/2026,18:45,Falkirk,Rangers,,
5,02/09/2026,18:45,Hibernian,Heart of Midlothian,,
5,02/09/2026,18:45,Kilmarnock,St. Mirren,,
5,02/09/2026,18:45,Motherwell,Dundee United,,
6,05/09/2026,14:00,Aberdeen,Kilmarnock,,
6,05/09/2026,14:00,Dundee United,Falkirk,,
6,05/09/2026,14:00,Heart of Midlothian,Dundee,,
6,05/09/2026,14:00,Rangers,Motherwell,,
6,05/09/2026,14:00,St. Johnstone,Hibernian,,
6,05/09/2026,14:00,St. Mirren,Celtic,,
7,19/09/2026,14:00,Dundee,Motherwell,,
7,19/09/2026,14:00,Hibernian,Aberdeen,,
7,19/09/2026,14:00,Kilmarnock,Heart of Midlothian,,
7,19/09/2026,14:00,St. Johnstone,Falkirk,,
7,19/09/2026,14:00,St. Mirren,Dundee United,,
7,20/09/2026,11:00,Celtic,Rangers,,
8,10/10/2026,14:00,Aberdeen,St. Johnstone,,
8,10/10/2026,14:00,Dundee United,Hibernian,,
8,10/10/2026,14:00,Falkirk,Dundee,,
8,10/10/2026,14:00,Heart of Midlothian,St. Mirren,,
8,10/10/2026,14:00,Motherwell,Celtic,,
8,10/10/2026,14:00,Rangers,Kilmarnock,,
9,17/10/2026,14:00,Aberdeen,St. Mirren,,
9,17/10/2026,14:00,Celtic,Heart of Midlothian,,
9,17/10/2026,14:00,Dundee,Rangers,,
9,17/10/2026,14:00,Hibernian,Falkirk,,
9,17/10/2026,14:00,Kilmarnock,Motherwell,,
9,17/10/2026,14:00,St. Johnstone,Dundee United,,
10,24/10/2026,14:00,Dundee United,Aberdeen,,
10,24/10/2026,14:00,Falkirk,Kilmarnock,,
10,24/10/2026,14:00,Hibernian,Celtic,,
10,24/10/2026,14:00,Motherwell,Heart of Midlothian,,
10,24/10/2026,14:00,Rangers,St. Johnstone,,
10,24/10/2026,14:00,St. Mirren,Dundee,,
11,28/10/2026,19:45,Aberdeen,Falkirk,,
11,28/10/2026,19:45,Celtic,Dundee United,,
11,28/10/2026,19:45,Dundee,Kilmarnock,,
11,28/10/2026,19:45,Heart of Midlothian,Rangers,,
11,28/10/2026,19:45,St. Johnstone,Motherwell,,
11,28/10/2026,19:45,St. Mirren,Hibernian,,
12,31/10/2026,15:00,Dundee United,Heart of Midlothian,,
12,31/10/2026,15:00,Falkirk,Celtic,,
12,31/10/2026,15:00,Hibernian,Dundee,,
12,31/10/2026,15:00,Kilmarnock,St. Johnstone,,
12,31/10/2026,15:00,Motherwell,St. Mirren,,
12,31/10/2026,15:00,Rangers,Aberdeen,,
13,07/11/2026,15:00,Aberdeen,Hibernian,,
13,07/11/2026,15:00,Celtic,Kilmarnock,,
13,07/11/2026,15:00,Dundee United,Motherwell,,
13,07/11/2026,15:00,St. Johnstone,Dundee,,
13,07/11/2026,15:00,St. Mirren,Rangers,,
13,08/11/2026,15:00,Heart of Midlothian,Falkirk,,
14,21/11/2026,15:00,Celtic,St. Mirren,,
14,21/11/2026,15:00,Dundee,Heart of Midlothian,,
14,21/11/2026,15:00,Falkirk,St. Johnstone,,
14,21/11/2026,15:00,Hibernian,Dundee United,,
