matchday,date,time,home_team,away_team,result,status
1,31/07/2026,03:00,Zorya Lugansk,Kolos Kovalivka,2-0,Final
1,01/08/2026,03:00,Kryvbas Kryvyi Rih,Karpaty Lviv,1-4,Final
1,01/08/2026,03:00,FC Kharkiv,NK Veres,1-0,Final
1,02/08/2026,03:00,Chernomorets Odessa,Polissya Zhytomyr,1-2,Final
1,02/08/2026,03:00,Epitsentr Kamianets-Podilskyi,FK Obolon,3-0,Final
1,03/08/2026,03:00,FK Bukovina,FC LNZ Cherkasy,0-0,Final
1,03/08/2026,03:00,Shajtar Donetsk,FC Kudrivka,5-1,Final
1,02/12/2026,10:00,Dynamo Kyiv,Livyi Bereh,,
2,08/08/2026,05:00,Chernomorets Odessa,Kolos Kovalivka,,
2,08/08/2026,07:30,Livyi Bereh,FC Kudrivka,,
2,08/08/2026,10:00,FK Bukovina,FK Obolon,,
2,09/08/2026,05:00,Zorya Lugansk,Kryvbas Kryvyi Rih,,
2,09/08/2026,07:30,Epitsentr Kamianets-Podilskyi,Shajtar Donetsk,,
2,09/08/2026,10:00,NK Veres,Dynamo Kyiv,,
2,10/08/2026,07:30,Polissya Zhytomyr,FC Kharkiv,,
2,10/08/2026,10:00,Karpaty Lviv,FC LNZ Cherkasy,,
3,14/08/2026,10:00,Epitsentr Kamianets-Podilskyi,NK Veres,,
3,15/08/2026,05:00,Kryvbas Kryvyi Rih,Livyi Bereh,,
3,15/08/2026,07:30,FC Kudrivka,FK Obolon,,
3,15/08/2026,10:00,Karpaty Lviv,FK Bukovina,,
3,16/08/2026,05:00,FC LNZ Cherkasy,Chernomorets Odessa,,
3,16/08/2026,07:30,FC Kharkiv,Shajtar Donetsk,,
3,16/08/2026,10:00,Dynamo Kyiv,Kolos Kovalivka,,
3,17/08/2026,10:00,Polissya Zhytomyr,Zorya Lugansk,,
4,29/08/2026,03:00,FK Bukovina,Dynamo Kyiv,,
4,29/08/2026,03:00,Kolos Kovalivka,FK Obolon,,
4,29/08/2026,03:00,FC Kudrivka,Epitsentr Kamianets-Podilskyi,,
4,29/08/2026,03:00,Livyi Bereh,Karpaty Lviv,,
4,29/08/2026,03:00,FC LNZ Cherkasy,NK Veres,,
4,29/08/2026,03:00,Shajtar Donetsk,Polissya Zhytomyr,,
4,29/08/2026,03:00,Zorya Lugansk,FC Kharkiv,,
4,29/08/2026,03:00,Chernomorets Odessa,Kryvbas Kryvyi Rih,,
5,05/09/2026,03:00,Dynamo Kyiv,FC LNZ Cherkasy,,
5,05/09/2026,03:00,Epitsentr Kamianets-Podilskyi,FK Bukovina,,
5,05/09/2026,03:00,FC Kharkiv,FK Obolon,,
5,05/09/2026,03:00,Karpaty Lviv,Shajtar Donetsk,,
5,05/09/2026,03:00,Kryvbas Kryvyi Rih,Kolos Kovalivka,,
5,05/09/2026,03:00,NK Veres,Zorya Lugansk,,
5,05/09/2026,03:00,Polissya Zhytomyr,FC Kudrivka,,
5,05/09/2026,03:00,Chernomorets Odessa,Livyi Bereh,,
6,12/09/2026,03:00,FK Bukovina,Zorya Lugansk,,
6,12/09/2026,03:00,Dynamo Kyiv,Epitsentr Kamianets-Podilskyi,,
6,12/09/2026,03:00,Kolos Kovalivka,Karpaty Lviv,,
6,12/09/2026,03:00,Kryvbas Kryvyi Rih,FC Kharkiv,,
6,12/09/2026,03:00,Livyi Bereh,Polissya Zhytomyr,,
6,12/09/2026,03:00,FC LNZ Cherkasy,FK Obolon,,
6,12/09/2026,03:00,NK Veres,FC Kudrivka,,
6,12/09/2026,03:00,Shajtar Donetsk,Chernomorets Odessa,,
7,19/09/2026,03:00,Epitsentr Kamianets-Podilskyi,Livyi Bereh,,
7,19/09/2026,03:00,FC Kharkiv,FK Bukovina,,
7,19/09/2026,03:00,Karpaty Lviv,NK Veres,,
7,19/09/2026,03:00,FC Kudrivka,Kolos Kovalivka,,
7,19/09/2026,03:00,Polissya Zhytomyr,Kryvbas Kryvyi Rih,,
7,19/09/2026,03:00,Shajtar Donetsk,FC LNZ Cherkasy,,
7,19/09/2026,03:00,Zorya Lugansk,Dynamo Kyiv,,
7,19/09/2026,03:00,Chernomorets Odessa,FK Obolon,,
8,10/10/2026,03:00,FK Bukovina,Polissya Zhytomyr,,
8,10/10/2026,03:00,Dynamo Kyiv,Karpaty Lviv,,
8,10/10/2026,03:00,Kolos Kovalivka,Epitsentr Kamianets-Podilskyi,,
8,10/10/2026,03:00,Livyi Bereh,Zorya Lugansk,,
8,10/10/2026,03:00,FC LNZ Cherkasy,FC Kudrivka,,
8,10/10/2026,03:00,NK Veres,Shajtar Donetsk,,
8,10/10/2026,03:00,FK Obolon,Kryvbas Kryvyi Rih,,
8,10/10/2026,03:00,Chernomorets Odessa,FC Kharkiv,,
9,17/10/2026,03:00,FC Kharkiv,Livyi Bereh,,
9,17/10/2026,03:00,Karpaty Lviv,Epitsentr Kamianets-Podilskyi,,
9,17/10/2026,03:00,Kryvbas Kryvyi Rih,FC LNZ Cherkasy,,
9,17/10/2026,03:00,FC Kudrivka,FK Bukovina,,
9,17/10/2026,03:00,FK Obolon,NK Veres,,
9,17/10/2026,03:00,Polissya Zhytomyr,Dynamo Kyiv,,
9,17/10/2026,03:00,Shajtar Donetsk,Kolos Kovalivka,,
9,17/10/2026,03:00,Zorya Lugansk,Chernomorets Odessa,,
10,24/10/2026,03:00,FK Bukovina,Kryvbas Kryvyi Rih,,
10,24/10/2026,03:00,Dynamo Kyiv,FC Kudrivka,,
10,24/10/2026,03:00,Epitsentr Kamianets-Podilskyi,FC Kharkiv,,
10,24/10/2026,03:00,Livyi Bereh,FC LNZ Cherkasy,,
10,24/10/2026,03:00,NK Veres,Kolos Kovalivka,,
10,24/10/2026,03:00,Polissya Zhytomyr,FK Obolon,,
10,24/10/2026,03:00,Shajtar Donetsk,Zorya Lugansk,,
