matchday,date,time,home_team,away_team,result,status
1,14/08/2026,03:00,Araz-Naxçıvan PFK,İmişli FK,,
1,14/08/2026,03:00,Kapaz PFK,Sabah FK,,
1,14/08/2026,03:00,Turan Tovuz,Gabala FK,,
1,14/08/2026,03:00,Qarabağ FK,Şamaxı FK,,
1,14/08/2026,03:00,Sumgayıt FK,Neftçi PFK,,
1,14/08/2026,03:00,Zira FK,Shafa FK,,
2,22/08/2026,10:00,Neftçi PFK,Araz-Naxçıvan PFK,,
2,22/08/2026,10:00,Turan Tovuz,Şamaxı FK,,
2,22/08/2026,10:00,Gabala FK,Shafa FK,,
2,22/08/2026,10:00,Qarabağ FK,Kapaz PFK,,
2,22/08/2026,10:00,Sabah FK,Sumgayıt FK,,
2,22/08/2026,10:00,Zira FK,İmişli FK,,
3,29/08/2026,10:00,Araz-Naxçıvan PFK,Sabah FK,,
3,29/08/2026,10:00,Kapaz PFK,Turan Tovuz,,
3,29/08/2026,10:00,Gabala FK,Şamaxı FK,,
3,29/08/2026,10:00,Shafa FK,İmişli FK,,
3,29/08/2026,10:00,Sumgayıt FK,Qarabağ FK,,
3,29/08/2026,10:00,Zira FK,Neftçi PFK,,
4,05/09/2026,10:00,Kapaz PFK,Şamaxı FK,,
4,05/09/2026,10:00,Neftçi PFK,Shafa FK,,
4,05/09/2026,10:00,Turan Tovuz,Sumgayıt FK,,
4,05/09/2026,10:00,Gabala FK,İmişli FK,,
4,05/09/2026,10:00,Qarabağ FK,Araz-Naxçıvan PFK,,
4,05/09/2026,10:00,Sabah FK,Zira FK,,
5,12/09/2026,10:00,Araz-Naxçıvan PFK,Turan Tovuz,,
5,12/09/2026,10:00,Kapaz PFK,Gabala FK,,
5,12/09/2026,10:00,İmişli FK,Neftçi PFK,,
5,12/09/2026,10:00,Shafa FK,Sabah FK,,
5,12/09/2026,10:00,Sumgayıt FK,Şamaxı FK,,
5,12/09/2026,10:00,Zira FK,Qarabağ FK,,
6,19/09/2026,10:00,Kapaz PFK,Sumgayıt FK,,
6,19/09/2026,10:00,Turan Tovuz,Zira FK,,
6,19/09/2026,10:00,Gabala FK,Neftçi PFK,,
6,19/09/2026,10:00,Qarabağ FK,Shafa FK,,
6,19/09/2026,10:00,Sabah FK,İmişli FK,,
6,19/09/2026,10:00,Şamaxı FK,Araz-Naxçıvan PFK,,
7,10/10/2026,10:00,Araz-Naxçıvan PFK,Kapaz PFK,,
7,10/10/2026,10:00,İmişli FK,Qarabağ FK,,
7,10/10/2026,10:00,Neftçi PFK,Sabah FK,,
7,10/10/2026,10:00,Shafa FK,Turan Tovuz,,
7,10/10/2026,10:00,Sumgayıt FK,Gabala FK,,
7,10/10/2026,10:00,Zira FK,Şamaxı FK,,
8,17/10/2026,10:00,Kapaz PFK,Zira FK,,
8,17/10/2026,10:00,Turan Tovuz,İmişli FK,,
8,17/10/2026,10:00,Gabala FK,Sabah FK,,
8,17/10/2026,10:00,Qarabağ FK,Neftçi PFK,,
8,17/10/2026,10:00,Şamaxı FK,Shafa FK,,
8,17/10/2026,10:00,Sumgayıt FK,Araz-Naxçıvan PFK,,
9,24/10/2026,10:00,Araz-Naxçıvan PFK,Gabala FK,,
9,24/10/2026,10:00,İmişli FK,Şamaxı FK,,
9,24/10/2026,10:00,Neftçi PFK,Turan Tovuz,,
9,24/10/2026,10:00,Sabah FK,Qarabağ FK,,
9,24/10/2026,10:00,Shafa FK,Kapaz PFK,,
9,24/10/2026,10:00,Zira FK,Sumgayıt FK,,
10,31/10/2026,10:00,Araz-Naxçıvan PFK,Zira FK,,
10,31/10/2026,10:00,Kapaz PFK,İmişli FK,,
10,31/10/2026,10:00,Turan Tovuz,Sabah FK,,
10,31/10/2026,10:00,Gabala FK,Qarabağ FK,,
10,31/10/2026,10:00,Şamaxı FK,Neftçi PFK,,
10,31/10/2026,10:00,Sumgayıt FK,Shafa FK,,
11,07/11/2026,10:00,İmişli FK,Sumgayıt FK,,
11,07/11/2026,10:00,Neftçi PFK,Kapaz PFK,,
11,07/11/2026,10:00,Qarabağ FK,Turan Tovuz,,
11,07/11/2026,10:00,Sabah FK,Şamaxı FK,,
11,07/11/2026,10:00,Shafa FK,Araz-Naxçıvan PFK,,
11,07/11/2026,10:00,Zira FK,Gabala FK,,
12,21/11/2026,10:00,Araz-Naxçıvan PFK,Neftçi PFK,,
12,21/11/2026,10:00,Kapaz PFK,Qarabağ FK,,
12,21/11/2026,10:00,İmişli FK,Zira FK,,
12,21/11/2026,10:00,Shafa FK,Gabala FK,,
12,21/11/2026,10:00,Şamaxı FK,Turan Tovuz,,
12,21/11/2026,10:00,Sumgayıt FK,Sabah FK,,
13,28/11/2026,10:00,İmişli FK,Shafa FK,,
13,28/11/2026,10:00,Neftçi PFK,Zira FK,,
13,28/11/2026,10:00,Turan Tovuz,Kapaz PFK,,
13,28/11/2026,10:00,Qarabağ FK,Sumgayıt FK,,
13,28/11/2026,10:00,Sabah FK,Araz-Naxçıvan PFK,,
13,28/11/2026,10:00,Şamaxı FK,Gabala FK,,
14,05/12/2026,10:00,Araz-Naxçıvan PFK,Qarabağ FK,,
14,05/12/2026,10:00,İmişli FK,Gabala FK,,
14,05/12/2026,10:00,Shafa FK,Neftçi PFK,,
14,05/12/2026,10:00,Şamaxı FK,Kapaz PFK,,
14,05/12/2026,10:00,Sumgayıt FK,Turan Tovuz,,
14,05/12/2026,10:00,Zira FK,Sabah FK,,
15,13/12/2026,10:00,Neftçi PFK,İmişli FK,,
15,13/12/2026,10:00,Turan Tovuz,Araz-Naxçıvan PFK,,
15,13/12/2026,10:00,Gabala FK,Kapaz PFK,,
15,13/12/2026,10:00,Qarabağ FK,Zira FK,,
15,13/12/2026,10:00,Sabah FK,Shafa FK,,
15,13/12/2026,10:00,Şamaxı FK,Sumgayıt FK,,
16,19/12/2026,10:00,Araz-Naxçıvan PFK,Şamaxı FK,,
16,19/12/2026,10:00,İmişli FK,Sabah FK,,
16,19/12/2026,10:00,Neftçi PFK,Gabala FK,,
16,19/12/2026,10:00,Shafa FK,Qarabağ FK,,
16,19/12/2026,10:00,Sumgayıt FK,Kapaz PFK,,
16,19/12/2026,10:00,Zira FK,Turan Tovuz,,
17,23/01/2027,03:00,Kapaz PFK,Araz-Naxçıvan PFK,,
17,23/01/2027,03:00,Turan Tovuz,Shafa FK,,
17,23/01/2027,03:00,Gabala FK,Sumgayıt FK,,
17,23/01/2027,03:00,Qarabağ FK,İmişli FK,,
17,23/01/2027,03:00,Sabah FK,Neftçi PFK,,
17,23/01/2027,03:00,Şamaxı FK,Zira FK,,
18,30/01/2027,03:00,Araz-Naxçıvan PFK,Sumgayıt FK,,
18,30/01/2027,03:00,İmişli FK,Turan Tovuz,,
18,30/01/2027,03:00,Neftçi PFK,Qarabağ FK,,
18,30/01/2027,03:00,Sabah FK,Gabala FK,,
18,30/01/2027,03:00,Shafa FK,Şamaxı FK,,
18,30/01/2027,03:00,Zira FK,Kapaz PFK,,
19,06/02/2027,03:00,Kapaz PFK,Shafa FK,,
19,06/02/2027,03:00,Turan Tovuz,Neftçi PFK,,
19,06/02/2027,03:00,Gabala FK,Araz-Naxçıvan PFK,,
19,06/02/2027,03:00,Qarabağ FK,Sabah FK,,
19,06/02/2027,03:00,Şamaxı FK,İmişli FK,,
19,06/02/2027,03:00,Sumgayıt FK,Zira FK,,
20,13/02/2027,03:00,İmişli FK,Kapaz PFK,,
20,13/02/2027,03:00,Neftçi PFK,Şamaxı FK,,
20,13/02/2027,03:00,Qarabağ FK,Gabala FK,,
20,13/02/2027,03:00,Sabah FK,Turan Tovuz,,
20,13/02/2027,03:00,Shafa FK,Sumgayıt FK,,
20,13/02/2027,03:00,Zira FK,Araz-Naxçıvan PFK,,
21,20/02/2027,03:00,Araz-Naxçıvan PFK,Shafa FK,,
21,20/02/2027,03:00,Kapaz PFK,Neftçi PFK,,
21,20/02/2027,03:00,Turan Tovuz,Qarabağ FK,,
21,20/02/2027,03:00,Gabala FK,Zira FK,,
21,20/02/2027,03:00,Şamaxı FK,Sabah FK,,
21,20/02/2027,03:00,Sumgayıt FK,İmişli FK,,
22,27/02/2027,03:00,İmişli FK,Araz-Naxçıvan PFK,,
22,27/02/2027,03:00,Neftçi PFK,Sumgayıt FK,,
22,27/02/2027,03:00,Gabala FK,Turan Tovuz,,
22,27/02/2027,03:00,Sabah FK,Kapaz PFK,,
22,27/02/2027,03:00,Shafa FK,Zira FK,,
22,27/02/2027,03:00,Şamaxı FK,Qarabağ FK,,
23,06/03/2027,03:00,İmişli FK,Shafa FK,,
23,06/03/2027,03:00,Neftçi PFK,Gabala FK,,
23,06/03/2027,03:00,Qarabağ FK,Turan Tovuz,,
23,06/03/2027,03:00,Şamaxı FK,Kapaz PFK,,
