matchday,date,time,home_team,away_team,result,status
1,07/08/2026,14:15,Estoril Praia,FC Famalicão,1 - 1,Final
1,08/08/2026,09:30,Marítimo M.,Casa Pia AC,1 - 0,Final
1,08/08/2026,12:00,Vitória SC,FC Arouca,0 - 1,Final
1,08/08/2026,14:30,Estrela Amadora,Sporting CP,2 - 2,Final
1,09/08/2026,12:00,FC Porto,FC Alverca,2 - 0,Final
1,09/08/2026,14:30,Gil Vicente FC,Rio Ave FC,1 - 0,Final
1,09/08/2026,14:30,Moreirense FC,SC Braga,2 - 2,Final
1,09/08/2026,14:30,SL Benfica,Académico,2 - 2,Final
1,10/08/2026,14:15,Santa Clara,CD Nacional,2 - 2,Final
2,14/08/2026,14:15,Sporting CP,Vitória SC,3 - 2,Final
2,15/08/2026,09:30,FC Alverca,Estrela Amadora,2 - 2,Final
2,15/08/2026,12:00,Académico,Santa Clara,0 - 1,Final
2,15/08/2026,14:30,Rio Ave FC,FC Porto,0 - 2,Final
2,16/08/2026,09:30,CD Nacional,Estoril Praia,2 - 0,Final
2,16/08/2026,12:00,FC Arouca,Moreirense FC,4 - 0,Final
2,16/08/2026,14:30,SC Braga,Gil Vicente FC,,
2,16/08/2026,14:30,FC Famalicão,Marítimo M.,1 - 2,Final
2,17/08/2026,14:15,Casa Pia AC,SL Benfica,0 - 7,Final
3,22/08/2026,09:30,Marítimo M.,Académico,,
3,22/08/2026,12:00,Estoril Praia,Rio Ave FC,,
3,22/08/2026,14:30,Sporting CP,FC Alverca,,
3,23/08/2026,09:30,Vitória SC,CD Nacional,,
3,23/08/2026,12:00,Santa Clara,FC Famalicão,,
3,23/08/2026,14:30,FC Porto,FC Arouca,,
3,24/08/2026,14:15,Gil Vicente FC,Casa Pia AC,,
3,09/09/2026,14:15,Moreirense FC,SL Benfica,,
3,10/09/2026,14:15,Estrela Amadora,SC Braga,,
4,28/08/2026,14:15,Rio Ave FC,Sporting CP,,
4,29/08/2026,09:30,FC Alverca,Santa Clara,,
4,29/08/2026,09:30,FC Arouca,Marítimo M.,,
4,29/08/2026,12:00,Académico,FC Porto,,
4,30/08/2026,09:30,CD Nacional,Estrela Amadora,,
4,30/08/2026,12:00,Casa Pia AC,Moreirense FC,,
4,30/08/2026,14:30,FC Famalicão,Gil Vicente FC,,
4,31/08/2026,12:45,SL Benfica,Estoril Praia,,
4,31/08/2026,14:45,SC Braga,Vitória SC,,
5,05/09/2026,18:00,FC Alverca,SC Braga,,
5,05/09/2026,18:00,Estrela Amadora,FC Famalicão,,
5,05/09/2026,18:00,Estoril Praia,FC Arouca,,
5,05/09/2026,18:00,Gil Vicente FC,Académico,,
5,05/09/2026,18:00,Marítimo M.,SL Benfica,,
5,05/09/2026,18:00,FC Porto,Moreirense FC,,
5,05/09/2026,18:00,Santa Clara,Rio Ave FC,,
5,05/09/2026,18:00,Sporting CP,CD Nacional,,
5,05/09/2026,18:00,Vitória SC,Casa Pia AC,,
6,12/09/2026,18:00,Académico,Vitória SC,,
6,12/09/2026,18:00,FC Arouca,Santa Clara,,
6,12/09/2026,18:00,SC Braga,Estoril Praia,,
6,12/09/2026,18:00,Casa Pia AC,FC Porto,,
6,12/09/2026,18:00,FC Famalicão,Sporting CP,,
6,12/09/2026,18:00,Moreirense FC,Marítimo M.,,
6,12/09/2026,18:00,CD Nacional,FC Alverca,,
6,12/09/2026,18:00,Rio Ave FC,Estrela Amadora,,
6,12/09/2026,18:00,SL Benfica,Gil Vicente FC,,
7,19/09/2026,18:00,FC Alverca,Rio Ave FC,,
7,19/09/2026,18:00,Estrela Amadora,Académico,,
7,19/09/2026,18:00,Estoril Praia,Casa Pia AC,,
7,19/09/2026,18:00,Gil Vicente FC,Marítimo M.,,
7,19/09/2026,18:00,CD Nacional,FC Famalicão,,
7,19/09/2026,18:00,FC Porto,SL Benfica,,
7,19/09/2026,18:00,Santa Clara,SC Braga,,
7,19/09/2026,18:00,Sporting CP,FC Arouca,,
7,19/09/2026,18:00,Vitória SC,Moreirense FC,,
8,10/10/2026,18:00,Académico,Estoril Praia,,
8,10/10/2026,18:00,FC Arouca,Estrela Amadora,,
8,10/10/2026,18:00,SC Braga,Sporting CP,,
8,10/10/2026,18:00,Casa Pia AC,Santa Clara,,
8,10/10/2026,18:00,FC Famalicão,FC Alverca,,
8,10/10/2026,18:00,Marítimo M.,FC Porto,,
8,10/10/2026,18:00,Moreirense FC,Gil Vicente FC,,
8,10/10/2026,18:00,Rio Ave FC,CD Nacional,,
8,10/10/2026,18:00,SL Benfica,Vitória SC,,
9,24/10/2026,18:00,FC Alverca,FC Arouca,,
9,24/10/2026,18:00,Estrela Amadora,Casa Pia AC,,
9,24/10/2026,18:00,Estoril Praia,Moreirense FC,,
9,24/10/2026,18:00,Gil Vicente FC,FC Porto,,
9,24/10/2026,18:00,CD Nacional,SC Braga,,
9,24/10/2026,18:00,Rio Ave FC,FC Famalicão,,
9,24/10/2026,18:00,Santa Clara,SL Benfica,,
9,24/10/2026,18:00,Sporting CP,Académico,,
9,24/10/2026,18:00,Vitória SC,Marítimo M.,,
10,31/10/2026,19:00,Académico,Rio Ave FC,,
10,31/10/2026,19:00,FC Arouca,CD Nacional,,
10,31/10/2026,19:00,SC Braga,FC Famalicão,,
10,31/10/2026,19:00,Casa Pia AC,Sporting CP,,
10,31/10/2026,19:00,Gil Vicente FC,Vitória SC,,
10,31/10/2026,19:00,Marítimo M.,Santa Clara,,
10,31/10/2026,19:00,Moreirense FC,Estrela Amadora,,
10,31/10/2026,19:00,FC Porto,Estoril Praia,,
10,31/10/2026,19:00,SL Benfica,FC Alverca,,
11,07/11/2026,19:00,FC Alverca,Casa Pia AC,,
11,07/11/2026,19:00,Estrela Amadora,SL Benfica,,
11,07/11/2026,19:00,Estoril Praia,Marítimo M.,,
11,07/11/2026,19:00,FC Famalicão,FC Arouca,,
11,07/11/2026,19:00,CD Nacional,Académico,,
11,07/11/2026,19:00,Rio Ave FC,SC Braga,,
11,07/11/2026,19:00,Santa Clara,Gil Vicente FC,,
11,07/11/2026,19:00,Sporting CP,Moreirense FC,,
11,07/11/2026,19:00,Vitória SC,FC Porto,,
12,28/11/2026,19:00,Académico,FC Alverca,,
12,28/11/2026,19:00,FC Arouca,Rio Ave FC,,
12,28/11/2026,19:00,Casa Pia AC,SC Braga,,
12,28/11/2026,19:00,Gil Vicente FC,Estoril Praia,,
12,28/11/2026,19:00,Marítimo M.,CD Nacional,,
12,28/11/2026,19:00,Moreirense FC,Santa Clara,,
12,28/11/2026,19:00,FC Porto,Sporting CP,,
12,28/11/2026,19:00,SL Benfica,FC Famalicão,,
12,28/11/2026,19:00,Vitória SC,Estrela Amadora,,
13,05/12/2026,19:00,FC Alverca,Moreirense FC,,
13,05/12/2026,19:00,Estrela Amadora,Gil Vicente FC,,
13,05/12/2026,19:00,SC Braga,FC Arouca,,
13,05/12/2026,19:00,Estoril Praia,Vitória SC,,
