matchday,date,time,home_team,away_team,result,status,,,,,,,,,,
1,25/07/2025,z,Guadalupe,CS Herediano,0-0,Final,,,,,03/05/2026,,CS Cartaginés,CS Herediano,0-1,Final
1,26/07/2025,19:00,Municipal Liberia,CS Cartaginés,1-0,Final,,,,,04/05/2026,,Municipal Liberia,Deportivo Saprissa,1-1,Final
1,27/07/2025,19:00,Puntarenas FC,AD San Carlos,1-2,Final,,,,,10/05/2026,,CS Herediano,CS Cartaginés,,
1,27/07/2025,19:00,Municipal Pérez Zeledón,Deportivo Saprissa,0-1,Final,,,,,11/05/2026,,Deportivo Saprissa,Municipal Liberia,,
1,28/07/2025,19:00,Sporting FC,LD Alajuelense,1-2,Final,,,,,,,,,,
2,02/08/2025,19:00,Deportivo Saprissa,AD San Carlos,2-0,Final,,,,,,,,,,
2,03/08/2025,19:00,Sporting FC,CS Cartaginés,0-1,Final,,,,,,,,,,
2,03/08/2025,19:00,CS Herediano,Puntarenas FC,2-3,Final,,,,,,,,,,
2,03/08/2025,19:00,Municipal Liberia,Municipal Pérez Zeledón,2-2,Final,,,,,,,,,,
2,04/08/2025,19:00,LD Alajuelense,Guadalupe,1-0,Final,,,,,,,,,,
3,10/08/2025,19:00,Guadalupe,Puntarenas FC,3-2,Final,,,,,,,,,,
3,10/08/2025,19:00,AD San Carlos,Municipal Liberia,0-2,Final,,,,,,,,,,
3,10/08/2025,19:00,Municipal Pérez Zeledón,Sporting FC,2-1,Final,,,,,,,,,,
3,10/08/2025,19:00,CS Cartaginés,Deportivo Saprissa,3-0,Final,,,,,,,,,,
3,11/08/2025,19:00,LD Alajuelense,CS Herediano,0-1,Final,,,,,,,,,,
4,16/08/2025,19:00,Sporting FC,AD San Carlos,1-1,Final,,,,,,,,,,
4,17/08/2025,19:00,Puntarenas FC,LD Alajuelense,0-0,Final,,,,,,,,,,
4,17/08/2025,19:00,CS Herediano,Municipal Pérez Zeledón,2-1,Final,,,,,,,,,,
4,17/08/2025,19:00,Municipal Liberia,Deportivo Saprissa,2-2,Final,,,,,,,,,,
4,18/08/2025,19:00,Guadalupe,CS Cartaginés,0-0,Final,,,,,,,,,,
5,23/08/2025,19:00,Municipal Pérez Zeledón,Guadalupe,4-0,Final,,,,,,,,,,
5,24/08/2025,19:00,Puntarenas FC,Municipal Liberia,0-3,Final,,,,,,,,,,
5,24/08/2025,19:00,Deportivo Saprissa,Sporting FC,4-0,Final,,,,,,,,,,
5,25/08/2025,19:00,AD San Carlos,CS Herediano,2-2,Final,,,,,,,,,,
5,21/11/2025,19:00,LD Alajuelense,CS Cartaginés,0-0,Final,,,,,,,,,,
6,30/08/2025,19:00,Sporting FC,Guadalupe,2-0,Final,,,,,,,,,,
6,31/08/2025,19:00,Deportivo Saprissa,LD Alajuelense,0-1,Final,,,,,,,,,,
6,31/08/2025,19:00,CS Cartaginés,Puntarenas FC,0-0,Final,,,,,,,,,,
6,01/09/2025,19:00,CS Herediano,Municipal Liberia,1-0,Final,,,,,,,,,,
6,02/09/2025,19:00,AD San Carlos,Municipal Pérez Zeledón,0-1,Final,,,,,,,,,,
7,07/09/2025,19:00,Municipal Pérez Zeledón,LD Alajuelense,2-1,Final,,,,,,,,,,
