matchday,date,time,home_team,away_team,result,status
1,23/01/2026,03:00,Deportivo Recoleta,Sportivo Trinidense,1-1,Final
1,24/01/2026,03:00,2 de Mayo,Sportivo Luqueño,1-2,Final
1,24/01/2026,03:00,Club Nacional,San Lorenzo,1-0,Final
1,25/01/2026,03:00,Cerro Porteño,Libertad,1-1,Final
1,25/01/2026,03:00,Club Olimpia,Guaraní,2-1,Final
1,26/01/2026,03:00,Sportivo Ameliano,Club Rubio Ñu,2-2,Final
2,27/01/2026,03:00,Sportivo Luqueño,Club Nacional,1-2,Final
2,28/01/2026,03:00,San Lorenzo,Cerro Porteño,2-4,Final
2,28/01/2026,03:00,Libertad,Sportivo Ameliano,1-0,Final
2,29/01/2026,03:00,2 de Mayo,Club Olimpia,1-1,Final
2,29/01/2026,03:00,Sportivo Trinidense,Guaraní,0-0,Final
2,30/01/2026,03:00,Club Rubio Ñu,Deportivo Recoleta,1-1,Final
3,31/01/2026,03:00,Club Nacional,2 de Mayo,5-1,Final
3,01/02/2026,03:00,Sportivo Ameliano,San Lorenzo,1-0,Final
3,01/02/2026,03:00,Club Olimpia,Sportivo Trinidense,3-2,Final
3,02/02/2026,03:00,Guaraní,Club Rubio Ñu,4-0,Final
3,02/02/2026,03:00,Deportivo Recoleta,Libertad,2-1,Final
3,03/02/2026,03:00,Cerro Porteño,Sportivo Luqueño,2-0,Final
4,06/02/2026,03:00,San Lorenzo,Deportivo Recoleta,0-3,Final
4,07/02/2026,03:00,Sportivo Luqueño,Sportivo Ameliano,0-1,Final
4,07/02/2026,03:00,Club Rubio Ñu,Sportivo Trinidense,0-1,Final
4,08/02/2026,03:00,2 de Mayo,Cerro Porteño,0-0,Final
4,08/02/2026,03:00,Libertad,Guaraní,3-3,Final
4,09/02/2026,03:00,Club Nacional,Club Olimpia,1-2,Final
5,13/02/2026,03:00,Guaraní,San Lorenzo,3-1,Final
5,14/02/2026,03:00,Deportivo Recoleta,Sportivo Luqueño,1-2,Final
5,14/02/2026,03:00,Club Olimpia,Club Rubio Ñu,0-0,Final
5,15/02/2026,03:00,Sportivo Ameliano,2 de Mayo,3-0,Final
5,15/02/2026,03:00,Sportivo Trinidense,Libertad,1-0,Final
5,16/02/2026,03:00,Cerro Porteño,Club Nacional,0-2,Final
6,19/02/2026,03:00,San Lorenzo,Sportivo Trinidense,1-1,Final
6,20/02/2026,03:00,Club Nacional,Sportivo Ameliano,1-1,Final
6,20/02/2026,03:00,Libertad,Club Rubio Ñu,0-1,Final
6,21/02/2026,03:00,2 de Mayo,Deportivo Recoleta,0-1,Final
6,21/02/2026,03:00,Cerro Porteño,Club Olimpia,0-1,Final
6,23/02/2026,03:00,Sportivo Luqueño,Guaraní,3-2,Final
7,25/02/2026,03:00,Sportivo Ameliano,Cerro Porteño,0-1,Final
7,26/02/2026,03:00,Club Olimpia,Libertad,1-0,Final
7,26/02/2026,03:00,Sportivo Trinidense,Sportivo Luqueño,1-1,Final
7,26/02/2026,03:00,Club Rubio Ñu,San Lorenzo,2-0,Final
7,27/02/2026,03:00,Deportivo Recoleta,Club Nacional,2-2,Final
7,25/03/2026,03:00,Guaraní,2 de Mayo,1-1,Final
8,28/02/2026,03:00,Sportivo Ameliano,Club Olimpia,0-1,Final
8,01/03/2026,03:00,2 de Mayo,Sportivo Trinidense,1-0,Final
8,01/03/2026,03:00,Club Nacional,Guaraní,1-1,Final
8,02/03/2026,03:00,Cerro Porteño,Deportivo Recoleta,2-0,Final
