matchday,date,time,home_team,away_team,result,status
1,25/07/2026,03:00,FK Teplice,Bohemians Praha 1905,3-1,Final
1,25/07/2026,03:00,Viktoria Plzeň,Slovan Liberec,1-3,Final
1,25/07/2026,03:00,FC Zlín,Baník Ostrava,0-1,Final
1,25/07/2026,03:00,FC Zbrojovka Brno,AC Sparta Praha,3-1,Final
1,26/07/2026,03:00,Slavia Praha,1. FC Slovácko,5-1,Final
1,26/07/2026,03:00,FK Jablonec,Sigma Olomouc,2-1,Final
1,26/07/2026,03:00,FC Hradec Králové,FK Pardubice,2-1,Final
1,27/07/2026,03:00,SK Artis Brno,FK Mladá Boleslav,2-4,Final
2,31/07/2026,03:00,AC Sparta Praha,FC Zlín,3-1,Final
2,01/08/2026,03:00,1. FC Slovácko,SK Artis Brno,1-1,Final
2,01/08/2026,03:00,Baník Ostrava,Slavia Praha,0-4,Final
2,01/08/2026,03:00,Slovan Liberec,FK Teplice,0-1,Final
2,01/08/2026,03:00,Viktoria Plzeň,FC Zbrojovka Brno,1-1,Final
2,02/08/2026,03:00,Sigma Olomouc,FK Mladá Boleslav,2-2,Final
2,02/08/2026,03:00,Bohemians Praha 1905,FC Hradec Králové,0-0,Final
2,02/08/2026,03:00,FK Pardubice,FK Jablonec,0-2,Final
3,07/08/2026,03:00,FC Zbrojovka Brno,Slovan Liberec,0-1,Final
3,08/08/2026,03:00,FK Teplice,Viktoria Plzeň,5-5,Final
3,08/08/2026,03:00,FC Zlín,Bohemians Praha 1905,0-2,Final
3,08/08/2026,03:00,FK Mladá Boleslav,AC Sparta Praha,2-0,Final
3,09/08/2026,03:00,Slavia Praha,FK Pardubice,2-1,Final
3,09/08/2026,03:00,FC Hradec Králové,Baník Ostrava,2-1,Final
3,09/08/2026,03:00,FK Jablonec,1. FC Slovácko,1-0,Final
3,09/08/2026,03:00,SK Artis Brno,Sigma Olomouc,1-2,Final
4,15/08/2026,03:00,1. FC Slovácko,Sigma Olomouc,1-2,Final
4,15/08/2026,03:00,FK Pardubice,FK Mladá Boleslav,1-1,Final
