matchday,date,time,home_team,away_team,result,status
1,13/02/2026,15:00,San Miguel,Central Norte,1-0,Final
1,13/02/2026,19:00,Atletico DE Rafaela,Almagro,0-0,Final
1,13/02/2026,19:30,Godoy Cruz,Ciudad de Bolívar,1-1,Final
1,13/02/2026,20:00,Gimnasia Y Tiro,Colegiales,2-1,Final
1,14/02/2026,15:00,Acassuso,Chaco For Ever,2-0,Final
1,14/02/2026,15:00,All Boys,Atletico Mitre,2-1,Final
1,14/02/2026,15:00,Deportivo Moron,Defensores De Belgrano,1-1,Final
1,14/02/2026,15:00,San Telmo,Ferro Carril Oeste,0-2,Final
1,14/02/2026,16:00,Agropecuario,Deportivo Maipu,2-1,Final
1,14/02/2026,17:00,Tristan Suarez,Temperley,0-0,Final
1,14/02/2026,18:00,Colon Santa Fe,Deportivo Madryn,2-1,Final
1,15/02/2026,15:00,Chacarita Juniors,San Martin S.J.,1-1,Final
1,15/02/2026,15:00,Club Atlético Güemes,Nueva Chicago,0-1,Final
1,15/02/2026,15:30,Los Andes,Almirante Brown,0-0,Final
1,15/02/2026,17:00,Racing Cordoba,CA Estudiantes,1-0,Final
1,15/02/2026,17:00,San Martin Tucuman,Patronato,0-0,Final
1,16/02/2026,15:00,Atlanta,Quilmes,1-0,Final
1,16/02/2026,15:00,Gimnasia Jujuy,Midland,2-1,Final
2,21/02/2026,15:00,Acassuso,Racing Cordoba,3-0,Final
2,21/02/2026,15:00,Almagro,San Martin Tucuman,0-1,Final
2,21/02/2026,15:00,Nueva Chicago,Tristan Suarez,0-0,Final
2,21/02/2026,17:00,Deportivo Madryn,Deportivo Moron,1-1,Final
2,21/02/2026,17:00,Ferro Carril Oeste,San Miguel,1-1,Final
2,21/02/2026,18:00,Deportivo Maipu,Atletico DE Rafaela,2-1,Final
2,21/02/2026,18:00,Patronato,Gimnasia Y Tiro,1-2,Final
2,21/02/2026,18:00,Quilmes,Midland,0-0,Final
2,21/02/2026,18:00,San Martin S.J.,Club Atlético Güemes,2-1,Final
2,21/02/2026,19:00,Chaco For Ever,San Telmo,2-2,Final
2,22/02/2026,15:00,Almirante Brown,All Boys,2-1,Final
2,22/02/2026,15:00,Chacarita Juniors,Gimnasia Jujuy,3-1,Final
2,22/02/2026,15:00,Ciudad de Bolívar,Los Andes,1-1,Final
2,22/02/2026,15:00,Defensores De Belgrano,Godoy Cruz,1-1,Final
2,22/02/2026,16:00,Central Norte,Colon Santa Fe,0-0,Final
2,22/02/2026,18:00,Colegiales,Atlanta,1-0,Final
2,22/02/2026,18:00,Temperley,Agropecuario,1-0,Final
2,23/02/2026,08:45,Atletico Mitre,CA Estudiantes,1-0,Final
3,27/02/2026,20:00,Gimnasia Y Tiro,Almagro,2-0,Final
3,28/02/2026,15:00,Los Andes,Defensores De Belgrano,0-1,Final
3,28/02/2026,15:00,San Miguel,Chaco For Ever,2-0,Final
3,28/02/2026,18:30,Agropecuario,Nueva Chicago,0-2,Final
3,28/02/2026,18:30,Colon Santa Fe,Ferro Carril Oeste,1-1,Final
3,01/03/2026,15:00,All Boys,Ciudad de Bolívar,0-0,Final
3,01/03/2026,15:00,Club Atlético Güemes,Chacarita Juniors,2-1,Final
3,01/03/2026,15:00,Deportivo Moron,Central Norte,2-0,Final
3,01/03/2026,15:00,Gimnasia Jujuy,Quilmes,1-0,Final
3,01/03/2026,15:00,Godoy Cruz,Deportivo Madryn,0-0,Final
3,01/03/2026,15:00,Midland,Colegiales,2-0,Final
3,01/03/2026,15:00,San Telmo,Acassuso,2-3,Final
3,01/03/2026,15:30,San Martin Tucuman,Deportivo Maipu,2-2,Final
3,01/03/2026,16:00,Racing Cordoba,Atletico Mitre,0-0,Final
3,01/03/2026,18:30,Atletico DE Rafaela,Temperley,1-0,Final
3,01/03/2026,18:30,CA Estudiantes,Almirante Brown,0-1,Final
3,01/03/2026,18:30,Tristan Suarez,San Martin S.J.,2-1,Final
3,02/03/2026,19:00,Atlanta,Patronato,0-0,Final
5,13/03/2026,19:00,Atletico DE Rafaela,San Martin S.J.,1-0,Final
5,13/03/2026,19:00,Racing Cordoba,Almirante Brown,2-1,Final
5,14/03/2026,12:00,Los Andes,Central Norte,0-0,Final
5,14/03/2026,14:00,All Boys,Deportivo Madryn,1-0,Final
5,14/03/2026,14:00,CA Estudiantes,Defensores De Belgrano,0-2,Final
5,14/03/2026,14:00,Deportivo Moron,Chaco For Ever,3-2,Final
5,14/03/2026,14:00,San Miguel,San Telmo,1-1,Final
