Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
13/02/2026,1,Atlético San Miguel,Central Norte,1-0
14/02/2026,1,Atlético Rafaela,Almagro,0-0
14/02/2026,1,Godoy Cruz,Club Ciudad de Bolivar,1-1
14/02/2026,1,Gimnasia y Tiro de Salta,Colegiales de Munro,2-1
14/02/2026,1,Acassuso,Chaco For Ever,2-0
14/02/2026,1,All Boys,Mitre de SdE,2-1
14/02/2026,1,Deportivo Morón,Defensores de Belgrano,1-1
14/02/2026,1,San Telmo,Ferro Carril Oeste,0-2
14/02/2026,1,Agropecuario Argentino,Deportivo Maipú,2-1
14/02/2026,1,Tristan Suárez,Temperley,0-0
15/02/2026,1,Colón de Santa Fe,Deportivo Madryn,2-1
15/02/2026,1,Chacarita Juniors,San Martín de San Juan,1-1
15/02/2026,1,Güemes de SdE,Nueva Chicago,0-1
15/02/2026,1,CA Los Andes,Almirante Brown,0-0
15/02/2026,1,Racing de Córdoba,Estudiantes de Caseros,1-0
15/02/2026,1,San Martín de Tucumán,Patronato de Paraná,0-0
16/02/2026,1,Atlanta,Quilmes,1-0
16/02/2026,1,Gimnasia de Jujuy,Ferrocarril Midland,2-1
21/02/2026,2,Acassuso,Racing de Córdoba,3-0
21/02/2026,2,Almagro,San Martín de Tucumán,0-1
21/02/2026,2,Nueva Chicago,Tristan Suárez,0-0
21/02/2026,2,Deportivo Madryn,Deportivo Morón,1-1
21/02/2026,2,Ferro Carril Oeste,Atlético San Miguel,1-1
22/02/2026,2,Patronato de Paraná,Gimnasia y Tiro de Salta,1-2
22/02/2026,2,San Martín de San Juan,Güemes de SdE,2-1
22/02/2026,2,Deportivo Maipú,Atlético Rafaela,2-1
22/02/2026,2,Quilmes,Ferrocarril Midland,0-0
22/02/2026,2,Chaco For Ever,San Telmo,2-2
22/02/2026,2,Almirante Brown,All Boys,2-1
22/02/2026,2,Chacarita Juniors,Gimnasia de Jujuy,3-1
22/02/2026,2,Club Ciudad de Bolivar,CA Los Andes,1-1
22/02/2026,2,Defensores de Belgrano,Godoy Cruz,1-1
22/02/2026,2,Central Norte,Colón de Santa Fe,0-0
23/02/2026,2,Temperley,Agropecuario Argentino,1-0
23/02/2026,2,Colegiales de Munro,Atlanta,1-0
23/02/2026,2,Mitre de SdE,Estudiantes de Caseros,1-0
28/02/2026,3,Gimnasia y Tiro de Salta,Almagro,2-0
28/02/2026,3,CA Los Andes,Defensores de Belgrano,0-1
28/02/2026,3,Atlético San Miguel,Chaco For Ever,2-0
01/03/2026,3,Agropecuario Argentino,Nueva Chicago,0-2
01/03/2026,3,Colón de Santa Fe,Ferro Carril Oeste,1-1
01/03/2026,3,All Boys,Club Ciudad de Bolivar,0-0
01/03/2026,3,Godoy Cruz,Deportivo Madryn,0-0
01/03/2026,3,Güemes de SdE,Chacarita Juniors,2-1
01/03/2026,3,Deportivo Morón,Central Norte,2-0
01/03/2026,3,Gimnasia de Jujuy,Quilmes,1-0
01/03/2026,3,Ferrocarril Midland,Colegiales de Munro,2-0
01/03/2026,3,San Telmo,Acassuso,2-3
01/03/2026,3,San Martín de Tucumán,Deportivo Maipú,2-2
01/03/2026,3,Racing de Córdoba,Mitre de SdE,0-0
02/03/2026,3,Atlético Rafaela,Temperley,1-0
02/03/2026,3,Tristan Suárez,San Martín de San Juan,2-1
02/03/2026,3,Estudiantes de Caseros,Almirante Brown,0-1
03/03/2026,3,Atlanta,Patronato de Paraná,0-0
07/03/2026,4,Acassuso,Atlético San Miguel,
07/03/2026,4,Almagro,Atlanta,
07/03/2026,4,Almirante Brown,Mitre de SdE,
07/03/2026,4,Patronato de Paraná,Ferrocarril Midland,
07/03/2026,4,San Martín de San Juan,Agropecuario Argentino,
07/03/2026,4,Temperley,San Martín de Tucumán,
07/03/2026,4,Central Norte,Godoy Cruz,
07/03/2026,4,Chaco For Ever,Colón de Santa Fe,
07/03/2026,4,Club Ciudad de Bolivar,Estudiantes de Caseros,
07/03/2026,4,Güemes de SdE,Gimnasia de Jujuy,
07/03/2026,4,Defensores de Belgrano,All Boys,
07/03/2026,4,Deportivo Maipú,Gimnasia y Tiro de Salta,
07/03/2026,4,Deportivo Madryn,CA Los Andes,
07/03/2026,4,Nueva Chicago,Atlético Rafaela,
07/03/2026,4,San Telmo,Racing de Córdoba,
08/03/2026,4,Chacarita Juniors,Tristan Suárez,
08/03/2026,4,Colegiales de Munro,Quilmes,
08/03/2026,4,Ferro Carril Oeste,Deportivo Morón,
14/03/2026,5,Atlético Rafaela,San Martín de San Juan,1-0
14/03/2026,5,Racing de Córdoba,Almirante Brown,2-1
14/03/2026,5,CA Los Andes,Central Norte,0-0
14/03/2026,5,All Boys,Deportivo Madryn,1-0
14/03/2026,5,Estudiantes de Caseros,Defensores de Belgrano,0-2
14/03/2026,5,Deportivo Morón,Chaco For Ever,3-2
14/03/2026,5,Atlético San Miguel,San Telmo,1-1
14/03/2026,5,Godoy Cruz,Ferro Carril Oeste,2-1
14/03/2026,5,Tristan Suárez,Güemes de SdE,1-1
15/03/2026,5,Colón de Santa Fe,Acassuso,1-0
15/03/2026,5,Quilmes,Patronato de Paraná,3-0
15/03/2026,5,Agropecuario Argentino,Chacarita Juniors,2-0
