matchday,date,time,home_team,away_team,result,status
1,28/08/2025,11:05,Damac,Al-Hazm,1-1,Final
1,28/08/2025,13:00,Al-Ahli Jeddah,NEOM,1-0,Final
1,28/08/2025,13:00,Al-Ettifaq,Al Kholood,2-1,Final
1,29/08/2025,10:50,Al-Hilal Saudi FC,Al Riyadh,2-0,Final
1,29/08/2025,13:00,Al Taawon,Al-Nassr,0-5,Final
1,29/08/2025,13:00,Al Shabab,Al Khaleej Saihat,1-4,Final
1,30/08/2025,10:55,Al-Fateh,Al-Fayha,1-2,Final
1,30/08/2025,13:00,Al-Qadisiyah FC,Al Najma,3-1,Final
1,30/08/2025,13:00,Al Okhdood,Al-Ittihad FC,2-5,Final
2,12/09/2025,10:25,Al-Ettifaq,Al-Ahli Jeddah,0-0,Final
2,12/09/2025,10:35,Al Shabab,Al-Hazm,1-0,Final
2,12/09/2025,13:00,Al-Ittihad FC,Al-Fateh,4-2,Final
2,13/09/2025,10:25,Al Khaleej Saihat,Al-Fayha,3-0,Final
2,13/09/2025,10:45,Al Okhdood,Al Taawon,2-3,Final
2,13/09/2025,13:00,Al-Hilal Saudi FC,Al-Qadisiyah FC,2-2,Final
2,14/09/2025,10:35,Al Riyadh,Al Najma,2-1,Final
2,14/09/2025,10:50,Damac,NEOM,1-2,Final
2,14/09/2025,13:00,Al-Nassr,Al Kholood,2-0,Final
3,18/09/2025,10:40,Al Taawon,Al-Ettifaq,4-1,Final
3,18/09/2025,10:40,Al Kholood,Damac,2-1,Final
3,18/09/2025,13:00,NEOM,Al Okhdood,1-0,Final
3,19/09/2025,10:15,Al-Qadisiyah FC,Al Khaleej Saihat,2-1,Final
3,19/09/2025,10:35,Al-Fayha,Al Shabab,0-0,Final
3,19/09/2025,13:00,Al-Ahli Jeddah,Al-Hilal Saudi FC,3-3,Final
3,20/09/2025,10:40,Al-Hazm,Al-Fateh,0-0,Final
3,20/09/2025,10:40,Al Najma,Al-Ittihad FC,0-1,Final
3,20/09/2025,13:00,Al-Nassr,Al Riyadh,5-1,Final
4,25/09/2025,10:10,Al Khaleej Saihat,Al Taawon,0-1,Final
4,25/09/2025,10:25,Al Shabab,Al Kholood,1-2,Final
4,25/09/2025,13:00,Al-Hilal Saudi FC,Al Okhdood,3-1,Final
4,26/09/2025,10:35,Al-Hazm,Al-Ahli Jeddah,0-2,Final
4,26/09/2025,10:40,Damac,Al-Ettifaq,1-3,Final
4,26/09/2025,13:00,Al-Ittihad FC,Al-Nassr,0-2,Final
4,27/09/2025,10:20,Al Riyadh,NEOM,2-3,Final
4,27/09/2025,10:35,Al Najma,Al-Fayha,1-2,Final
4,27/09/2025,13:00,Al-Fateh,Al-Qadisiyah FC,0-1,Final
5,17/10/2025,10:05,Al-Fayha,Al-Ittihad FC,1-1,Final
5,17/10/2025,10:10,Al Kholood,Al Najma,5-1,Final
5,17/10/2025,13:00,Al-Ahli Jeddah,Al Shabab,1-1,Final
5,18/10/2025,09:45,Al-Ettifaq,Al-Hilal Saudi FC,0-5,Final
5,18/10/2025,10:15,Al Okhdood,Al-Hazm,1-2,Final
5,18/10/2025,13:00,Al-Nassr,Al-Fateh,5-1,Final
5,19/10/2025,09:45,Al Khaleej Saihat,Al Riyadh,4-1,Final
5,19/10/2025,10:10,Al Taawon,Damac,6-1,Final
5,19/10/2025,13:00,NEOM,Al-Qadisiyah FC,1-3,Final
6,23/10/2025,09:55,Al Riyadh,Al Kholood,1-0,Final
6,23/10/2025,10:00,Al-Fayha,Al Taawon,1-2,Final
6,23/10/2025,13:00,Al Najma,Al-Ahli Jeddah,0-1,Final
6,24/10/2025,09:45,Al-Fateh,Al-Ettifaq,2-1,Final
6,24/10/2025,10:30,NEOM,Al Khaleej Saihat,1-1,Final
6,24/10/2025,13:00,Al-Ittihad FC,Al-Hilal Saudi FC,0-2,Final
6,25/10/2025,09:40,Al-Qadisiyah FC,Al Okhdood,0-0,Final
6,25/10/2025,09:55,Al Shabab,Damac,1-1,Final
6,25/10/2025,13:00,Al-Hazm,Al-Nassr,0-2,Final
7,30/10/2025,10:15,Damac,Al-Fateh,1-1,Final
7,30/10/2025,12:30,Al-Ahli Jeddah,Al Riyadh,1-1,Final
7,30/10/2025,12:30,Al Kholood,NEOM,2-3,Final
7,31/10/2025,08:40,Al Okhdood,Al Najma,2-1,Final
7,31/10/2025,09:50,Al-Hilal Saudi FC,Al Shabab,1-0,Final
7,31/10/2025,12:30,Al-Ettifaq,Al-Hazm,2-2,Final
7,01/11/2025,08:30,Al Taawon,Al-Qadisiyah FC,2-0,Final
7,01/11/2025,09:35,Al Khaleej Saihat,Al-Ittihad FC,4-4,Final
7,01/11/2025,12:30,Al-Nassr,Al-Fayha,2-1,Final
8,06/11/2025,09:55,Al-Hazm,Al Khaleej Saihat,1-4,Final
8,06/11/2025,12:30,Al-Qadisiyah FC,Al Kholood,4-0,Final
8,06/11/2025,12:30,Al Riyadh,Damac,1-1,Final
8,07/11/2025,08:20,Al-Fayha,Al Okhdood,2-0,Final
8,07/11/2025,09:35,Al-Fateh,Al Taawon,2-5,Final
8,07/11/2025,12:30,Al Najma,Al-Hilal Saudi FC,2-4,Final
8,08/11/2025,08:50,NEOM,Al-Nassr,1-3,Final
8,08/11/2025,09:45,Al Shabab,Al-Ettifaq,1-1,Final
8,08/11/2025,12:30,Al-Ittihad FC,Al-Ahli Jeddah,0-1,Final
9,21/11/2025,09:50,Al Kholood,Al-Hazm,1-2,Final
9,21/11/2025,10:15,Al-Ittihad FC,Al Riyadh,2-1,Final
9,21/11/2025,12:30,Al-Ahli Jeddah,Al-Qadisiyah FC,2-1,Final
9,22/11/2025,08:40,Damac,Al Najma,0-0,Final
9,22/11/2025,09:25,Al-Ettifaq,Al-Fayha,3-2,Final
9,22/11/2025,09:40,Al-Hilal Saudi FC,Al-Fateh,2-1,Final
9,23/11/2025,10:05,Al Okhdood,Al Shabab,1-1,Final
9,23/11/2025,12:30,Al Taawon,NEOM,1-1,Final
9,23/11/2025,12:30,Al-Nassr,Al Khaleej Saihat,4-1,Final
11,25/12/2025,09:50,Al-Fayha,Al-Hazm,0-0,Final
11,25/12/2025,12:30,Al Riyadh,Al-Ettifaq,0-2,Final
11,25/12/2025,12:30,NEOM,Al Najma,2-1,Final
11,26/12/2025,08:05,Al-Fateh,Al-Ahli Jeddah,2-1,Final
11,26/12/2025,10:00,Al Kholood,Al Taawon,0-2,Final
11,26/12/2025,12:30,Al-Hilal Saudi FC,Al Khaleej Saihat,3-2,Final
11,27/12/2025,08:00,Al-Qadisiyah FC,Damac,1-1,Final
11,27/12/2025,09:50,Al-Nassr,Al Okhdood,3-0,Final
11,27/12/2025,12:30,Al-Ittihad FC,Al Shabab,2-0,Final
12,29/12/2025,09:35,Al Khaleej Saihat,Al-Fateh,0-1,Final
12,29/12/2025,12:30,Al Taawon,Al Najma,1-0,Final
12,29/12/2025,12:30,Al Riyadh,Al-Hazm,1-2,Final
12,30/12/2025,10:30,Al-Ahli Jeddah,Al-Fayha,2-0,Final
12,30/12/2025,12:30,Al-Ettifaq,Al-Nassr,2-2,Final
12,30/12/2025,12:30,Al Okhdood,Damac,0-1,Final
12,31/12/2025,10:25,NEOM,Al-Ittihad FC,1-3,Final
12,31/12/2025,12:30,Al Shabab,Al-Qadisiyah FC,2-3,Final
12,31/12/2025,12:30,Al Kholood,Al-Hilal Saudi FC,1-3,Final
13,02/01/2026,08:30,Al Najma,Al Khaleej Saihat,2-2,Final
13,02/01/2026,09:35,Al-Ettifaq,Al Okhdood,2-0,Final
13,02/01/2026,12:30,Al-Ahli Jeddah,Al-Nassr,3-2,Final
13,03/01/2026,08:10,Al-Fateh,Al Shabab,2-0,Final
13,03/01/2026,09:55,Al-Fayha,Al Kholood,0-5,Final
13,03/01/2026,12:30,Al-Ittihad FC,Al Taawon,1-0,Final
13,04/01/2026,10:05,Al-Hazm,NEOM,1-2,Final
13,04/01/2026,12:30,Al-Qadisiyah FC,Al Riyadh,4-0,Final
13,04/01/2026,12:30,Damac,Al-Hilal Saudi FC,0-2,Final
14,08/01/2026,09:55,Al-Hilal Saudi FC,Al-Hazm,3-0,Final
14,08/01/2026,12:30,Al-Nassr,Al-Qadisiyah FC,1-2,Final
14,08/01/2026,12:30,Al Najma,Al-Ettifaq,3-4,Final
14,09/01/2026,08:10,Al Khaleej Saihat,Damac,4-0,Final
14,09/01/2026,10:05,Al Taawon,Al Shabab,2-0,Final
14,09/01/2026,12:30,Al Kholood,Al-Ittihad FC,0-4,Final
14,10/01/2026,09:00,NEOM,Al-Fateh,0-1,Final
14,10/01/2026,10:00,Al Riyadh,Al-Fayha,1-1,Final
14,10/01/2026,12:30,Al Okhdood,Al-Ahli Jeddah,0-1,Final
15,12/01/2026,10:10,Al-Hazm,Al Najma,3-2,Final
15,12/01/2026,12:30,Al-Hilal Saudi FC,Al-Nassr,3-1,Final
15,12/01/2026,12:30,Al-Ettifaq,Al Khaleej Saihat,1-2,Final
15,13/01/2026,10:25,Al Okhdood,Al Kholood,1-0,Final
15,13/01/2026,12:30,Al-Fateh,Al Riyadh,3-1,Final
15,13/01/2026,12:30,Damac,Al-Ittihad FC,1-1,Final
15,14/01/2026,09:45,Al-Qadisiyah FC,Al-Fayha,5-0,Final
15,14/01/2026,12:30,Al-Ahli Jeddah,Al Taawon,2-1,Final
15,14/01/2026,12:30,Al Shabab,NEOM,3-2,Final
16,16/01/2026,08:40,Al Najma,Al-Fateh,1-1,Final
16,16/01/2026,09:45,Al Khaleej Saihat,Al Okhdood,4-1,Final
16,16/01/2026,12:30,Al-Ittihad FC,Al-Ettifaq,0-1,Final
16,17/01/2026,08:35,Al-Fayha,Damac,1-1,Final
16,17/01/2026,10:10,Al Kholood,Al-Ahli Jeddah,0-1,Final
16,17/01/2026,12:30,Al-Nassr,Al Shabab,3-2,Final
16,18/01/2026,10:15,Al-Hazm,Al-Qadisiyah FC,1-5,Final
16,18/01/2026,12:30,Al Riyadh,Al Taawon,1-3,Final
16,18/01/2026,12:30,NEOM,Al-Hilal Saudi FC,1-2,Final
17,20/01/2026,10:05,Al Shabab,Al Najma,0-0,Final
17,20/01/2026,12:30,Al-Ahli Jeddah,Al Khaleej Saihat,4-1,Final
17,20/01/2026,12:30,Al-Fateh,Al Kholood,2-5,Final
17,21/01/2026,10:30,Al Okhdood,Al Riyadh,2-2,Final
17,21/01/2026,12:30,Al-Ettifaq,NEOM,0-0,Final
17,21/01/2026,12:30,Damac,Al-Nassr,1-2,Final
17,22/01/2026,10:15,Al Taawon,Al-Hazm,2-2,Final
17,22/01/2026,12:30,Al-Hilal Saudi FC,Al-Fayha,4-1,Final
17,22/01/2026,12:30,Al-Qadisiyah FC,Al-Ittihad FC,2-1,Final
18,24/01/2026,08:25,Al Khaleej Saihat,Al Shabab,0-0,Final
18,24/01/2026,10:20,Al Kholood,Al-Ettifaq,1-2,Final
18,24/01/2026,12:30,NEOM,Al-Ahli Jeddah,0-3,Final
