Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
28/08/2025,1,Damac FC,Al Hazem,1-1
28/08/2025,1,Al Ahli SFC,NEOM SC,1-0
28/08/2025,1,Al Ettifaq,Al Kholood,2-1
29/08/2025,1,Al Hilal,Al Riyadh,2-0
29/08/2025,1,Al Shabab,Al Khaleej,1-4
29/08/2025,1,Al Taawoun,Al Nassr,0-5
30/08/2025,1,Al Fateh,Al Fayha,1-2
30/08/2025,1,Al Okhdood,Al Ittihad,2-5
30/08/2025,1,Al Qadsiah,Al Najma,3-1
12/09/2025,2,Al Ettifaq,Al Ahli SFC,0-0
12/09/2025,2,Al Shabab,Al Hazem,1-0
12/09/2025,2,Al Ittihad,Al Fateh,4-2
13/09/2025,2,Al Khaleej,Al Fayha,3-0
13/09/2025,2,Al Okhdood,Al Taawoun,2-3
13/09/2025,2,Al Hilal,Al Qadsiah,2-2
14/09/2025,2,Al Riyadh,Al Najma,2-1
14/09/2025,2,Damac FC,NEOM SC,1-2
14/09/2025,2,Al Nassr,Al Kholood,2-0
18/09/2025,3,Al Kholood,Damac FC,2-1
18/09/2025,3,Al Taawoun,Al Ettifaq,4-1
18/09/2025,3,NEOM SC,Al Okhdood,1-0
19/09/2025,3,Al Qadsiah,Al Khaleej,2-1
19/09/2025,3,Al Fayha,Al Shabab,0-0
19/09/2025,3,Al Ahli SFC,Al Hilal,3-3
20/09/2025,3,Al Hazem,Al Fateh,0-0
20/09/2025,3,Al Najma,Al Ittihad,0-1
20/09/2025,3,Al Nassr,Al Riyadh,5-1
25/09/2025,4,Al Khaleej,Al Taawoun,0-1
25/09/2025,4,Al Shabab,Al Kholood,1-2
25/09/2025,4,Al Hilal,Al Okhdood,3-1
26/09/2025,4,Al Hazem,Al Ahli SFC,0-2
26/09/2025,4,Damac FC,Al Ettifaq,1-3
26/09/2025,4,Al Ittihad,Al Nassr,0-2
27/09/2025,4,Al Riyadh,NEOM SC,2-3
27/09/2025,4,Al Najma,Al Fayha,1-2
27/09/2025,4,Al Fateh,Al Qadsiah,0-1
17/10/2025,5,Al Fayha,Al Ittihad,1-1
17/10/2025,5,Al Kholood,Al Najma,5-1
17/10/2025,5,Al Ahli SFC,Al Shabab,1-1
18/10/2025,5,Al Ettifaq,Al Hilal,0-5
18/10/2025,5,Al Okhdood,Al Hazem,1-2
18/10/2025,5,Al Nassr,Al Fateh,5-1
19/10/2025,5,Al Khaleej,Al Riyadh,4-1
19/10/2025,5,Al Taawoun,Damac FC,6-1
19/10/2025,5,NEOM SC,Al Qadsiah,1-3
23/10/2025,6,Al Riyadh,Al Kholood,1-0
23/10/2025,6,Al Fayha,Al Taawoun,1-2
23/10/2025,6,Al Najma,Al Ahli SFC,0-1
24/10/2025,6,Al Fateh,Al Ettifaq,2-1
24/10/2025,6,NEOM SC,Al Khaleej,1-1
24/10/2025,6,Al Ittihad,Al Hilal,0-2
25/10/2025,6,Al Qadsiah,Al Okhdood,0-0
25/10/2025,6,Al Shabab,Damac FC,1-1
25/10/2025,6,Al Hazem,Al Nassr,0-2
30/10/2025,7,Damac FC,Al Fateh,1-1
30/10/2025,7,Al Ahli SFC,Al Riyadh,1-1
30/10/2025,7,Al Kholood,NEOM SC,2-3
31/10/2025,7,Al Okhdood,Al Najma,2-1
31/10/2025,7,Al Hilal,Al Shabab,1-0
31/10/2025,7,Al Ettifaq,Al Hazem,2-2
01/11/2025,7,Al Taawoun,Al Qadsiah,2-0
01/11/2025,7,Al Khaleej,Al Ittihad,4-4
01/11/2025,7,Al Nassr,Al Fayha,2-1
06/11/2025,8,Al Hazem,Al Khaleej,1-4
06/11/2025,8,Al Qadsiah,Al Kholood,4-0
06/11/2025,8,Al Riyadh,Damac FC,1-1
07/11/2025,8,Al Fayha,Al Okhdood,2-0
07/11/2025,8,Al Fateh,Al Taawoun,2-5
07/11/2025,8,Al Najma,Al Hilal,2-4
08/11/2025,8,NEOM SC,Al Nassr,1-3
08/11/2025,8,Al Shabab,Al Ettifaq,1-1
08/11/2025,8,Al Ittihad,Al Ahli SFC,0-1
21/11/2025,9,Al Kholood,Al Hazem,1-2
21/11/2025,9,Al Ittihad,Al Riyadh,2-1
21/11/2025,9,Al Ahli SFC,Al Qadsiah,2-1
22/11/2025,9,Damac FC,Al Najma,0-0
22/11/2025,9,Al Ettifaq,Al Fayha,3-2
22/11/2025,9,Al Hilal,Al Fateh,2-1
23/11/2025,9,Al Okhdood,Al Shabab,1-1
