matchday,date,time,home_team,away_team,result,status
1,21/02/2026,,Orense,LDU Quito,1-2,Final
1,21/02/2026,,SD Aucas,Mushuc Runa,1-1,Final
1,21/02/2026,,Barcelona SC,Técnico,1-0,Final
1,22/02/2026,,Macará,Leones,0-0,Final
1,22/02/2026,,Delfín SC,Cuenca,1-0,Final
1,23/02/2026,,Independiente,Guayaquil,2-0,Final
1,24/02/2026,,Libertad,Manta,1-0,Final
1,09/04/2026,,Uni. Católica,Emelec,,
2,28/02/2026,,Técnico,Orense,1-1,Final
2,28/02/2026,,Leones,Libertad,1-1,Final
2,28/02/2026,,Guayaquil,SD Aucas,1-1,Final
2,01/03/2026,,Emelec,Delfín SC,1-1,Final
2,01/03/2026,,LDU Quito,Macará,0-2,Final
2,01/03/2026,,Mushuc Runa,Uni. Católica,0-0,Final
2,01/03/2026,,Cuenca,Barcelona SC,2-1,Final
2,03/03/2026,,Manta,Independiente,0-2,Final
3,07/03/2026,,Delfín SC,Guayaquil,1-0,Final
3,07/03/2026,,Barcelona SC,Emelec,1-0,Final
3,07/03/2026,,Independiente,Mushuc Runa,3-1,Final
3,08/03/2026,,Libertad,LDU Quito,2-1,Final
3,08/03/2026,,SD Aucas,Cuenca,0-1,Final
3,08/03/2026,,Macará,Técnico,1-1,Final
3,08/03/2026,,Uni. Católica,Leones,3-0,Final
3,10/03/2026,,Orense,Manta,1-1,Final
4,13/03/2026,,Técnico,Libertad,2-1,Final
4,14/03/2026,,Cuenca,Leones,1-1,Final
4,14/03/2026,,Independiente,SD Aucas,2-2,Final
4,14/03/2026,,Delfín SC,Manta,0-1,Final
4,15/03/2026,,LDU Quito,Uni. Católica,1-1,Final
4,15/03/2026,,Mushuc Runa,Macará,0-0,Final
4,15/03/2026,,Emelec,Orense,2-1,Final
4,16/03/2026,,Guayaquil,Barcelona SC,0-0,Final
5,17/03/2026,,Uni. Católica,Cuenca,1-0,Final
5,18/03/2026,,Leones,LDU Quito,0-2,Final
5,18/03/2026,,Macará,Delfín SC,1-0,Final
5,18/03/2026,,Manta,Guayaquil,0-1,Final
5,19/03/2026,,Libertad,Barcelona SC,0-0,Final
5,19/03/2026,,SD Aucas,Técnico,0-1,Final
