matchday,date,time,home_team,away_team,result,status
1,23/08/2025,11:30,Sassuolo,Napoli,0-2,Final
1,23/08/2025,11:30,Genoa,Lecce,0-0,Final
1,23/08/2025,13:45,AC Milan,Cremonese,1-2,Final
1,23/08/2025,13:45,AS Roma,Bologna,1-0,Final
1,24/08/2025,11:30,Cagliari,Fiorentina,1-1,Final
1,24/08/2025,11:30,como,Lazio,2-0,Final
1,24/08/2025,13:45,Juventus,Parma,2-0,Final
1,24/08/2025,13:45,Atalanta,Pisa,1-1,Final
1,25/08/2025,11:30,Udinese,Hellas Verona,1-1,Final
1,25/08/2025,13:45,Inter,Torino,5-0,Final
2,29/08/2025,11:30,Cremonese,Sassuolo,3-2,Final
2,29/08/2025,13:45,Lecce,AC Milan,0-2,Final
2,30/08/2025,11:30,Bologna,como,1-0,Final
2,30/08/2025,11:30,Parma,Atalanta,1-1,Final
2,30/08/2025,13:45,Napoli,Cagliari,1-0,Final
2,30/08/2025,13:45,Pisa,AS Roma,0-1,Final
2,31/08/2025,11:30,Genoa,Juventus,0-1,Final
2,31/08/2025,11:30,Torino,Fiorentina,0-0,Final
2,31/08/2025,13:45,Lazio,Hellas Verona,4-0,Final
2,31/08/2025,13:45,Inter,Udinese,1-2,Final
3,13/09/2025,08:00,Cagliari,Parma,2-0,Final
3,13/09/2025,11:00,Juventus,Inter,4-3,Final
3,13/09/2025,13:45,Fiorentina,Napoli,1-3,Final
3,14/09/2025,05:30,AS Roma,Torino,0-1,Final
3,14/09/2025,08:00,Atalanta,Lecce,4-1,Final
3,14/09/2025,08:00,Pisa,Udinese,0-1,Final
3,14/09/2025,11:00,Sassuolo,Lazio,1-0,Final
3,14/09/2025,13:45,AC Milan,Bologna,1-0,Final
3,15/09/2025,11:30,Hellas Verona,Cremonese,0-0,Final
3,15/09/2025,13:45,como,Genoa,1-1,Final
4,19/09/2025,13:45,Lecce,Cagliari,1-2,Final
4,20/09/2025,08:00,Bologna,Genoa,2-1,Final
4,20/09/2025,11:00,Hellas Verona,Juventus,1-1,Final
4,20/09/2025,13:45,Udinese,AC Milan,0-3,Final
4,21/09/2025,05:30,Lazio,AS Roma,0-1,Final
4,21/09/2025,08:00,Torino,Atalanta,0-3,Final
4,21/09/2025,08:00,Cremonese,Parma,0-0,Final
4,21/09/2025,11:00,Fiorentina,como,1-2,Final
4,21/09/2025,13:45,Inter,Sassuolo,2-1,Final
4,22/09/2025,13:45,Napoli,Pisa,3-2,Final
5,27/09/2025,08:00,como,Cremonese,1-1,Final
5,27/09/2025,11:00,Juventus,Atalanta,1-1,Final
5,27/09/2025,13:45,Cagliari,Inter,0-2,Final
5,28/09/2025,05:30,Sassuolo,Udinese,3-1,Final
5,28/09/2025,08:00,AS Roma,Hellas Verona,2-0,Final
5,28/09/2025,08:00,Pisa,Fiorentina,0-0,Final
5,28/09/2025,11:00,Lecce,Bologna,2-2,Final
5,28/09/2025,13:45,AC Milan,Napoli,2-1,Final
5,29/09/2025,11:30,Parma,Torino,2-1,Final
5,29/09/2025,13:45,Genoa,Lazio,0-3,Final
