matchday,date,time,home_team,away_team,result,status
1,04/04/2025,17:00,Goias,Amazonas,1-0,Final
1,04/04/2025,19:00,Criciuma,Operario-PR,1-2,Final
1,04/04/2025,19:00,Paysandu,Atletico Paranaense,1-2,Final
1,05/04/2025,14:00,CRB,Chapecoense-sc,1-0,Final
1,05/04/2025,14:00,Coritiba,Vila Nova,1-0,Final
1,05/04/2025,16:30,America Mineiro,Botafogo SP,1-0,Final
1,06/04/2025,17:00,Volta Redonda,Cuiaba,0-1,Final
1,06/04/2025,17:00,Ferroviária,Remo,1-1,Final
1,06/04/2025,18:00,Avai,Novorizontino,1-1,Final
1,07/04/2025,17:00,Atletico Goianiense,Athletic Club,4-2,Final
2,10/04/2025,17:00,Atletico Paranaense,Criciuma,2-1,Final
2,10/04/2025,19:30,Cuiaba,Avai,2-2,Final
2,12/04/2025,14:00,Chapecoense-sc,Coritiba,1-2,Final
2,12/04/2025,16:00,Vila Nova,Paysandu,1-0,Final
2,12/04/2025,17:00,Novorizontino,Volta Redonda,1-0,Final
2,12/04/2025,17:00,Amazonas,Ferroviária,0-0,Final
2,12/04/2025,18:00,Operario-PR,Goias,1-2,Final
2,13/04/2025,14:00,Remo,America Mineiro,2-0,Final
2,13/04/2025,14:00,Athletic Club,CRB,1-2,Final
2,13/04/2025,17:00,Botafogo SP,Atletico Goianiense,1-1,Final
3,15/04/2025,17:00,Cuiaba,Atletico Paranaense,2-1,Final
3,16/04/2025,18:00,Avai,Operario-PR,1-0,Final
3,16/04/2025,18:00,Paysandu,Chapecoense-sc,0-2,Final
3,16/04/2025,19:00,Coritiba,Novorizontino,0-0,Final
3,17/04/2025,17:00,Goias,Vila Nova,2-2,Final
3,17/04/2025,18:00,Criciuma,Athletic Club,4-0,Final
3,17/04/2025,18:00,CRB,Volta Redonda,1-0,Final
3,17/04/2025,18:00,Botafogo SP,Remo,2-2,Final
3,17/04/2025,19:00,Ferroviária,Atletico Goianiense,2-0,Final
3,17/04/2025,19:35,America Mineiro,Amazonas,3-1,Final
4,19/04/2025,14:00,Operario-PR,Paysandu,0-0,Final
4,20/04/2025,14:00,Vila Nova,Botafogo SP,2-0,Final
4,20/04/2025,16:00,Chapecoense-sc,Athletic Club,1-0,Final
4,20/04/2025,17:00,Atletico Paranaense,CRB,2-0,Final
4,20/04/2025,18:00,America Mineiro,Goias,1-0,Final
4,21/04/2025,16:00,Amazonas,Avai,0-2,Final
4,21/04/2025,17:00,Novorizontino,Criciuma,1-1,Final
4,21/04/2025,19:30,Remo,Coritiba,1-0,Final
4,22/04/2025,17:30,Atletico Goianiense,Cuiaba,1-1,Final
4,22/04/2025,18:00,Volta Redonda,Ferroviária,0-0,Final
5,24/04/2025,19:35,Novorizontino,Atletico Paranaense,2-1,Final
5,25/04/2025,17:00,Criciuma,Remo,1-1,Final
5,25/04/2025,19:00,Vila Nova,Chapecoense-sc,1-0,Final
5,26/04/2025,14:00,Coritiba,Operario-PR,2-0,Final
5,26/04/2025,18:00,Avai,America Mineiro,3-0,Final
5,27/04/2025,14:00,Athletic Club,Volta Redonda,2-1,Final
5,27/04/2025,14:30,Amazonas,Atletico Goianiense,1-1,Final
5,27/04/2025,15:00,Paysandu,CRB,1-1,Final
5,27/04/2025,17:00,Cuiaba,Ferroviária,1-0,Final
5,28/04/2025,17:30,Botafogo SP,Goias,0-1,Final
6,02/05/2025,19:35,Ferroviária,Coritiba,2-1,Final
6,03/05/2025,14:00,Remo,Amazonas,1-0,Final
6,03/05/2025,18:30,Volta Redonda,Paysandu,1-0,Final
6,04/05/2025,14:00,Atletico Goianiense,Novorizontino,1-0,Final
6,04/05/2025,16:30,Chapecoense-sc,Criciuma,2-1,Final
6,04/05/2025,16:30,Atletico Paranaense,Botafogo SP,1-4,Final
6,04/05/2025,18:30,Operario-PR,America Mineiro,1-0,Final
6,05/05/2025,17:00,Goias,Avai,2-1,Final
6,06/05/2025,17:30,CRB,Cuiaba,1-1,Final
6,06/05/2025,19:30,Athletic Club,Vila Nova,0-1,Final
7,08/05/2025,19:35,Atletico Paranaense,Chapecoense-sc,1-1,Final
7,10/05/2025,14:00,Avai,Atletico Goianiense,0-0,Final
7,10/05/2025,16:30,Goias,Coritiba,1-0,Final
7,11/05/2025,14:00,Criciuma,Volta Redonda,0-0,Final
7,11/05/2025,16:30,Cuiaba,Operario-PR,2-3,Final
7,11/05/2025,16:30,Novorizontino,Ferroviária,2-2,Final
7,12/05/2025,17:00,Botafogo SP,Athletic Club,0-3,Final
7,12/05/2025,19:00,Amazonas,CRB,1-1,Final
7,14/05/2025,17:00,Remo,Vila Nova,2-0,Final
7,14/05/2025,17:30,America Mineiro,Paysandu,2-2,Final
8,15/05/2025,19:35,Ferroviária,Avai,1-1,Final
8,16/05/2025,17:00,Chapecoense-sc,Cuiaba,2-1,Final
8,17/05/2025,14:00,Operario-PR,Botafogo SP,3-0,Final
8,17/05/2025,16:30,Vila Nova,Atletico Paranaense,2-1,Final
8,17/05/2025,18:30,Athletic Club,Novorizontino,0-2,Final
8,18/05/2025,14:00,Atletico Goianiense,Remo,1-1,Final
8,18/05/2025,14:00,CRB,Criciuma,1-0,Final
8,18/05/2025,16:30,Paysandu,Goias,0-0,Final
8,19/05/2025,17:00,Volta Redonda,Amazonas,1-1,Final
8,19/05/2025,19:35,Coritiba,America Mineiro,1-0,Final
9,23/05/2025,19:35,Goias,Ferroviária,2-0,Final
9,24/05/2025,14:00,Atletico Paranaense,Athletic Club,1-0,Final
9,24/05/2025,16:00,Remo,Volta Redonda,1-1,Final
