matchday,date,time,home_team,away_team,result,status
1,22/08/2025,13:30,Pescara,Cesena,1-3,Final
1,23/08/2025,12:00,Empoli,Padova,3-1,Final
1,23/08/2025,12:00,Virtus Entella,Juve Stabia,1-1,Final
1,23/08/2025,14:00,Palermo,Reggiana,2-1,Final
1,23/08/2025,14:00,Monza,Mantova,1-0,Final
1,24/08/2025,12:00,Spezia,Carrarese,0-2,Final
1,24/08/2025,12:00,Venezia,Bari,2-1,Final
1,24/08/2025,14:00,Frosinone,Avellino,2-0,Final
1,24/08/2025,14:00,Catanzaro,Sudtirol,1-1,Final
1,25/08/2025,13:30,Sampdoria,Modena,0-2,Final
2,29/08/2025,13:30,Reggiana,Empoli,3-1,Final
2,30/08/2025,12:00,Juve Stabia,Venezia,0-0,Final
2,30/08/2025,12:00,Mantova,Pescara,2-1,Final
2,30/08/2025,14:00,Cesena,Virtus Entella,1-1,Final
2,30/08/2025,14:00,Spezia,Catanzaro,0-0,Final
2,30/08/2025,14:00,Palermo,Frosinone,0-0,Final
2,31/08/2025,12:00,Sudtirol,Sampdoria,3-1,Final
2,31/08/2025,12:00,Carrarese,Padova,0-0,Final
2,31/08/2025,14:00,Bari,Monza,1-1,Final
2,31/08/2025,14:00,Modena,Avellino,1-1,Final
3,12/09/2025,13:30,Avellino,Monza,2-1,Final
3,13/09/2025,08:00,Pescara,Venezia,2-2,Final
3,13/09/2025,08:00,Juve Stabia,Reggiana,0-0,Final
3,13/09/2025,08:00,Padova,Frosinone,0-1,Final
3,13/09/2025,08:00,Modena,Bari,3-0,Final
3,13/09/2025,10:15,Catanzaro,Carrarese,1-1,Final
3,13/09/2025,12:30,Sampdoria,Cesena,1-2,Final
3,14/09/2025,08:00,Virtus Entella,Mantova,1-0,Final
3,14/09/2025,10:15,Sudtirol,Palermo,0-2,Final
3,14/09/2025,12:30,Empoli,Spezia,1-1,Final
4,19/09/2025,12:00,Frosinone,Sudtirol,2-2,Final
4,19/09/2025,14:00,Palermo,Bari,2-0,Final
4,20/09/2025,08:00,Spezia,Juve Stabia,1-3,Final
4,20/09/2025,08:00,Venezia,Cesena,1-2,Final
4,20/09/2025,08:00,Reggiana,Catanzaro,2-2,Final
4,20/09/2025,10:15,Monza,Sampdoria,1-0,Final
4,20/09/2025,12:30,Mantova,Modena,1-3,Final
4,21/09/2025,08:00,Carrarese,Avellino,3-4,Final
4,21/09/2025,10:15,Pescara,Empoli,4-0,Final
4,21/09/2025,12:30,Padova,Virtus Entella,2-1,Final
5,26/09/2025,13:30,Catanzaro,Juve Stabia,2-2,Final
