matchday,date,time,home_team,away_team,result,status
1,25/07/2026,03:00,FC Lausanne-Sport,Grasshopper Club Zürich,1-1,Final
1,25/07/2026,03:00,Servette FC,FC Basel 1893,0-1,Final
1,25/07/2026,03:00,FC Luzern,FC Thun Berner Oberland,1-3,Final
1,26/07/2026,03:00,BSC Young Boys,FC Sion,4-2,Final
1,26/07/2026,03:00,FC Lugano,FC Vaduz,2-1,Final
1,26/07/2026,03:00,FC St. Gallen,FC Zürich,2-1,Final
2,01/08/2026,03:00,FC Basel 1893,FC Lausanne-Sport,0-1,Final
2,01/08/2026,03:00,FC Zürich,Servette FC,2-1,Final
2,01/08/2026,03:00,FC Thun Berner Oberland,BSC Young Boys,0-6,Final
2,02/08/2026,03:00,FC Vaduz,FC St. Gallen,2-3,Final
2,02/08/2026,03:00,FC Sion,FC Luzern,3-0,Final
2,02/08/2026,03:00,Grasshopper Club Zürich,FC Lugano,1-4,Final
3,08/08/2026,03:00,FC Lausanne-Sport,BSC Young Boys,2-2,Final
3,08/08/2026,03:00,Servette FC,Grasshopper Club Zürich,2-1,Final
3,09/08/2026,03:00,FC Lugano,FC Zürich,5-0,Final
3,09/08/2026,03:00,FC Basel 1893,FC Thun Berner Oberland,4-2,Final
3,09/08/2026,03:00,FC Sion,FC Vaduz,3-2,Final
3,09/08/2026,03:00,FC St. Gallen,FC Luzern,2-2,Final
4,22/08/2026,03:00,FC Thun Berner Oberland,Servette FC,,
4,22/08/2026,11:00,FC Luzern,FC Lausanne-Sport,,
4,22/08/2026,13:30,FC Zürich,FC Basel 1893,,
4,23/08/2026,03:00,FC Lugano,FC St. Gallen,,
4,23/08/2026,03:00,Grasshopper Club Zürich,FC Sion,,
4,23/08/2026,07:00,BSC Young Boys,FC Vaduz,,
5,29/08/2026,11:00,FC Lausanne-Sport,FC Zürich,,
5,29/08/2026,11:00,Servette FC,FC Luzern,,
5,29/08/2026,13:30,BSC Young Boys,FC Basel 1893,,
5,30/08/2026,07:00,FC Sion,FC Lugano,,
5,30/08/2026,09:30,FC St. Gallen,FC Thun Berner Oberland,,
5,30/08/2026,09:30,FC Vaduz,Grasshopper Club Zürich,,
6,01/09/2026,13:30,FC Zürich,BSC Young Boys,,
6,02/09/2026,13:30,FC Luzern,FC Vaduz,,
6,02/09/2026,13:30,FC Thun Berner Oberland,FC Lausanne-Sport,,
6,02/09/2026,13:30,Grasshopper Club Zürich,FC St. Gallen,,
6,03/09/2026,13:30,FC Basel 1893,FC Sion,,
6,03/09/2026,13:30,FC Lugano,Servette FC,,
7,05/09/2026,11:00,FC Vaduz,FC Lausanne-Sport,,
7,05/09/2026,11:00,BSC Young Boys,FC Luzern,,
7,05/09/2026,13:30,Grasshopper Club Zürich,FC Zürich,,
7,06/09/2026,07:00,Servette FC,FC St. Gallen,,
7,06/09/2026,09:30,FC Basel 1893,FC Lugano,,
7,06/09/2026,09:30,FC Sion,FC Thun Berner Oberland,,
8,12/09/2026,11:00,FC St. Gallen,FC Sion,,
8,12/09/2026,11:00,FC Thun Berner Oberland,Grasshopper Club Zürich,,
8,12/09/2026,13:30,FC Lugano,BSC Young Boys,,
8,13/09/2026,07:00,FC Zürich,FC Vaduz,,
8,13/09/2026,09:30,FC Lausanne-Sport,Servette FC,,
8,13/09/2026,09:30,FC Luzern,FC Basel 1893,,
9,19/09/2026,11:00,FC Luzern,Grasshopper Club Zürich,,
9,19/09/2026,11:00,BSC Young Boys,Servette FC,,
9,19/09/2026,13:30,FC Sion,FC Zürich,,
9,20/09/2026,07:00,FC Vaduz,FC Thun Berner Oberland,,
9,20/09/2026,09:30,FC Basel 1893,FC St. Gallen,,
9,20/09/2026,09:30,FC Lausanne-Sport,FC Lugano,,
10,10/10/2026,11:00,FC Zürich,FC Thun Berner Oberland,,
10,10/10/2026,11:00,Servette FC,FC Sion,,
10,10/10/2026,13:30,FC Lugano,FC Luzern,,
10,11/10/2026,07:00,Grasshopper Club Zürich,BSC Young Boys,,
10,11/10/2026,09:30,FC St. Gallen,FC Lausanne-Sport,,
10,11/10/2026,09:30,FC Vaduz,FC Basel 1893,,
11,24/10/2026,03:00,FC Basel 1893,Grasshopper Club Zürich,,
11,24/10/2026,03:00,FC Sion,FC Lausanne-Sport,,
11,24/10/2026,03:00,FC Thun Berner Oberland,FC Lugano,,
11,24/10/2026,03:00,FC Zürich,FC Luzern,,
11,24/10/2026,03:00,Servette FC,FC Vaduz,,
11,24/10/2026,03:00,BSC Young Boys,FC St. Gallen,,
12,31/10/2026,03:00,FC Lausanne-Sport,FC Thun Berner Oberland,,
12,31/10/2026,03:00,FC Lugano,FC Basel 1893,,
12,31/10/2026,03:00,FC Luzern,FC Sion,,
12,31/10/2026,03:00,FC St. Gallen,Servette FC,,
12,31/10/2026,03:00,Grasshopper Club Zürich,FC Vaduz,,
12,31/10/2026,03:00,BSC Young Boys,FC Zürich,,
13,07/11/2026,03:00,FC Luzern,BSC Young Boys,,
13,07/11/2026,03:00,FC St. Gallen,FC Lugano,,
13,07/11/2026,03:00,FC Thun Berner Oberland,FC Basel 1893,,
13,07/11/2026,03:00,FC Vaduz,FC Sion,,
13,07/11/2026,03:00,Grasshopper Club Zürich,FC Lausanne-Sport,,
13,07/11/2026,03:00,Servette FC,FC Zürich,,
14,21/11/2026,03:00,FC Basel 1893,FC Luzern,,
14,21/11/2026,03:00,FC Lausanne-Sport,FC Vaduz,,
14,21/11/2026,03:00,FC Lugano,Grasshopper Club Zürich,,
14,21/11/2026,03:00,FC Sion,Servette FC,,
14,21/11/2026,03:00,FC Zürich,FC St. Gallen,,
14,21/11/2026,03:00,BSC Young Boys,FC Thun Berner Oberland,,
15,28/11/2026,03:00,FC Luzern,FC Lugano,,
15,28/11/2026,03:00,FC Sion,BSC Young Boys,,
15,28/11/2026,03:00,FC Thun Berner Oberland,FC St. Gallen,,
15,28/11/2026,03:00,FC Vaduz,FC Zürich,,
15,28/11/2026,03:00,Grasshopper Club Zürich,FC Basel 1893,,
15,28/11/2026,03:00,Servette FC,FC Lausanne-Sport,,
16,05/12/2026,03:00,FC Basel 1893,Servette FC,,
16,05/12/2026,03:00,FC Lausanne-Sport,FC Sion,,
16,05/12/2026,03:00,FC St. Gallen,Grasshopper Club Zürich,,
16,05/12/2026,03:00,FC Thun Berner Oberland,FC Luzern,,
16,05/12/2026,03:00,FC Vaduz,BSC Young Boys,,
16,05/12/2026,03:00,FC Zürich,FC Lugano,,
17,12/12/2026,03:00,FC Lugano,FC Thun Berner Oberland,,
17,12/12/2026,03:00,FC Luzern,Servette FC,,
17,12/12/2026,03:00,FC Sion,FC Basel 1893,,
17,12/12/2026,03:00,FC St. Gallen,FC Vaduz,,
17,12/12/2026,03:00,FC Zürich,Grasshopper Club Zürich,,
17,12/12/2026,03:00,BSC Young Boys,FC Lausanne-Sport,,
18,19/12/2026,03:00,FC Basel 1893,FC Zürich,,
18,19/12/2026,03:00,FC Lausanne-Sport,FC St. Gallen,,
18,19/12/2026,03:00,FC Thun Berner Oberland,FC Sion,,
18,19/12/2026,03:00,FC Vaduz,FC Lugano,,
18,19/12/2026,03:00,Grasshopper Club Zürich,FC Luzern,,
18,19/12/2026,03:00,Servette FC,BSC Young Boys,,
19,16/01/2027,03:00,FC Basel 1893,FC Vaduz,,
19,16/01/2027,03:00,FC Luzern,FC St. Gallen,,
19,16/01/2027,03:00,FC Sion,Grasshopper Club Zürich,,
19,16/01/2027,03:00,FC Zürich,FC Lausanne-Sport,,
19,16/01/2027,03:00,Servette FC,FC Thun Berner Oberland,,
19,16/01/2027,03:00,BSC Young Boys,FC Lugano,,
20,23/01/2027,03:00,FC Lausanne-Sport,FC Basel 1893,,
20,23/01/2027,03:00,FC Lugano,FC Sion,,
20,23/01/2027,03:00,FC St. Gallen,BSC Young Boys,,
20,23/01/2027,03:00,FC Thun Berner Oberland,FC Zürich,,
20,23/01/2027,03:00,FC Vaduz,FC Luzern,,
20,23/01/2027,03:00,Grasshopper Club Zürich,Servette FC,,
21,30/01/2027,03:00,FC Basel 1893,BSC Young Boys,,
21,30/01/2027,03:00,FC Lugano,FC Lausanne-Sport,,
21,30/01/2027,03:00,FC Luzern,FC Zürich,,
21,30/01/2027,03:00,FC Sion,FC St. Gallen,,
21,30/01/2027,03:00,FC Vaduz,Servette FC,,
21,30/01/2027,03:00,Grasshopper Club Zürich,FC Thun Berner Oberland,,
22,06/02/2027,03:00,FC Lausanne-Sport,FC Luzern,,
22,06/02/2027,03:00,FC St. Gallen,FC Basel 1893,,
22,06/02/2027,03:00,FC Thun Berner Oberland,FC Vaduz,,
22,06/02/2027,03:00,FC Zürich,FC Sion,,
22,06/02/2027,03:00,Servette FC,FC Lugano,,
22,06/02/2027,03:00,BSC Young Boys,Grasshopper Club Zürich,,
