matchday,date,time,home_team,away_team,result,status
1,08/08/2025,13:30,Gaziantep FK,Galatasaray,0-3,Final
1,09/08/2025,11:00,Samsunspor,Gençlerbirliği S.K.,2-1,Final
1,09/08/2025,13:30,Antalyaspor,Kasımpaşa,2-1,Final
1,10/08/2025,11:00,Rizespor,Göztepe,0-3,Final
1,10/08/2025,13:30,Eyüpspor,Konyaspor,1-4,Final
1,11/08/2025,13:30,Trabzonspor,Kocaelispor,1-0,Final
2,15/08/2025,13:30,Galatasaray,Fatih Karagümrük,3-0,Final
2,16/08/2025,11:00,Kocaelispor,Samsunspor,0-1,Final
2,16/08/2025,13:30,Göztepe,Fenerbahçe,0-0,Final
2,16/08/2025,13:30,Alanyaspor,Rizespor,0-0,Final
2,17/08/2025,11:00,Konyaspor,Gaziantep FK,3-0,Final
2,17/08/2025,11:00,Gençlerbirliği S.K.,Antalyaspor,0-1,Final
2,17/08/2025,13:30,Beşiktaş,Eyüpspor,2-1,Final
2,17/08/2025,13:30,Başakşehir,Kayserispor,1-1,Final
2,18/08/2025,13:30,Kasımpaşa,Trabzonspor,0-1,Final
3,22/08/2025,13:30,Fatih Karagümrük,Göztepe,0-2,Final
3,23/08/2025,13:30,Fenerbahçe,Kocaelispor,3-1,Final
3,23/08/2025,13:30,Gaziantep FK,Gençlerbirliği S.K.,2-1,Final
3,24/08/2025,11:00,Trabzonspor,Antalyaspor,1-0,Final
3,24/08/2025,13:30,Kayserispor,Galatasaray,0-4,Final
3,25/08/2025,11:00,Eyüpspor,Alanyaspor,2-1,Final
4,29/08/2025,13:30,Göztepe,Konyaspor,1-1,Final
4,30/08/2025,11:00,Kasımpaşa,Gaziantep FK,2-3,Final
4,30/08/2025,11:00,Kocaelispor,Kayserispor,1-1,Final
4,30/08/2025,13:30,Galatasaray,Rizespor,3-1,Final
4,30/08/2025,13:30,Antalyaspor,Fatih Karagümrük,1-2,Final
4,31/08/2025,11:00,Başakşehir,Eyüpspor,0-0,Final
4,31/08/2025,11:00,Gençlerbirliği S.K.,Fenerbahçe,1-3,Final
4,31/08/2025,13:30,Alanyaspor,Beşiktaş,2-0,Final
4,31/08/2025,13:30,Trabzonspor,Samsunspor,1-1,Final
5,13/09/2025,09:00,Eyüpspor,Galatasaray,0-2,Final
5,13/09/2025,09:00,Fatih Karagümrük,Kasımpaşa,0-1,Final
5,13/09/2025,09:00,Samsunspor,Antalyaspor,1-2,Final
5,13/09/2025,12:00,Beşiktaş,Başakşehir,2-1,Final
5,13/09/2025,12:00,Konyaspor,Alanyaspor,1-2,Final
