matchday,date,time,home_team,away_team,result,status
31,18/04/2026,,FK Čukarički,Radnik Surdulica,,
31,18/04/2026,,FK Novi Pazar,OFK Beograd,,
31,18/04/2026,,Estrella Roja de Belgrado,Vojvodina,,
31,18/04/2026,,Partizan,Železničar Pančevo,,
32,22/04/2026,,Vojvodina,Partizan,,
32,22/04/2026,,Radnik Surdulica,FK Novi Pazar,,
32,22/04/2026,,OFK Beograd,FK Čukarički,,
32,22/04/2026,,Železničar Pančevo,Estrella Roja de Belgrado,,
33,26/04/2026,,FK Novi Pazar,FK Čukarički,,
33,26/04/2026,,Vojvodina,Železničar Pančevo,,
33,26/04/2026,,OFK Beograd,Radnik Surdulica,,
33,26/04/2026,,Estrella Roja de Belgrado,Partizan,,
34,03/05/2026,,FK Čukarički,Estrella Roja de Belgrado,,
34,03/05/2026,,Partizan,FK Novi Pazar,,
34,03/05/2026,,Radnik Surdulica,Vojvodina,,
34,03/05/2026,,Železničar Pančevo,OFK Beograd,,
35,09/05/2026,,Vojvodina,FK Čukarički,,
35,09/05/2026,,Partizan,OFK Beograd,,
35,09/05/2026,,Estrella Roja de Belgrado,FK Novi Pazar,,
35,09/05/2026,,Železničar Pančevo,Radnik Surdulica,,
36,16/05/2026,,FK Čukarički,Partizan,,
36,16/05/2026,,FK Novi Pazar,Železničar Pančevo,,
36,16/05/2026,,OFK Beograd,Vojvodina,,
36,16/05/2026,,Radnik Surdulica,Estrella Roja de Belgrado,,
37,23/05/2026,,Vojvodina,FK Novi Pazar,,
37,23/05/2026,,Partizan,Radnik Surdulica,,
37,23/05/2026,,Estrella Roja de Belgrado,OFK Beograd,,
37,23/05/2026,,Železničar Pančevo,FK Čukarički,,
