matchday,date,time,home_team,away_team,result,status
31,19/04/2026,,TSC Bačka Topola,FK Napredak,,
31,19/04/2026,,FK Javor,Spartak Subotica,,
31,19/04/2026,,FK Radnički 1923,Radnički Niš,,
31,19/04/2026,,IMT Beograd,Mladost Lučani,,
32,23/04/2026,,Radnički Niš,FK Javor,,
32,23/04/2026,,FK Napredak,IMT Beograd,,
32,23/04/2026,,Mladost Lučani,FK Radnički 1923,,
32,23/04/2026,,Spartak Subotica,TSC Bačka Topola,,
33,26/04/2026,,FK Javor,FK Napredak,,
33,26/04/2026,,IMT Beograd,Radnički Niš,,
33,26/04/2026,,FK Radnički 1923,Spartak Subotica,,
33,26/04/2026,,TSC Bačka Topola,Mladost Lučani,,
34,03/05/2026,,FK Javor,IMT Beograd,,
34,03/05/2026,,Mladost Lučani,Spartak Subotica,,
34,03/05/2026,,FK Napredak,Radnički Niš,,
34,03/05/2026,,FK Radnički 1923,TSC Bačka Topola,,
35,09/05/2026,,IMT Beograd,FK Radnički 1923,,
35,09/05/2026,,Radnički Niš,Mladost Lučani,,
35,09/05/2026,,Spartak Subotica,FK Napredak,,
35,09/05/2026,,TSC Bačka Topola,FK Javor,,
36,16/05/2026,,FK Javor,Mladost Lučani,,
36,16/05/2026,,FK Napredak,FK Radnički 1923,,
36,16/05/2026,,Spartak Subotica,IMT Beograd,,
36,16/05/2026,,TSC Bačka Topola,Radnički Niš,,
37,23/05/2026,,Mladost Lučani,FK Napredak,,
37,23/05/2026,,IMT Beograd,TSC Bačka Topola,,
37,23/05/2026,,FK Radnički 1923,FK Javor,,
37,23/05/2026,,Radnički Niš,Spartak Subotica,,
