matchday,date,time,home_team,away_team,result,status
1,19/07/2025,,FK Čukarički,Napredak,1-0,Final
1,19/07/2025,,Estrella Roja,FK Javor,4-0,Final
1,20/07/2025,,Ml. Lučani,IMT Beograd,1-1,Final
1,20/07/2025,,Vojvodina,Surdulica,2-0,Final
1,20/07/2025,,Bačka Topola,Radnički Niš,2-1,Final
1,20/07/2025,,Žel. Pančevo,Partizan,0-1,Final
1,21/07/2025,,OFK Beograd,Sp. Subotica,1-3,Final
1,24/09/2025,,FK Novi Pazar,Radnički 1923,1-1,Final
2,26/07/2025,,Radnički Niš,Ml. Lučani,3-1,Final
2,26/07/2025,,Surdulica,Bačka Topola,0-0,Final
2,26/07/2025,,Estrella Roja,OFK Beograd,7-1,Final
2,27/07/2025,,Napredak,FK Novi Pazar,2-2,Final
2,27/07/2025,,IMT Beograd,FK Čukarički,1-3,Final
2,27/07/2025,,Radnički 1923,Žel. Pančevo,1-1,Final
2,27/07/2025,,Sp. Subotica,Vojvodina,1-3,Final
2,05/11/2025,,FK Javor,Partizan,2-3,Final
3,02/08/2025,,Ml. Lučani,Surdulica,1-0,Final
3,02/08/2025,,OFK Beograd,FK Javor,1-0,Final
3,02/08/2025,,Bačka Topola,Sp. Subotica,2-0,Final
3,03/08/2025,,FK Čukarički,Radnički Niš,1-1,Final
3,03/08/2025,,Partizan,Radnički 1923,2-1,Final
3,04/08/2025,,FK Novi Pazar,IMT Beograd,1-2,Final
3,04/08/2025,,Žel. Pančevo,Napredak,0-0,Final
3,30/10/2025,,Vojvodina,Estrella Roja,3-2,Final
4,09/08/2025,,Surdulica,FK Čukarički,3-1,Final
4,09/08/2025,,Estrella Roja,Bačka Topola,1-0,Final
4,09/08/2025,,Sp. Subotica,Ml. Lučani,1-1,Final
4,09/08/2025,,OFK Beograd,Vojvodina,1-2,Final
4,10/08/2025,,Radnički Niš,FK Novi Pazar,2-3,Final
4,10/08/2025,,Napredak,Partizan,2-7,Final
4,11/08/2025,,FK Javor,Radnički 1923,2-2,Final
4,11/08/2025,,IMT Beograd,Žel. Pančevo,1-4,Final
5,15/08/2025,,FK Čukarički,Sp. Subotica,2-1,Final
5,15/08/2025,,Ml. Lučani,Estrella Roja,1-4,Final
5,16/08/2025,,FK Novi Pazar,Surdulica,2-0,Final
5,16/08/2025,,Vojvodina,FK Javor,2-2,Final
5,17/08/2025,,Radnički 1923,Napredak,0-0,Final
5,17/08/2025,,Bačka Topola,OFK Beograd,1-3,Final
5,17/08/2025,,Žel. Pančevo,Radnički Niš,3-0,Final
5,18/08/2025,,Partizan,IMT Beograd,5-1,Final
6,22/08/2025,,FK Javor,Napredak,0-0,Final
6,23/08/2025,,OFK Beograd,Ml. Lučani,1-1,Final
6,23/08/2025,,Vojvodina,Bačka Topola,2-0,Final
6,24/08/2025,,Surdulica,Žel. Pančevo,1-2,Final
6,24/08/2025,,IMT Beograd,Radnički 1923,2-0,Final
