Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
08/08/2025,1,Gaziantep FK,Galatasaray,0-3
09/08/2025,1,Samsunspor,Gençlerbirliği,2-1
09/08/2025,1,Antalyaspor,Kasımpaşa SK,2-1
10/08/2025,1,Çaykur Rizespor,Göztepe,0-3
10/08/2025,1,Eyüpspor,Konyaspor,1-4
11/08/2025,1,Trabzonspor,Kocaelispor,1-0
17/09/2025,1,Fatih Karagümrük,İstanbul Başakşehir,0-2
17/09/2025,1,Fenerbahçe,Alanyaspor,2-2
24/09/2025,1,Kayserispor,Beşiktaş,0-4
15/08/2025,2,Galatasaray,Fatih Karagümrük,3-0
16/08/2025,2,Kocaelispor,Samsunspor,0-1
16/08/2025,2,Alanyaspor,Çaykur Rizespor,0-0
16/08/2025,2,Göztepe,Fenerbahçe,0-0
17/08/2025,2,Konyaspor,Gaziantep FK,3-0
17/08/2025,2,Gençlerbirliği,Antalyaspor,0-1
17/08/2025,2,Beşiktaş,Eyüpspor,2-1
17/08/2025,2,İstanbul Başakşehir,Kayserispor,1-1
18/08/2025,2,Kasımpaşa SK,Trabzonspor,0-1
22/08/2025,3,Fatih Karagümrük,Göztepe,0-2
23/08/2025,3,Gaziantep FK,Gençlerbirliği,2-1
23/08/2025,3,Fenerbahçe,Kocaelispor,3-1
24/08/2025,3,Trabzonspor,Antalyaspor,1-0
24/08/2025,3,Kayserispor,Galatasaray,0-4
25/08/2025,3,Eyüpspor,Alanyaspor,2-1
17/09/2025,3,Samsunspor,Kasımpaşa SK,0-0
22/10/2025,3,Konyaspor,Beşiktaş,0-2
22/10/2025,3,Çaykur Rizespor,İstanbul Başakşehir,0-0
29/08/2025,4,Göztepe,Konyaspor,1-1
30/08/2025,4,Kasımpaşa SK,Gaziantep FK,2-3
30/08/2025,4,Kocaelispor,Kayserispor,1-1
30/08/2025,4,Antalyaspor,Fatih Karagümrük,1-2
30/08/2025,4,Galatasaray,Çaykur Rizespor,3-1
31/08/2025,4,İstanbul Başakşehir,Eyüpspor,0-0
31/08/2025,4,Gençlerbirliği,Fenerbahçe,1-3
31/08/2025,4,Trabzonspor,Samsunspor,1-1
31/08/2025,4,Alanyaspor,Beşiktaş,2-0
13/09/2025,5,Eyüpspor,Galatasaray,0-2
13/09/2025,5,Samsunspor,Antalyaspor,1-2
13/09/2025,5,Fatih Karagümrük,Kasımpaşa SK,0-1
13/09/2025,5,Konyaspor,Alanyaspor,1-2
13/09/2025,5,Beşiktaş,İstanbul Başakşehir,2-1
14/09/2025,5,Kayserispor,Göztepe,1-1
14/09/2025,5,Gaziantep FK,Kocaelispor,2-0
14/09/2025,5,Fenerbahçe,Trabzonspor,1-0
15/09/2025,5,Çaykur Rizespor,Gençlerbirliği,1-0
19/09/2025,6,Göztepe,Beşiktaş,3-0
20/09/2025,6,Gençlerbirliği,Eyüpspor,1-0
20/09/2025,6,Antalyaspor,Kayserispor,1-1
20/09/2025,6,Trabzonspor,Gaziantep FK,1-1
21/09/2025,6,İstanbul Başakşehir,Alanyaspor,1-1
21/09/2025,6,Kocaelispor,Çaykur Rizespor,1-1
21/09/2025,6,Kasımpaşa SK,Fenerbahçe,1-1
21/09/2025,6,Samsunspor,Fatih Karagümrük,3-2
22/09/2025,6,Galatasaray,Konyaspor,3-1
26/09/2025,7,Alanyaspor,Galatasaray,0-1
27/09/2025,7,Eyüpspor,Göztepe,0-0
27/09/2025,7,Gaziantep FK,Samsunspor,2-2
27/09/2025,7,Fatih Karagümrük,Trabzonspor,3-4
28/09/2025,7,Konyaspor,İstanbul Başakşehir,2-1
28/09/2025,7,Çaykur Rizespor,Kasımpaşa SK,1-2
28/09/2025,7,Fenerbahçe,Antalyaspor,2-0
28/09/2025,7,Kayserispor,Gençlerbirliği,1-1
29/09/2025,7,Beşiktaş,Kocaelispor,3-1
03/10/2025,8,Antalyaspor,Çaykur Rizespor,2-5
03/10/2025,8,Trabzonspor,Kayserispor,4-0
