matchday,date,time,home_team,away_team,result,status
1,26/07/2025,09:00,KFC Komárno,AS Trenčín,1-2,Final
1,26/07/2025,09:00,FC DAC 1904,MFK Zemplín Michalovce,1-1,Final
1,26/07/2025,09:00,1. FC Tatran Prešov,Slovan Bratislava,2-2,Final
1,27/07/2025,09:00,FK Železiarne Podbrezová,FC Košice,3-1,Final
1,27/07/2025,09:00,MFK Skalica,MŠK Žilina,0-0,Final
1,27/07/2025,09:00,Spartak Trnava,MFK Ružomberok,3-0,Final
2,02/08/2025,09:00,MFK Zemplín Michalovce,KFC Komárno,3-1,Final
2,02/08/2025,09:00,Slovan Bratislava,FK Železiarne Podbrezová,4-1,Final
2,03/08/2025,09:00,AS Trenčín,Spartak Trnava,0-1,Final
2,03/08/2025,09:00,MŠK Žilina,1. FC Tatran Prešov,1-0,Final
2,12/08/2025,09:00,MFK Ružomberok,MFK Skalica,1-3,Final
2,01/10/2025,09:00,FC Košice,FC DAC 1904,0-2,Final
3,09/08/2025,09:00,MFK Skalica,FK Železiarne Podbrezová,2-2,Final
3,09/08/2025,09:00,MFK Zemplín Michalovce,MŠK Žilina,2-4,Final
3,09/08/2025,09:00,FC DAC 1904,MFK Ružomberok,2-0,Final
3,10/08/2025,09:00,FC Košice,AS Trenčín,0-1,Final
3,10/08/2025,09:00,Spartak Trnava,1. FC Tatran Prešov,1-0,Final
3,29/10/2025,09:00,KFC Komárno,Slovan Bratislava,2-3,Final
4,16/08/2025,09:00,FK Železiarne Podbrezová,KFC Komárno,2-1,Final
4,16/08/2025,09:00,MFK Ružomberok,MFK Zemplín Michalovce,0-1,Final
4,16/08/2025,09:00,Slovan Bratislava,MFK Skalica,1-0,Final
4,16/08/2025,09:00,1. FC Tatran Prešov,FC DAC 1904,0-0,Final
4,17/08/2025,09:00,AS Trenčín,MŠK Žilina,2-1,Final
4,29/10/2025,09:00,Spartak Trnava,FC Košice,3-1,Final
5,23/08/2025,09:00,MFK Skalica,1. FC Tatran Prešov,2-2,Final
5,23/08/2025,09:00,FC Košice,MFK Ružomberok,3-1,Final
5,23/08/2025,09:00,FC DAC 1904,AS Trenčín,4-1,Final
5,24/08/2025,09:00,KFC Komárno,Spartak Trnava,1-4,Final
5,24/08/2025,09:00,MŠK Žilina,FK Železiarne Podbrezová,3-0,Final
5,24/08/2025,09:00,MFK Zemplín Michalovce,Slovan Bratislava,1-1,Final
6,30/08/2025,09:00,1. FC Tatran Prešov,AS Trenčín,2-3,Final
6,30/08/2025,09:00,KFC Komárno,MFK Skalica,1-0,Final
6,30/08/2025,09:00,FK Železiarne Podbrezová,MFK Zemplín Michalovce,2-2,Final
6,31/08/2025,09:00,MFK Ružomberok,MŠK Žilina,3-3,Final
6,31/08/2025,09:00,Slovan Bratislava,FC Košice,3-2,Final
6,31/08/2025,09:00,Spartak Trnava,FC DAC 1904,0-3,Final
7,13/09/2025,09:00,FC Košice,KFC Komárno,2-3,Final
7,13/09/2025,09:00,MFK Skalica,Spartak Trnava,0-4,Final
7,13/09/2025,09:00,AS Trenčín,MFK Ružomberok,0-3,Final
7,13/09/2025,09:00,MŠK Žilina,Slovan Bratislava,3-3,Final
7,14/09/2025,09:00,MFK Zemplín Michalovce,1. FC Tatran Prešov,1-2,Final
7,14/09/2025,09:00,FC DAC 1904,FK Železiarne Podbrezová,2-0,Final
