matchday,date,time,home_team,away_team,result,status
1,10/04/2021,03:00,Malmö FF,Hammarby IF,3-2,Final
1,10/04/2021,03:00,Örebro SK,IFK Göteborg,0-0,Final
1,11/04/2021,03:00,Halmstads BK,BK Häcken,1-0,Final
1,11/04/2021,03:00,Mjällby AIF,Varbergs BoIS,0-0,Final
1,11/04/2021,03:00,IF Elfsborg,Djurgårdens IF,0-2,Final
1,11/04/2021,03:00,IFK Norrköping,IK Sirius,1-1,Final
1,12/04/2021,03:00,AIK Solna,Degerfors IF,2-0,Final
1,12/04/2021,03:00,Kalmar FF,Östersunds FK,0-0,Final
2,17/04/2021,03:00,Hammarby IF,Mjällby AIF,2-0,Final
2,18/04/2021,03:00,BK Häcken,Malmö FF,1-2,Final
2,18/04/2021,03:00,Degerfors IF,Kalmar FF,0-1,Final
2,18/04/2021,03:00,Östersunds FK,Örebro SK,5-0,Final
2,18/04/2021,03:00,Djurgårdens IF,IFK Norrköping,1-0,Final
2,18/04/2021,03:00,IK Sirius,Halmstads BK,1-0,Final
2,19/04/2021,03:00,IFK Göteborg,AIK Solna,2-0,Final
2,19/04/2021,03:00,Varbergs BoIS,IF Elfsborg,1-3,Final
3,24/04/2021,03:00,BK Häcken,IK Sirius,1-2,Final
3,25/04/2021,03:00,IFK Norrköping,Halmstads BK,2-1,Final
3,25/04/2021,03:00,Kalmar FF,Örebro SK,1-0,Final
3,25/04/2021,03:00,Varbergs BoIS,Djurgårdens IF,1-3,Final
3,25/04/2021,03:00,AIK Solna,Hammarby IF,2-0,Final
3,25/04/2021,03:00,Malmö FF,Östersunds FK,1-1,Final
3,26/04/2021,03:00,IF Elfsborg,Mjällby AIF,1-0,Final
3,26/04/2021,03:00,IFK Göteborg,Degerfors IF,2-3,Final
4,01/05/2021,03:00,IK Sirius,Kalmar FF,1-1,Final
4,01/05/2021,03:00,Hammarby IF,BK Häcken,1-1,Final
4,02/05/2021,03:00,Halmstads BK,IFK Göteborg,1-1,Final
4,02/05/2021,03:00,Örebro SK,IFK Norrköping,0-3,Final
4,02/05/2021,03:00,Östersunds FK,Varbergs BoIS,1-2,Final
4,02/05/2021,03:00,AIK Solna,IF Elfsborg,1-0,Final
4,03/05/2021,03:00,Djurgårdens IF,Malmö FF,3-1,Final
4,03/05/2021,03:00,Mjällby AIF,Degerfors IF,1-0,Final
5,08/05/2021,03:00,Hammarby IF,IK Sirius,3-2,Final
5,08/05/2021,03:00,IFK Göteborg,BK Häcken,1-1,Final
5,08/05/2021,03:00,IF Elfsborg,Kalmar FF,2-2,Final
5,08/05/2021,03:00,Örebro SK,Halmstads BK,1-0,Final
