matchday,date,time,home_team,away_team,result,status
1,11/11/2020,12:00,CF Rusadir,Rincón,1-2,Final
1,11/11/2020,12:30,AUGC Deportiva,Racing Murcia,0-3,Final
1,11/11/2020,13:00,Cardassar,Épila,0-0,Final
1,11/11/2020,13:00,Racing Rioja,Colegios Diocesanos,3-0,Final
1,11/11/2020,13:00,Real Titánico,Anaitasuna,0-2,Final
1,11/11/2020,13:00,Montañesa,Cantolagua,0-1,Final
1,11/11/2020,13:30,Tomares,Chinato,3-0,Final
1,11/11/2020,14:00,Móstoles CF,Marchamalo,0-0,Final
1,11/11/2020,14:00,Miengo,Ribadumia,0-1,Final
1,11/11/2020,14:30,Guía,Buñol,0-1,Final
2,15/12/2020,12:00,Atlético Pulpileño,Lugo,1-2,Final
2,15/12/2020,13:00,Portugalete,Ponferradina,1-0,Final
2,15/12/2020,13:00,Sestao River,Tenerife,0-2,Final
2,15/12/2020,13:00,Cantolagua,Valladolid,0-5,Final
2,15/12/2020,13:00,Marchamalo,Huesca,2-3,Final
2,15/12/2020,13:00,Tomares,Osasuna,0-6,Final
2,15/12/2020,14:00,Ourense CF,Leganes,0-1,Final
2,15/12/2020,14:00,Ciudad de Lucena,Sevilla,0-3,Final
2,15/12/2020,14:30,CD Coria,Oviedo,2-3,Final
2,16/12/2020,09:15,Coruxo,Malaga,0-4,Final
3,16/12/2020,09:30,Lealtad,Alcorcon,1-2,Final
3,16/12/2020,10:00,Burgos,FC Andorra,2-0,Final
3,16/12/2020,12:00,Cordoba,Albacete,1-0,Final
3,16/12/2020,12:00,L'Hospitalet,Almeria,1-4,Final
3,16/12/2020,12:00,San Fernando CD,Castellón,0-2,Final
3,16/12/2020,12:00,Quintanar del Rey,Sporting Gijon,1-2,Final
3,16/12/2020,12:30,Numancia,Lorca Deportiva,4-1,Final
3,16/12/2020,13:00,Gimnástica Torrelavega,Zaragoza,0-2,Final
3,16/12/2020,13:00,Amorebieta,UD Logroñés,1-0,Final
3,16/12/2020,13:00,Atlético Baleares,Fuenlabrada,0-1,Final
4,16/12/2020,13:00,Las Rozas,Mirandes,1-0,Final
4,16/12/2020,13:00,Llagostera,Espanyol,0-1,Final
4,16/12/2020,13:00,Internacional de Madrid,Linares Deportivo,0-3,Final
4,16/12/2020,13:00,Terrassa,Valencia,2-4,Final
4,16/12/2020,13:00,Ibiza Islas Pitiusas,Sabadell,0-2,Final
4,16/12/2020,13:00,Cardassar,Atletico Madrid,0-3,Final
4,16/12/2020,13:00,Racing Murcia,Levante,0-5,Final
4,16/12/2020,13:30,Rayo Majadahonda,Yeclano,1-2,Final
4,16/12/2020,13:30,Guijuelo,Mallorca,0-1,Final
4,16/12/2020,14:00,Marbella,Lleida Esportiu,1-0,Final
5,16/12/2020,14:30,Calahorra,La Nucía,0-1,Final
5,16/12/2020,15:00,Leioa,Albacete,0-6,Final
5,16/12/2020,15:00,Buñol,Elche,1-2,Final
5,16/12/2020,15:00,Rincón,Alaves,0-2,Final
5,16/12/2020,17:30,Marino,Cornellà,0-1,Final
5,17/12/2020,11:00,Deportivo La Coruna,El Ejido,1-0,Final
5,17/12/2020,12:00,Navalcarnero,Badajoz,1-0,Final
5,17/12/2020,13:00,Cultural Leonesa,Villanovense,1-0,Final
5,17/12/2020,13:00,Mutilvera,Racing Santander,1-0,Final
5,17/12/2020,13:00,Teruel,Rayo Vallecano,2-3,Final
6,17/12/2020,13:00,Gimnástica Segoviana,Girona,0-2,Final
6,17/12/2020,13:00,Ibiza,Compostela,2-1,Final
6,17/12/2020,13:00,San Juan,Granada CF,0-2,Final
6,17/12/2020,13:00,Ribadumia,Cadiz,0-2,Final
6,17/12/2020,13:00,Anaitasuna,Getafe,1-2,Final
6,17/12/2020,13:30,Ucam Murcia,Real Betis,0-2,Final
6,17/12/2020,13:30,Peña Deportiva,Tarazona,4-1,Final
6,17/12/2020,14:00,Pontevedra,FC Cartagena,2-1,Final
6,17/12/2020,14:00,Varea,Las Palmas,0-4,Final
6,17/12/2020,14:15,Alcoyano,Laredo,4-1,Final
7,17/12/2020,14:30,Extremadura,Socuéllamos,1-2,Final
7,17/12/2020,15:00,Llanera,Celta Vigo,0-5,Final
7,17/12/2020,15:00,Racing Rioja,Eibar,0-2,Final
7,23/12/2020,12:30,Haro Deportivo,Linense,2-1,Final
7,23/12/2020,13:00,Zamora,SD Logroñés,2-1,Final
7,30/12/2020,06:00,Poblense,Olot,1-2,Final
7,05/01/2021,11:00,Cordoba,Getafe,1-0,Final
7,05/01/2021,11:00,Ibiza,Celta Vigo,5-2,Final
7,05/01/2021,13:00,Linares Deportivo,Sevilla,0-2,Final
7,05/01/2021,13:00,Zamora,Villarreal,1-4,Final
8,05/01/2021,15:00,Alcorcon,Zaragoza,2-1,Final
8,05/01/2021,15:00,Marbella,Valladolid,2-3,Final
8,06/01/2021,06:00,Numancia,Almeria,1-2,Final
8,06/01/2021,06:00,La Nucía,Elche,0-1,Final
8,06/01/2021,06:00,Portugalete,Levante,1-2,Final
8,06/01/2021,07:00,Socuéllamos,Leganes,0-2,Final
8,06/01/2021,11:00,Cultural Leonesa,Granada CF,1-2,Final
8,06/01/2021,11:00,Mutilvera,Real Betis,1-3,Final
8,06/01/2021,11:00,Navalcarnero,Las Palmas,1-0,Final
8,06/01/2021,11:00,Haro Deportivo,Rayo Vallecano,1-3,Final
9,06/01/2021,12:00,Cornellà,Atletico Madrid,1-0,Final
9,06/01/2021,13:00,Deportivo La Coruna,Alaves,0-1,Final
9,06/01/2021,13:00,Olot,Osasuna,0-3,Final
9,06/01/2021,13:00,Burgos,Espanyol,0-2,Final
9,06/01/2021,14:00,Castellón,Tenerife,0-2,Final
9,06/01/2021,15:00,Malaga,Oviedo,1-0,Final
9,06/01/2021,15:00,Fuenlabrada,Mallorca,2-2,Final
9,07/01/2021,13:00,Girona,Lugo,2-1,Final
9,07/01/2021,13:00,Yeclano,Valencia,1-4,Final
9,07/01/2021,13:00,Amorebieta,Sporting Gijon,0-1,Final
10,07/01/2021,13:00,Peña Deportiva,Sabadell,0-0,Final
10,07/01/2021,13:00,Pontevedra,Cadiz,0-0,Final
10,07/01/2021,15:00,Las Rozas,Eibar,3-4,Final
10,07/01/2021,15:00,Alcoyano,Huesca,2-1,Final
10,16/01/2021,06:00,Almeria,Alaves,5-0,Final
10,16/01/2021,06:00,Peña Deportiva,Valladolid,1-4,Final
10,16/01/2021,10:00,Girona,Cadiz,2-0,Final
10,16/01/2021,12:00,Fuenlabrada,Levante,1-1,Final
10,16/01/2021,14:00,Leganes,Sevilla,0-1,Final
10,16/01/2021,16:00,Rayo Vallecano,Elche,2-0,Final
11,17/01/2021,06:00,Malaga,Granada CF,1-2,Final
11,17/01/2021,06:00,Espanyol,Osasuna,0-2,Final
11,17/01/2021,10:00,Sporting Gijon,Real Betis,0-2,Final
11,17/01/2021,10:00,Navalcarnero,Eibar,3-1,Final
11,17/01/2021,12:00,Alcorcon,Valencia,0-2,Final
11,17/01/2021,12:00,Tenerife,Villarreal,0-1,Final
11,20/01/2021,13:00,Cordoba,Real Sociedad,0-2,Final
11,20/01/2021,15:00,Alcoyano,Real Madrid,2-1,Final
11,21/01/2021,13:00,Ibiza,Athletic Club,1-2,Final
11,21/01/2021,15:00,Cornellà,Barcelona,0-2,Final
12,26/01/2021,13:00,Valladolid,Levante,2-4,Final
12,26/01/2021,15:00,Real Betis,Real Sociedad,3-1,Final
12,26/01/2021,15:00,Girona,Villarreal,0-1,Final
12,27/01/2021,13:00,Sevilla,Valencia,3-0,Final
12,27/01/2021,15:00,Almeria,Osasuna,0-0,Final
12,27/01/2021,15:00,Rayo Vallecano,Barcelona,1-2,Final
12,28/01/2021,13:00,Navalcarnero,Granada CF,0-6,Final
12,28/01/2021,15:00,Alcoyano,Athletic Club,1-2,Final
12,02/02/2021,15:00,Almeria,Sevilla,0-1,Final
12,03/02/2021,13:00,Levante,Villarreal,1-0,Final
13,03/02/2021,15:00,Granada CF,Barcelona,3-5,Final
13,04/02/2021,15:00,Real Betis,Athletic Club,1-1,Final
13,10/02/2021,15:00,Sevilla,Barcelona,2-0,Final
13,11/02/2021,15:00,Athletic Club,Levante,1-1,Final
13,03/03/2021,15:00,Barcelona,Sevilla,3-0,Final
13,04/03/2021,15:00,Levante,Athletic Club,1-2,Final
13,17/04/2021,14:30,Athletic Club,Barcelona,0-4,Final
